time,symbol,open,high,low,close,volume
2025-05-28,A/USDT,0.7799,0.7938,0.6666,0.7592,24862688.5
2025-05-29,A/USDT,0.7592,0.785,0.6784,0.6896,22162017.4
2025-05-30,A/USDT,0.6897,0.7513,0.5737,0.6129,34680567.8
2025-05-31,A/USDT,0.6129,0.6446,0.5782,0.6099,32434685.1
2025-06-01,A/USDT,0.6099,0.6766,0.5981,0.6456,35963758.7
2025-06-02,A/USDT,0.6457,0.6559,0.6189,0.6511,79036160.5
2025-06-03,A/USDT,0.6511,0.6612,0.6347,0.6394,60725319.1
2025-06-04,A/USDT,0.6394,0.6625,0.6081,0.6223,13447160.5
2025-06-05,A/USDT,0.6222,0.6371,0.5572,0.5792,20722701.1
2025-06-06,A/USDT,0.5793,0.5963,0.572,0.5866,9912219.6
2025-06-07,A/USDT,0.5865,0.6,0.5845,0.5901,7619554.7
2025-06-08,A/USDT,0.5901,0.595,0.5674,0.582,10141322.8
2025-06-09,A/USDT,0.5819,0.6014,0.56,0.5966,14713395.3
2025-06-10,A/USDT,0.5968,0.6054,0.5761,0.6017,16625053.3
2025-06-11,A/USDT,0.6019,0.705,0.5903,0.6327,59662992.3
2025-06-12,A/USDT,0.6327,0.6353,0.55,0.5659,28787898.9
2025-06-13,A/USDT,0.5658,0.5661,0.5114,0.5389,30685266.6
2025-06-14,A/USDT,0.5388,0.5388,0.5169,0.5312,6810013.3
2025-06-15,A/USDT,0.5313,0.5357,0.5153,0.5291,5516151.9
2025-06-16,A/USDT,0.5292,0.548,0.5218,0.5237,9810129.3
2025-06-17,A/USDT,0.5239,0.5351,0.4888,0.5035,13530526.1
2025-06-18,A/USDT,0.5037,0.5133,0.4882,0.5113,9415428.1
2025-06-19,A/USDT,0.5113,0.514,0.5013,0.5094,4376815.6
2025-06-20,A/USDT,0.5095,0.5236,0.4892,0.4992,7993120.8
2025-06-21,A/USDT,0.4992,0.5084,0.4546,0.4735,9196028.0
2025-06-22,A/USDT,0.4736,0.481,0.4524,0.476,16161996.6
2025-06-23,A/USDT,0.476,0.5143,0.47,0.5124,9412247.8
2025-06-24,A/USDT,0.5125,0.5271,0.4993,0.5099,13840809.8
2025-06-25,A/USDT,0.5099,0.5274,0.501,0.5071,12590927.0
2025-06-26,A/USDT,0.507,0.5149,0.489,0.4935,7743486.8
2025-06-27,A/USDT,0.4935,0.5027,0.4828,0.494,6906366.6
2025-06-28,A/USDT,0.4941,0.5028,0.488,0.5001,4314013.8
2025-06-29,A/USDT,0.5002,0.5141,0.4913,0.5114,4716434.4
2025-06-30,A/USDT,0.5114,0.5134,0.4883,0.4938,5879314.9
2025-07-01,A/USDT,0.4938,0.4945,0.4727,0.4759,7117233.9
2025-07-02,A/USDT,0.4759,0.5034,0.4718,0.4959,8182723.6
2025-07-03,A/USDT,0.496,0.5075,0.4934,0.4981,6070530.4
2025-07-04,A/USDT,0.498,0.4997,0.4738,0.4795,6411550.1
2025-07-05,A/USDT,0.4795,0.4832,0.4731,0.4804,3880394.0
2025-07-06,A/USDT,0.4805,0.4891,0.4746,0.4823,4160713.5
2025-07-07,A/USDT,0.4824,0.57,0.476,0.4873,23385336.1
2025-07-08,A/USDT,0.4873,0.5178,0.4818,0.5051,39143115.0
2025-07-09,A/USDT,0.505,0.5284,0.4971,0.5236,19949556.0
2025-07-10,A/USDT,0.5237,0.5467,0.5166,0.5449,16641208.5
2025-07-11,A/USDT,0.545,0.56,0.5273,0.5391,24713658.3
2025-07-12,A/USDT,0.5392,0.5476,0.5141,0.5297,15700094.2
2025-07-13,A/USDT,0.5296,0.5611,0.5264,0.5452,13527329.7
2025-07-14,A/USDT,0.5452,0.5722,0.5349,0.5486,20334360.0
2025-07-15,A/USDT,0.5485,0.5568,0.5306,0.5557,15891271.3
2025-07-16,A/USDT,0.5557,0.5703,0.5475,0.5594,9512111.9
2025-07-17,A/USDT,0.5594,0.5755,0.544,0.5704,12397463.9
2025-07-18,A/USDT,0.5704,0.6159,0.558,0.5944,26546395.5
2025-07-19,A/USDT,0.5944,0.6217,0.5715,0.6066,17863165.1
2025-07-20,A/USDT,0.6066,0.6379,0.5975,0.6238,15526286.0
2025-07-21,A/USDT,0.6238,0.641,0.5886,0.6049,16576169.6
2025-07-22,A/USDT,0.605,0.6072,0.5788,0.6019,12299341.1
2025-07-23,A/USDT,0.6019,0.6481,0.5737,0.6079,42896284.4
2025-07-24,A/USDT,0.6079,0.6114,0.55,0.5755,16975426.0
2025-07-25,A/USDT,0.5756,0.578,0.5512,0.576,13051744.0
2025-07-26,A/USDT,0.5759,0.5781,0.569,0.5702,4588973.2
2025-07-27,A/USDT,0.5702,0.5849,0.5688,0.5819,5687539.2
2025-07-28,A/USDT,0.582,0.5917,0.5291,0.5459,8848888.3
2025-07-29,A/USDT,0.546,0.5581,0.5337,0.5445,6822211.2
2025-07-30,A/USDT,0.5445,0.5457,0.5092,0.5346,9337725.0
2025-07-31,A/USDT,0.5347,0.542,0.5101,0.5109,6112907.6
2025-08-01,A/USDT,0.5109,0.5131,0.4858,0.5,12534789.3
2025-08-02,A/USDT,0.4999,0.5045,0.4769,0.4874,8671427.1
2025-08-03,A/USDT,0.4875,0.4991,0.4806,0.4964,5045202.0
2025-08-04,A/USDT,0.4963,0.5125,0.496,0.5119,4798455.8
2025-08-05,A/USDT,0.5118,0.5216,0.4943,0.5045,10488847.4
2025-08-06,A/USDT,0.5046,0.5112,0.4925,0.5071,5611410.9
2025-08-07,A/USDT,0.5071,0.5315,0.5055,0.5306,7145366.0
2025-08-08,A/USDT,0.5305,0.536,0.5194,0.5295,8772575.0
2025-08-09,A/USDT,0.5296,0.549,0.5274,0.5409,6682591.4
2025-08-10,A/USDT,0.541,0.5518,0.5277,0.5356,7779223.3
2025-08-11,A/USDT,0.5357,0.5688,0.5193,0.5249,15212782.6
2025-08-12,A/USDT,0.5249,0.5526,0.522,0.5508,12810307.1
2025-08-13,A/USDT,0.5508,0.6085,0.5451,0.5701,21829089.5
2025-08-14,A/USDT,0.5702,0.5785,0.503,0.5148,22293155.3
2025-08-15,A/USDT,0.5147,0.5236,0.4894,0.5049,12746775.9
2025-08-16,A/USDT,0.5048,0.5149,0.503,0.5108,4868762.1
2025-08-17,A/USDT,0.5108,0.522,0.5072,0.5111,4827755.3
2025-08-18,A/USDT,0.5112,0.5119,0.4883,0.4974,8188134.8
2025-08-19,A/USDT,0.4975,0.5026,0.486,0.4912,2819525.8
