time,symbol,open,high,low,close,volume
2020-11-04,AXS/USDT,0.1,0.29,0.1,0.14583,69822782.8
2020-11-05,AXS/USDT,0.14617,0.15082,0.1262,0.1345,22903843.7
2020-11-06,AXS/USDT,0.1341,0.15029,0.121,0.144,15284791.0
2020-11-07,AXS/USDT,0.14312,0.16985,0.13418,0.14076,8860012.0
2020-11-08,AXS/USDT,0.14079,0.242,0.13844,0.19846,29086588.2
2020-11-09,AXS/USDT,0.19716,0.325,0.19716,0.27978,32159035.7
2020-11-10,AXS/USDT,0.27978,0.36917,0.245,0.26968,20424063.5
2020-11-11,AXS/USDT,0.27063,0.437,0.26243,0.354,26801310.5
2020-11-12,AXS/USDT,0.35035,0.38892,0.30277,0.31331,10879906.4
2020-11-13,AXS/USDT,0.31554,0.43,0.31554,0.394,12076359.3
2020-11-14,AXS/USDT,0.39405,0.6079,0.37142,0.56557,28978696.4
2020-11-15,AXS/USDT,0.56447,0.686,0.50371,0.59068,29184590.8
2020-11-16,AXS/USDT,0.59068,0.675,0.53652,0.55918,19747361.6
2020-11-17,AXS/USDT,0.56217,0.603,0.452,0.50246,18710138.8
2020-11-18,AXS/USDT,0.50245,0.57679,0.43225,0.51614,16066053.0
2020-11-19,AXS/USDT,0.5165,0.56,0.43334,0.43821,12250627.8
2020-11-20,AXS/USDT,0.44113,0.5462,0.43,0.49888,16837674.2
2020-11-21,AXS/USDT,0.49826,0.5366,0.45603,0.468,9591165.2
2020-11-22,AXS/USDT,0.46789,0.47339,0.4,0.42719,11438805.6
2020-11-23,AXS/USDT,0.42933,0.54697,0.412,0.51082,15343853.9
2020-11-24,AXS/USDT,0.51087,0.52198,0.435,0.47772,11088860.7
2020-11-25,AXS/USDT,0.47921,0.48725,0.39117,0.41597,6851373.0
2020-11-26,AXS/USDT,0.41693,0.41992,0.31562,0.37014,8374950.5
2020-11-27,AXS/USDT,0.37015,0.38429,0.33504,0.37727,6148455.3
2020-11-28,AXS/USDT,0.37906,0.445,0.37,0.42823,10358145.7
2020-11-29,AXS/USDT,0.42819,0.49598,0.40907,0.47698,9536281.0
2020-11-30,AXS/USDT,0.477,0.48998,0.43221,0.4567,9428590.6
2020-12-01,AXS/USDT,0.45644,0.465,0.4,0.41194,6617986.5
2020-12-02,AXS/USDT,0.40963,0.5172,0.4,0.49817,13288230.3
2020-12-03,AXS/USDT,0.49709,0.53646,0.48174,0.51208,6979046.7
2020-12-04,AXS/USDT,0.51188,0.5146,0.41896,0.43118,6632893.7
2020-12-05,AXS/USDT,0.42971,0.48464,0.42089,0.476,4706593.9
2020-12-06,AXS/USDT,0.47613,0.486,0.442,0.47941,3896628.1
2020-12-07,AXS/USDT,0.48108,0.5797,0.46771,0.56057,13081302.3
2020-12-08,AXS/USDT,0.56147,0.671,0.52196,0.57111,24113442.1
2020-12-09,AXS/USDT,0.57107,0.68298,0.55634,0.62749,16998699.7
2020-12-10,AXS/USDT,0.62744,0.639,0.55087,0.56381,7298080.6
2020-12-11,AXS/USDT,0.56465,0.578,0.497,0.55065,8110506.6
2020-12-12,AXS/USDT,0.55031,0.63,0.55031,0.57816,6355323.2
2020-12-13,AXS/USDT,0.57817,0.6194,0.56366,0.6139,4542419.9
2020-12-14,AXS/USDT,0.61377,0.669,0.57862,0.63805,8750266.6
2020-12-15,AXS/USDT,0.63933,0.7495,0.60796,0.72974,9886558.7
2020-12-16,AXS/USDT,0.72974,0.8,0.69053,0.74244,14892463.2
2020-12-17,AXS/USDT,0.74505,0.76968,0.685,0.712,10511328.5
2020-12-18,AXS/USDT,0.71136,0.84659,0.68001,0.8244,11035783.1
2020-12-19,AXS/USDT,0.8244,0.8564,0.74628,0.75768,6975018.7
2020-12-20,AXS/USDT,0.75758,0.78888,0.66165,0.68945,5208236.7
2020-12-21,AXS/USDT,0.68669,0.71688,0.5962,0.63978,5461463.3
2020-12-22,AXS/USDT,0.63973,0.6613,0.5868,0.65483,3625380.1
2020-12-23,AXS/USDT,0.6548,0.66,0.45876,0.54145,7727834.6
2020-12-24,AXS/USDT,0.53306,0.64853,0.46303,0.63999,9188878.2
2020-12-25,AXS/USDT,0.63934,0.6675,0.57679,0.59892,5203590.5
2020-12-26,AXS/USDT,0.59873,0.61819,0.53693,0.57927,3744838.9
2020-12-27,AXS/USDT,0.57993,0.62776,0.51865,0.59955,4635638.6
2020-12-28,AXS/USDT,0.59957,0.665,0.58184,0.59916,3858241.9
2020-12-29,AXS/USDT,0.59916,0.61099,0.52857,0.56057,2892515.8
2020-12-30,AXS/USDT,0.56458,0.5865,0.53089,0.53597,2428672.6
2020-12-31,AXS/USDT,0.5345,0.53973,0.5,0.53785,2442108.8
2021-01-01,AXS/USDT,0.53779,0.62359,0.51169,0.5931,6649976.9
2021-01-02,AXS/USDT,0.59309,0.62813,0.52867,0.54275,8519953.1
2021-01-03,AXS/USDT,0.53924,0.58346,0.52166,0.56523,4297246.6
2021-01-04,AXS/USDT,0.56816,0.6162,0.5101,0.56082,5591304.1
2021-01-05,AXS/USDT,0.56311,0.58679,0.51944,0.55605,4026363.3
2021-01-06,AXS/USDT,0.5576,0.63,0.53418,0.60086,6372833.2
2021-01-07,AXS/USDT,0.60343,0.74,0.59072,0.60403,11570115.2
2021-01-08,AXS/USDT,0.60329,0.64391,0.5342,0.59363,7047422.4
2021-01-09,AXS/USDT,0.59261,0.6382,0.55736,0.60144,5211510.3
2021-01-10,AXS/USDT,0.6019,0.66123,0.526,0.57292,5467421.4
2021-01-11,AXS/USDT,0.57171,0.57264,0.4099,0.49958,5451181.5
2021-01-12,AXS/USDT,0.49932,0.51487,0.43888,0.44957,2998891.7
2021-01-13,AXS/USDT,0.4502,0.51,0.43657,0.50223,3549020.2
2021-01-14,AXS/USDT,0.50223,0.5498,0.48101,0.53431,3553993.2
2021-01-15,AXS/USDT,0.53436,0.574,0.49532,0.54322,5701044.3
2021-01-16,AXS/USDT,0.54365,0.63,0.54248,0.58347,6299329.1
2021-01-17,AXS/USDT,0.58258,0.64699,0.56171,0.61396,5197507.2
2021-01-18,AXS/USDT,0.61372,0.6832,0.57802,0.68269,8302417.8
2021-01-19,AXS/USDT,0.68293,0.7099,0.62033,0.629,4604800.3
2021-01-20,AXS/USDT,0.62956,0.66497,0.57533,0.63369,3804761.0
2021-01-21,AXS/USDT,0.63387,0.73,0.59803,0.64438,14042962.9
2021-01-22,AXS/USDT,0.64517,0.6789,0.535,0.63708,7939294.1
2021-01-23,AXS/USDT,0.63398,0.7491,0.601,0.695,8637521.7
2021-01-24,AXS/USDT,0.69578,0.82222,0.68341,0.7351,7848823.0
2021-01-25,AXS/USDT,0.7351,0.87841,0.72001,0.83543,6953398.9
2021-01-26,AXS/USDT,0.83577,0.996,0.81418,0.94674,13583544.6
2021-01-27,AXS/USDT,0.94789,1.189,0.86,0.87323,12563270.5
2021-01-28,AXS/USDT,0.86973,0.94436,0.80757,0.81555,9376754.6
2021-01-29,AXS/USDT,0.8173,0.83799,0.73842,0.81172,8219307.2
2021-01-30,AXS/USDT,0.81418,0.88,0.76281,0.84069,5475866.5
2021-01-31,AXS/USDT,0.84095,0.87417,0.76,0.80531,3408022.7
2021-02-01,AXS/USDT,0.80327,1.04999,0.77,1.00686,10006116.4
2021-02-02,AXS/USDT,1.00536,1.02577,0.91049,0.9551,4055209.7
2021-02-03,AXS/USDT,0.96082,1.05884,0.94817,1.01535,3413200.5
2021-02-04,AXS/USDT,1.01605,1.01923,0.88614,0.95416,4233080.7
