time,symbol,open,high,low,close,volume
2017-11-11,BCC/USDT,802.0,1440.0,802.0,1311.0,2709.69745
2017-11-12,BCC/USDT,1334.0,2507.0,1001.0,1362.84,7877.47723
2017-11-13,BCC/USDT,1362.84,1500.0,1011.0,1350.0,3057.27543
2017-11-14,BCC/USDT,1350.0,1361.99,1181.92,1242.05,900.86865
2017-11-15,BCC/USDT,1243.01,1310.0,1157.02,1192.0,806.32168
2017-11-16,BCC/USDT,1192.0,1196.92,870.0,899.35,4451.05483
2017-11-17,BCC/USDT,904.0,1209.99,852.36,1169.56,7093.63308
2017-11-18,BCC/USDT,1178.15,1388.2,1178.15,1226.58,6102.14678
2017-11-19,BCC/USDT,1226.99,1254.1,1130.0,1158.6,5672.72922
2017-11-20,BCC/USDT,1159.63,1250.0,1159.63,1234.9,5027.65949
2017-11-21,BCC/USDT,1245.01,1256.0,1150.0,1173.76,3723.05286
2017-11-22,BCC/USDT,1172.37,1369.99,1172.36,1279.51,5052.42095
2017-11-23,BCC/USDT,1279.52,1680.0,1279.51,1680.0,5255.42073
2017-11-24,BCC/USDT,1678.0,1773.08,1501.0,1606.0,5982.47416
2017-11-25,BCC/USDT,1606.0,1640.32,1500.0,1536.15,4516.487
2017-11-26,BCC/USDT,1543.63,1733.0,1515.74,1697.79,4835.29238
2017-11-27,BCC/USDT,1688.07,1716.59,1533.64,1581.34,5119.12126
2017-11-28,BCC/USDT,1580.01,1601.74,1479.98,1479.98,3856.02935
2017-11-29,BCC/USDT,1488.96,1630.02,1263.07,1332.89,7023.49962
2017-11-30,BCC/USDT,1331.95,1422.23,1156.19,1315.79,7305.49932
2017-12-01,BCC/USDT,1307.98,1440.74,1235.63,1424.99,2431.66016
2017-12-02,BCC/USDT,1424.5,1466.52,1365.09,1391.39,1258.05683
2017-12-03,BCC/USDT,1403.07,1627.44,1378.68,1521.61,2090.63933
2017-12-04,BCC/USDT,1518.84,1548.84,1430.32,1530.7,2600.08075
2017-12-05,BCC/USDT,1531.72,1588.01,1421.01,1426.02,3787.22411
2017-12-06,BCC/USDT,1426.02,1484.04,1288.0,1335.34,3604.36702
2017-12-07,BCC/USDT,1341.51,1377.27,1176.0,1223.02,4942.25067
2017-12-08,BCC/USDT,1223.0,1780.0,1145.1,1377.04,11698.18052
2017-12-09,BCC/USDT,1386.19,1482.02,1260.0,1368.1,6646.02105
2017-12-10,BCC/USDT,1368.1,1375.02,1085.18,1278.5,6337.71433
2017-12-11,BCC/USDT,1274.06,1429.8,1274.06,1382.0,4296.29309
2017-12-12,BCC/USDT,1394.52,1600.0,1392.91,1539.87,5822.27229
2017-12-13,BCC/USDT,1539.88,1610.0,1361.96,1567.0,4581.52822
2017-12-14,BCC/USDT,1567.0,2009.0,1540.0,1926.25,6538.95191
2017-12-15,BCC/USDT,1931.47,1957.31,1621.69,1795.0,3684.66592
2017-12-16,BCC/USDT,1795.0,1870.0,1732.18,1755.26,2222.79472
2017-12-17,BCC/USDT,1755.25,1907.0,1755.25,1814.15,3211.4986
2017-12-18,BCC/USDT,1816.0,2329.99,1662.29,2159.98,7434.50559
2017-12-19,BCC/USDT,2159.98,2998.0,1951.0,2660.37,10994.36637
2017-12-20,BCC/USDT,2660.37,5389.35,2604.11,3700.02,35264.44645
2017-12-21,BCC/USDT,3700.01,3700.01,2653.56,3038.98,9311.87574
2017-12-22,BCC/USDT,3038.98,3145.46,1770.0,2477.46,18597.88836
2017-12-23,BCC/USDT,2477.46,3160.89,2406.48,2734.25,8374.4104
2017-12-24,BCC/USDT,2734.22,2885.1,2320.01,2757.43,8892.54191
2017-12-25,BCC/USDT,2769.92,2868.0,2570.0,2712.0,4079.1877
2017-12-26,BCC/USDT,2713.98,2938.98,2676.21,2938.98,2952.77794
2017-12-27,BCC/USDT,2936.95,2938.96,2526.97,2710.28,3089.98745
2017-12-28,BCC/USDT,2709.99,2720.0,2255.01,2449.84,4604.70237
2017-12-29,BCC/USDT,2449.85,2899.0,2303.27,2607.68,4893.42366
2017-12-30,BCC/USDT,2607.69,2624.71,2066.21,2174.0,5558.31309
2017-12-31,BCC/USDT,2169.77,2471.26,2059.0,2352.32,3460.2948
2018-01-01,BCC/USDT,2339.36,2399.0,2230.21,2300.01,1766.01496
2018-01-02,BCC/USDT,2300.01,2700.31,2299.3,2529.01,4240.15401
2018-01-03,BCC/USDT,2531.54,2770.0,2416.2,2512.85,3626.98665
2018-01-04,BCC/USDT,2520.36,2522.3,2270.0,2331.78,4107.05386
2018-01-05,BCC/USDT,2328.52,2534.78,2292.0,2393.24,5472.2914
2018-01-06,BCC/USDT,2393.24,2646.0,2300.0,2525.95,4682.30839
2018-01-07,BCC/USDT,2521.06,2760.0,2479.0,2525.93,3654.91573
2018-01-08,BCC/USDT,2523.06,2560.0,2066.84,2382.99,4926.77984
2018-01-09,BCC/USDT,2389.68,2483.49,2291.25,2352.02,3096.40071
2018-01-10,BCC/USDT,2364.24,2995.0,2245.0,2883.63,12471.9081
2018-01-11,BCC/USDT,2883.63,2966.11,2118.18,2429.46,11889.32088
2018-01-12,BCC/USDT,2429.62,2650.88,2318.81,2587.57,4223.16574
2018-01-13,BCC/USDT,2591.53,2874.85,2530.0,2658.09,5040.76869
2018-01-14,BCC/USDT,2658.51,2723.84,2353.39,2487.48,3847.03648
2018-01-15,BCC/USDT,2498.86,2535.5,2200.78,2370.28,5407.48055
2018-01-16,BCC/USDT,2370.28,2386.94,1357.0,1688.81,13860.82268
2018-01-17,BCC/USDT,1688.85,1850.0,1320.0,1727.69,13410.29652
2018-01-18,BCC/USDT,1727.7,1868.0,1640.04,1678.01,8858.00469
2018-01-19,BCC/USDT,1678.16,1832.99,1640.08,1758.97,5135.51366
2018-01-20,BCC/USDT,1758.87,2144.0,1745.18,2025.0,6821.79958
2018-01-21,BCC/USDT,2025.0,2028.0,1683.28,1768.97,6394.87061
2018-01-22,BCC/USDT,1770.86,1799.54,1495.0,1603.47,6128.07167
2018-01-23,BCC/USDT,1603.48,1692.91,1475.13,1613.1,4799.75317
2018-01-24,BCC/USDT,1608.48,1687.83,1547.65,1655.64,4644.52804
2018-01-25,BCC/USDT,1655.0,1715.84,1600.0,1635.51,3039.40628
2018-01-26,BCC/USDT,1634.11,1677.5,1410.12,1614.87,4850.67484
2018-01-27,BCC/USDT,1612.89,1675.0,1566.92,1645.79,3021.72506
2018-01-28,BCC/USDT,1643.8,1792.87,1636.22,1772.31,4074.27048
2018-01-29,BCC/USDT,1768.51,1783.47,1635.0,1658.52,2301.00321
2018-01-30,BCC/USDT,1658.51,1667.2,1468.0,1499.31,2843.952
2018-01-31,BCC/USDT,1493.94,1541.98,1401.0,1500.0,2440.31344
2018-02-01,BCC/USDT,1500.0,1514.99,1219.36,1287.37,4745.43429
2018-02-02,BCC/USDT,1286.33,1291.83,1002.01,1192.87,7654.7277
2018-02-03,BCC/USDT,1199.98,1320.0,1070.63,1276.4,4430.51627
2018-02-04,BCC/USDT,1276.4,1296.47,1096.85,1159.26,5425.30606
2018-02-05,BCC/USDT,1157.68,1175.26,825.74,879.87,7679.46973
2018-02-06,BCC/USDT,885.22,982.0,760.01,963.82,12830.84779
2018-02-07,BCC/USDT,963.75,1040.0,890.68,951.0,10484.49128
2018-02-08,BCC/USDT,952.0,976.72,949.0,976.0,148.36187
2018-02-09,BCC/USDT,976.5,1400.0,976.5,1302.77,5926.71122
2018-02-10,BCC/USDT,1302.77,1389.0,1170.0,1236.72,8709.30179
2018-02-11,BCC/USDT,1236.72,1295.26,1160.33,1208.12,8665.53767
