time,symbol,open,high,low,close,volume
2025-02-06,BERA/USDT,1.0,15.5,1.0,8.717,89366500.447
2025-02-07,BERA/USDT,8.717,9.234,7.21,7.7,28645938.1
2025-02-08,BERA/USDT,7.7,7.79,5.751,6.053,18738429.757
2025-02-09,BERA/USDT,6.053,6.514,4.906,5.187,15016007.937
2025-02-10,BERA/USDT,5.186,5.693,4.743,5.282,12887411.71
2025-02-11,BERA/USDT,5.28,6.357,5.235,5.81,11022514.607
2025-02-12,BERA/USDT,5.808,6.116,5.395,5.885,9140586.828
2025-02-13,BERA/USDT,5.887,6.306,5.55,5.598,6448828.171
2025-02-14,BERA/USDT,5.599,6.013,5.417,5.904,4856771.776
2025-02-15,BERA/USDT,5.907,6.188,5.615,5.657,4173286.659
2025-02-16,BERA/USDT,5.653,5.756,5.492,5.611,2386790.452
2025-02-17,BERA/USDT,5.612,6.777,5.56,6.141,8249428.925
2025-02-18,BERA/USDT,6.141,6.295,5.657,6.247,6526134.51
2025-02-19,BERA/USDT,6.247,6.897,6.207,6.61,8346676.462
2025-02-20,BERA/USDT,6.611,9.184,6.497,8.807,22692517.589
2025-02-21,BERA/USDT,8.807,8.89,7.458,7.493,14767935.85
2025-02-22,BERA/USDT,7.493,7.79,7.011,7.503,10109802.491
2025-02-23,BERA/USDT,7.503,7.714,6.686,6.913,6225036.382
2025-02-24,BERA/USDT,6.912,7.25,6.516,6.79,11977187.227
2025-02-25,BERA/USDT,6.791,7.042,6.019,6.778,11620109.308
2025-02-26,BERA/USDT,6.78,8.017,6.672,7.404,13533047.602
2025-02-27,BERA/USDT,7.405,8.299,7.218,8.111,11545781.367
2025-02-28,BERA/USDT,8.109,8.788,7.21,8.679,14182789.778
2025-03-01,BERA/USDT,8.676,8.944,8.111,8.267,5650344.614
2025-03-02,BERA/USDT,8.267,9.189,8.066,8.546,10919960.703
2025-03-03,BERA/USDT,8.546,8.6,6.802,6.815,7491484.108
2025-03-04,BERA/USDT,6.816,6.892,6.027,6.62,10352181.964
2025-03-05,BERA/USDT,6.619,7.204,6.455,6.936,7943409.434
2025-03-06,BERA/USDT,6.934,7.219,6.679,6.768,5979374.219
2025-03-07,BERA/USDT,6.769,6.888,6.5,6.629,5020205.111
2025-03-08,BERA/USDT,6.629,6.904,6.502,6.77,2592021.846
2025-03-09,BERA/USDT,6.769,6.809,5.772,5.78,4331383.406
2025-03-10,BERA/USDT,5.782,6.197,5.436,5.583,6268311.953
2025-03-11,BERA/USDT,5.582,6.075,5.259,5.876,3884759.166
2025-03-12,BERA/USDT,5.878,6.306,5.726,6.257,2895595.425
2025-03-13,BERA/USDT,6.255,6.346,5.797,5.918,3173373.217
2025-03-14,BERA/USDT,5.919,6.239,5.9,6.13,2292903.195
2025-03-15,BERA/USDT,6.13,6.554,6.127,6.478,2451882.853
2025-03-16,BERA/USDT,6.476,6.557,6.269,6.357,2691632.033
2025-03-17,BERA/USDT,6.356,7.136,6.356,6.62,4430253.711
2025-03-18,BERA/USDT,6.618,6.625,5.787,5.927,3355560.517
2025-03-19,BERA/USDT,5.925,6.183,5.836,6.157,2447590.986
