time,symbol,open,high,low,close,volume
2023-09-22,CREAM/USDT,11.49,57.45,11.12,11.47,79919.253
2023-09-23,CREAM/USDT,11.4,22.5,11.31,17.52,1634963.025
2023-09-24,CREAM/USDT,17.55,24.29,14.76,16.4,1702466.439
2023-09-25,CREAM/USDT,16.38,19.56,15.2,19.02,511321.127
2023-09-26,CREAM/USDT,19.02,21.88,17.55,18.07,860934.57
2023-09-27,CREAM/USDT,18.07,19.83,16.64,18.37,415175.038
2023-09-28,CREAM/USDT,18.35,21.8,17.57,19.33,624562.54
2023-09-29,CREAM/USDT,19.33,20.67,17.77,18.39,224800.813
2023-09-30,CREAM/USDT,18.35,18.49,17.1,17.56,134167.966
2023-10-01,CREAM/USDT,17.52,18.25,17.12,17.81,92716.558
2023-10-02,CREAM/USDT,17.78,20.4,17.4,19.34,573662.135
2023-10-03,CREAM/USDT,19.35,20.3,17.3,17.64,218085.566
2023-10-04,CREAM/USDT,17.64,19.2,17.4,17.99,187378.258
2023-10-05,CREAM/USDT,17.96,18.31,17.4,17.54,70348.259
2023-10-06,CREAM/USDT,17.54,17.96,16.49,17.71,144969.695
2023-10-07,CREAM/USDT,17.69,18.8,17.0,17.26,113873.44
2023-10-08,CREAM/USDT,17.26,17.49,16.81,16.91,53688.856
2023-10-09,CREAM/USDT,16.92,17.2,15.5,15.73,90425.609
2023-10-10,CREAM/USDT,15.73,16.03,14.68,14.8,51893.919
2023-10-11,CREAM/USDT,14.81,15.7,14.24,14.73,53538.155
2023-10-12,CREAM/USDT,14.73,17.93,14.37,15.33,462663.835
2023-10-13,CREAM/USDT,15.34,16.85,15.0,15.61,219918.603
2023-10-14,CREAM/USDT,15.61,16.33,15.14,15.6,148364.619
2023-10-15,CREAM/USDT,15.59,17.59,15.3,16.24,287561.817
2023-10-16,CREAM/USDT,16.26,17.11,16.01,16.31,127879.326
2023-10-17,CREAM/USDT,16.32,16.48,15.1,15.18,68905.166
2023-10-18,CREAM/USDT,15.18,18.75,15.01,15.86,559903.782
2023-10-19,CREAM/USDT,15.87,16.92,15.2,15.35,181008.159
2023-10-20,CREAM/USDT,15.35,15.86,15.2,15.71,99071.951
2023-10-21,CREAM/USDT,15.71,16.18,15.46,15.89,75074.129
2023-10-22,CREAM/USDT,15.89,16.91,15.63,16.1,238795.402
2023-10-23,CREAM/USDT,16.1,16.35,15.7,16.11,82224.167
2023-10-24,CREAM/USDT,16.11,16.35,15.81,16.02,107034.791
2023-10-25,CREAM/USDT,16.05,16.2,15.8,16.0,75658.888
2023-10-26,CREAM/USDT,16.01,16.5,15.82,16.08,97639.402
2023-10-27,CREAM/USDT,16.05,17.25,15.95,16.29,168378.766
2023-10-28,CREAM/USDT,16.31,16.67,16.2,16.42,70161.494
2023-10-29,CREAM/USDT,16.42,17.29,16.07,16.69,156200.298
2023-10-30,CREAM/USDT,16.69,17.47,16.51,17.25,139543.625
2023-10-31,CREAM/USDT,17.23,17.5,16.55,16.98,107617.929
2023-11-01,CREAM/USDT,16.98,17.33,16.67,16.87,99370.55
2023-11-02,CREAM/USDT,16.88,17.12,16.09,16.29,82962.604
2023-11-03,CREAM/USDT,16.32,16.37,15.21,16.03,57223.958
2023-11-04,CREAM/USDT,16.04,16.15,15.5,15.89,35110.613
2023-11-05,CREAM/USDT,15.92,17.0,15.75,16.3,98337.37
2023-11-06,CREAM/USDT,16.3,16.9,16.17,16.62,67483.286
2023-11-07,CREAM/USDT,16.62,17.57,16.5,16.55,165282.482
2023-11-08,CREAM/USDT,16.55,16.79,15.93,16.48,56042.859
2023-11-09,CREAM/USDT,16.48,17.12,16.01,16.55,103354.078
2023-11-10,CREAM/USDT,16.58,17.05,16.0,16.7,100358.669
2023-11-11,CREAM/USDT,16.73,19.8,16.45,17.1,361561.198
2023-11-12,CREAM/USDT,17.13,24.2,17.02,19.84,691355.339
2023-11-13,CREAM/USDT,19.78,20.4,17.56,18.46,340101.752
2023-11-14,CREAM/USDT,18.49,23.9,18.2,21.14,751325.817
2023-11-15,CREAM/USDT,21.14,22.22,19.5,20.85,249976.416
2023-11-16,CREAM/USDT,20.9,21.45,20.03,20.17,158876.04
2023-11-17,CREAM/USDT,20.14,20.77,18.5,19.17,86390.482
2023-11-18,CREAM/USDT,19.17,19.77,17.54,19.06,100584.492
2023-11-19,CREAM/USDT,19.03,19.43,18.44,19.17,41808.799
2023-11-20,CREAM/USDT,19.13,19.7,18.28,19.04,69920.929
2023-11-21,CREAM/USDT,19.05,19.32,16.22,16.28,89787.605
2023-11-22,CREAM/USDT,16.29,18.03,16.22,17.9,52121.859
2023-11-23,CREAM/USDT,17.9,18.11,17.0,17.37,44284.821
2023-11-24,CREAM/USDT,17.37,17.85,17.09,17.56,45917.553
2023-11-25,CREAM/USDT,17.56,17.78,17.0,17.65,52169.152
2023-11-26,CREAM/USDT,17.65,19.2,17.3,18.01,107287.029
2023-11-27,CREAM/USDT,18.01,20.65,17.52,17.87,367108.038
2023-11-28,CREAM/USDT,17.87,18.55,17.71,18.01,92253.146
2023-11-29,CREAM/USDT,18.04,18.2,16.91,17.27,64412.278
2023-11-30,CREAM/USDT,17.23,17.72,17.0,17.57,40980.535
2023-12-01,CREAM/USDT,17.57,19.5,17.35,18.58,422616.285
2023-12-02,CREAM/USDT,18.56,19.09,18.0,18.17,178388.85
2023-12-03,CREAM/USDT,18.19,18.81,17.67,17.8,160677.755
2023-12-04,CREAM/USDT,17.8,18.4,17.38,17.9,74775.4
2023-12-05,CREAM/USDT,17.92,18.15,17.32,17.55,67415.639
2023-12-06,CREAM/USDT,17.6,17.97,17.11,17.18,55404.528
2023-12-07,CREAM/USDT,17.21,17.59,16.92,17.36,41670.21
2023-12-08,CREAM/USDT,17.36,18.4,17.1,17.66,95913.118
2023-12-09,CREAM/USDT,17.62,19.38,17.4,18.06,195863.899
2023-12-10,CREAM/USDT,18.08,18.76,17.68,18.24,56591.078
2023-12-11,CREAM/USDT,18.24,18.82,17.28,17.6,82120.596
2023-12-12,CREAM/USDT,17.59,18.12,17.28,17.51,34490.15
2023-12-13,CREAM/USDT,17.51,18.07,17.19,17.96,41456.191
2023-12-14,CREAM/USDT,17.96,18.8,17.8,18.0,74386.183
2023-12-15,CREAM/USDT,18.0,18.29,17.65,17.66,27206.881
2023-12-16,CREAM/USDT,17.66,18.3,17.46,17.66,27716.578
2023-12-17,CREAM/USDT,17.7,19.35,17.5,17.65,102370.271
2023-12-18,CREAM/USDT,17.69,17.76,17.08,17.39,28583.722
2023-12-19,CREAM/USDT,17.39,17.76,17.1,17.26,25473.016
2023-12-20,CREAM/USDT,17.26,17.84,17.2,17.64,21198.374
2023-12-21,CREAM/USDT,17.61,17.81,17.34,17.68,22595.294
2023-12-22,CREAM/USDT,17.68,17.76,17.35,17.56,23157.274
2023-12-23,CREAM/USDT,17.56,19.14,17.3,17.69,85443.807
2023-12-24,CREAM/USDT,17.69,19.14,17.61,18.11,111652.822
2023-12-25,CREAM/USDT,18.11,19.45,18.05,18.5,100205.41
2023-12-26,CREAM/USDT,18.5,24.5,17.89,18.96,473541.465
2023-12-27,CREAM/USDT,19.01,24.27,18.75,19.91,692845.388
2023-12-28,CREAM/USDT,19.91,20.32,18.2,18.78,94867.643
2023-12-29,CREAM/USDT,18.79,19.21,18.05,18.53,57904.817
2023-12-30,CREAM/USDT,18.5,20.1,18.22,19.16,159073.747
2023-12-31,CREAM/USDT,19.16,19.37,18.31,18.57,65517.323
2024-01-01,CREAM/USDT,18.57,21.55,18.3,19.7,182651.102
2024-01-02,CREAM/USDT,19.7,19.95,19.0,19.36,54581.968
2024-01-03,CREAM/USDT,19.36,19.89,17.5,18.1,79678.625
2024-01-04,CREAM/USDT,18.08,18.44,17.81,18.31,34784.536
2024-01-05,CREAM/USDT,18.31,18.36,16.9,17.41,47415.769
2024-01-06,CREAM/USDT,17.41,17.42,16.48,17.08,31988.47
2024-01-07,CREAM/USDT,17.08,17.56,16.62,16.72,30696.618
2024-01-08,CREAM/USDT,16.77,17.01,15.61,16.93,26047.733
2024-01-09,CREAM/USDT,16.93,16.98,15.72,16.13,29851.098
2024-01-10,CREAM/USDT,16.13,17.25,15.65,16.84,28550.673
2024-01-11,CREAM/USDT,16.87,17.9,16.77,17.54,44719.789
2024-01-12,CREAM/USDT,17.48,18.08,16.5,16.89,36386.678
2024-01-13,CREAM/USDT,16.94,17.47,16.63,17.29,21209.011
2024-01-14,CREAM/USDT,17.29,17.53,16.83,16.9,23660.51
