time,symbol,open,high,low,close,volume
2020-08-15,CRV/USDT,5.0,23.255,5.0,6.91,5014732.421
2020-08-16,CRV/USDT,6.91,7.696,5.734,5.782,3224235.06
2020-08-17,CRV/USDT,5.781,5.94,4.182,4.38,4726877.361
2020-08-18,CRV/USDT,4.375,4.486,3.173,3.6,5891300.544
2020-08-19,CRV/USDT,3.6,5.03,3.305,3.919,7644862.305
2020-08-20,CRV/USDT,3.919,4.675,3.809,3.89,4503665.09
2020-08-21,CRV/USDT,3.884,4.069,3.2,3.23,4839799.213
2020-08-22,CRV/USDT,3.23,3.27,2.715,3.057,3407375.506
2020-08-23,CRV/USDT,3.057,3.09,2.58,2.695,3452913.365
2020-08-24,CRV/USDT,2.685,3.1,2.595,2.897,4249210.839
2020-08-25,CRV/USDT,2.884,3.411,2.68,2.857,5472771.867
2020-08-26,CRV/USDT,2.858,4.15,2.815,3.556,9770163.833
2020-08-27,CRV/USDT,3.558,4.316,3.2,3.344,10622222.281
2020-08-28,CRV/USDT,3.344,4.0,3.34,3.527,5469740.809
2020-08-29,CRV/USDT,3.532,3.549,3.083,3.109,4563202.893
2020-08-30,CRV/USDT,3.107,3.75,3.08,3.554,7510633.032
2020-08-31,CRV/USDT,3.557,4.443,3.423,4.337,7516192.043
2020-09-01,CRV/USDT,4.333,5.701,4.141,5.335,21189407.359
2020-09-02,CRV/USDT,5.356,5.369,3.8,4.326,13213895.281
2020-09-03,CRV/USDT,4.326,4.359,2.733,2.913,13872548.792
2020-09-04,CRV/USDT,2.913,3.294,2.666,2.85,9011295.305
2020-09-05,CRV/USDT,2.851,3.073,1.549,1.901,10874401.79
2020-09-06,CRV/USDT,1.897,2.335,1.5,2.16,12841820.034
2020-09-07,CRV/USDT,2.161,2.298,1.7,2.097,8069814.767
2020-09-08,CRV/USDT,2.1,2.15,1.757,1.839,6501641.783
2020-09-09,CRV/USDT,1.838,2.143,1.772,1.973,8816283.969
2020-09-10,CRV/USDT,1.97,2.197,1.925,1.96,9833403.85
2020-09-11,CRV/USDT,1.961,2.009,1.703,1.901,8378489.691
2020-09-12,CRV/USDT,1.9,2.147,1.81,2.103,11820422.808
2020-09-13,CRV/USDT,2.101,2.14,1.76,1.908,9602679.523
2020-09-14,CRV/USDT,1.908,1.982,1.787,1.843,7171169.585
2020-09-15,CRV/USDT,1.846,1.889,1.337,1.415,10844631.258
2020-09-16,CRV/USDT,1.417,1.463,1.198,1.281,12854255.481
2020-09-17,CRV/USDT,1.281,1.433,1.196,1.333,10784967.313
2020-09-18,CRV/USDT,1.332,1.433,1.222,1.258,10518595.219
2020-09-19,CRV/USDT,1.258,1.649,1.233,1.483,16055050.815
2020-09-20,CRV/USDT,1.482,1.638,1.299,1.361,15526291.727
2020-09-21,CRV/USDT,1.361,1.403,1.07,1.088,14672700.472
2020-09-22,CRV/USDT,1.09,1.152,1.0,1.077,11367668.864
2020-09-23,CRV/USDT,1.079,1.133,0.864,0.888,12161063.817
2020-09-24,CRV/USDT,0.887,1.004,0.875,0.993,9493710.13
2020-09-25,CRV/USDT,0.992,1.044,0.879,0.975,13394313.564
2020-09-26,CRV/USDT,0.974,1.143,0.97,1.114,13117289.978
2020-09-27,CRV/USDT,1.114,1.135,0.978,1.04,9173508.369
2020-09-28,CRV/USDT,1.04,1.1,0.971,1.002,9448248.884
2020-09-29,CRV/USDT,1.001,1.021,0.906,0.951,7314006.597
2020-09-30,CRV/USDT,0.953,0.97,0.909,0.949,6921674.674
2020-10-01,CRV/USDT,0.95,0.985,0.823,0.864,9131513.033
2020-10-02,CRV/USDT,0.863,0.877,0.726,0.765,10249771.978
2020-10-03,CRV/USDT,0.765,0.811,0.742,0.768,7115744.27
2020-10-04,CRV/USDT,0.766,0.769,0.674,0.697,8981437.99
2020-10-05,CRV/USDT,0.697,0.721,0.614,0.632,10043965.189
2020-10-06,CRV/USDT,0.633,0.634,0.494,0.507,18189571.862
2020-10-07,CRV/USDT,0.507,0.53,0.455,0.526,18502756.369
2020-10-08,CRV/USDT,0.526,0.579,0.462,0.561,18193662.364
2020-10-09,CRV/USDT,0.559,0.639,0.518,0.623,17919160.824
2020-10-10,CRV/USDT,0.623,0.647,0.547,0.558,11517182.202
2020-10-11,CRV/USDT,0.559,0.58,0.525,0.559,8386741.998
2020-10-12,CRV/USDT,0.558,0.599,0.536,0.571,8421794.85
2020-10-13,CRV/USDT,0.571,0.574,0.532,0.545,6544549.234
2020-10-14,CRV/USDT,0.548,0.554,0.478,0.503,10776793.696
2020-10-15,CRV/USDT,0.503,0.508,0.48,0.499,7385313.067
2020-10-16,CRV/USDT,0.499,0.514,0.425,0.431,11489728.596
2020-10-17,CRV/USDT,0.431,0.456,0.418,0.436,8144632.47
2020-10-18,CRV/USDT,0.435,0.475,0.434,0.455,7111837.525
2020-10-19,CRV/USDT,0.456,0.458,0.408,0.413,10101635.204
2020-10-20,CRV/USDT,0.413,0.417,0.354,0.359,15231672.33
2020-10-21,CRV/USDT,0.358,0.404,0.357,0.384,13041921.652
2020-10-22,CRV/USDT,0.383,0.431,0.382,0.409,11217181.439
2020-10-23,CRV/USDT,0.408,0.412,0.368,0.379,9265882.737
2020-10-24,CRV/USDT,0.379,0.383,0.354,0.372,11790315.08
