time,symbol,open,high,low,close,volume
2025-04-22,HYPER/USDT,0.09,0.298,0.09,0.2712,292238530.5
2025-04-23,HYPER/USDT,0.2712,0.3666,0.2121,0.2238,370648425.6
2025-04-24,HYPER/USDT,0.2235,0.2251,0.1985,0.2158,129501384.4
2025-04-25,HYPER/USDT,0.2159,0.2271,0.194,0.2006,97020392.8
2025-04-26,HYPER/USDT,0.2006,0.2373,0.1992,0.2202,81007138.9
2025-04-27,HYPER/USDT,0.2202,0.2421,0.185,0.1909,105438920.3
2025-04-28,HYPER/USDT,0.1908,0.202,0.1877,0.194,54094548.8
2025-04-29,HYPER/USDT,0.194,0.2044,0.1911,0.1959,58669243.8
2025-04-30,HYPER/USDT,0.196,0.205,0.1808,0.1889,42876326.9
2025-05-01,HYPER/USDT,0.1889,0.1954,0.175,0.1791,41047594.7
2025-05-02,HYPER/USDT,0.1791,0.1821,0.1706,0.1806,41684091.6
2025-05-03,HYPER/USDT,0.1807,0.1828,0.1626,0.167,39214373.2
2025-05-04,HYPER/USDT,0.167,0.1684,0.1556,0.1618,36526275.4
2025-05-05,HYPER/USDT,0.1619,0.1667,0.157,0.1638,30876847.4
2025-05-06,HYPER/USDT,0.1638,0.1709,0.1384,0.1442,48753249.2
2025-05-07,HYPER/USDT,0.1443,0.1487,0.1329,0.14,56334262.6
2025-05-08,HYPER/USDT,0.1401,0.1605,0.1399,0.1579,55825380.6
2025-05-09,HYPER/USDT,0.1578,0.168,0.1535,0.1671,47490315.3
2025-05-10,HYPER/USDT,0.1671,0.1732,0.1573,0.1717,42126112.5
2025-05-11,HYPER/USDT,0.1717,0.1843,0.1646,0.1759,49294849.7
2025-05-12,HYPER/USDT,0.1758,0.1839,0.1589,0.1678,55931326.7
2025-05-13,HYPER/USDT,0.1677,0.1789,0.157,0.1777,30868884.3
2025-05-14,HYPER/USDT,0.1777,0.1834,0.1654,0.1671,36015031.9
2025-05-15,HYPER/USDT,0.1671,0.1697,0.1421,0.1457,42459230.1
2025-05-16,HYPER/USDT,0.1458,0.1499,0.1402,0.1429,28311994.2
2025-05-17,HYPER/USDT,0.1428,0.143,0.1359,0.1387,15387395.0
2025-05-18,HYPER/USDT,0.1386,0.1484,0.1319,0.145,24707160.3
2025-05-19,HYPER/USDT,0.145,0.145,0.1328,0.1402,12466646.4
2025-05-20,HYPER/USDT,0.1403,0.1473,0.1367,0.1451,24877878.1
2025-05-21,HYPER/USDT,0.1454,0.1606,0.1429,0.1499,69401620.8
2025-05-22,HYPER/USDT,0.15,0.1672,0.1498,0.1658,34354349.9
2025-05-23,HYPER/USDT,0.1659,0.1813,0.1578,0.1623,53238640.2
2025-05-24,HYPER/USDT,0.1623,0.1728,0.1578,0.1606,20296889.2
2025-05-25,HYPER/USDT,0.1607,0.1623,0.143,0.1522,35085229.6
2025-05-26,HYPER/USDT,0.1519,0.1632,0.1487,0.1519,24587674.3
2025-05-27,HYPER/USDT,0.1519,0.2048,0.1473,0.1631,95059196.8
2025-05-28,HYPER/USDT,0.1632,0.1662,0.1546,0.1601,30308196.8
2025-05-29,HYPER/USDT,0.16,0.1666,0.1527,0.1542,22813446.3
2025-05-30,HYPER/USDT,0.1543,0.155,0.1281,0.1293,32768840.9
