time,symbol,open,high,low,close,volume
2020-09-04,KSM/USDT,43.15,49.0,34.5,42.167,36214.155
2020-09-05,KSM/USDT,42.0,43.998,29.32,32.49,88954.412
2020-09-06,KSM/USDT,32.558,39.8,30.04,38.037,63410.654
2020-09-07,KSM/USDT,37.898,38.378,30.5,35.203,56712.36
2020-09-08,KSM/USDT,35.304,36.172,30.27,31.337,66993.426
2020-09-09,KSM/USDT,31.3,37.0,30.168,33.806,67385.977
2020-09-10,KSM/USDT,33.863,36.5,31.757,33.102,54819.776
2020-09-11,KSM/USDT,33.018,33.018,30.708,31.769,67289.687
2020-09-12,KSM/USDT,31.776,36.999,31.0,35.159,74448.876
2020-09-13,KSM/USDT,35.159,42.2,34.5,39.328,160435.944
2020-09-14,KSM/USDT,39.33,43.431,38.058,40.0,110986.51
2020-09-15,KSM/USDT,40.162,43.05,37.66,39.333,76766.151
2020-09-16,KSM/USDT,39.264,42.644,37.449,42.35,77460.008
2020-09-17,KSM/USDT,42.322,50.284,42.185,47.151,131580.241
2020-09-18,KSM/USDT,47.193,48.999,41.6,44.69,69716.904
2020-09-19,KSM/USDT,44.69,47.647,43.688,43.755,57711.779
2020-09-20,KSM/USDT,43.784,44.768,36.79,39.735,62122.833
2020-09-21,KSM/USDT,39.692,40.4,31.0,31.663,92349.794
2020-09-22,KSM/USDT,31.78,33.912,30.8,33.192,48427.375
2020-09-23,KSM/USDT,33.206,36.253,30.845,32.465,70763.056
2020-09-24,KSM/USDT,32.675,37.2,32.001,36.613,54056.495
2020-09-25,KSM/USDT,36.614,37.593,35.49,36.848,40474.011
2020-09-26,KSM/USDT,36.847,37.048,35.0,35.879,23805.308
2020-09-27,KSM/USDT,35.844,36.207,32.6,34.28,34443.909
2020-09-28,KSM/USDT,34.38,36.518,32.2,33.713,47709.847
2020-09-29,KSM/USDT,33.699,35.71,33.504,35.512,22647.455
2020-09-30,KSM/USDT,35.515,35.769,33.515,33.8,18988.815
2020-10-01,KSM/USDT,33.952,35.997,32.541,34.134,43628.341
2020-10-02,KSM/USDT,34.134,34.304,30.468,32.26,47957.787
2020-10-03,KSM/USDT,32.26,33.4,31.565,32.351,11866.4
2020-10-04,KSM/USDT,32.333,33.127,31.069,31.996,16839.58
2020-10-05,KSM/USDT,31.982,33.109,31.261,31.728,17350.797
2020-10-06,KSM/USDT,31.728,31.988,27.1,27.647,34134.823
2020-10-07,KSM/USDT,27.582,28.0,24.2,26.476,65982.939
2020-10-08,KSM/USDT,26.433,29.499,23.158,27.754,86219.104
2020-10-09,KSM/USDT,27.83,30.515,27.103,29.741,41277.731
2020-10-10,KSM/USDT,29.702,32.6,29.293,29.678,42305.113
2020-10-11,KSM/USDT,29.643,31.08,28.0,29.112,25866.7
2020-10-12,KSM/USDT,29.2,33.15,29.011,32.199,46874.08
2020-10-13,KSM/USDT,32.238,32.94,30.0,30.642,27561.473
2020-10-14,KSM/USDT,30.645,32.5,28.925,31.167,51987.817
2020-10-15,KSM/USDT,30.978,31.12,28.983,29.437,29014.191
2020-10-16,KSM/USDT,29.523,29.92,27.158,28.034,30913.826
2020-10-17,KSM/USDT,28.186,29.721,27.846,29.373,19652.599
2020-10-18,KSM/USDT,29.354,31.749,29.053,31.055,27463.819
2020-10-19,KSM/USDT,31.055,31.343,28.62,29.074,31437.39
2020-10-20,KSM/USDT,29.074,29.63,27.51,27.819,36893.029
2020-10-21,KSM/USDT,27.874,29.181,27.123,27.828,63353.968
2020-10-22,KSM/USDT,27.829,29.326,27.81,28.156,48926.752
2020-10-23,KSM/USDT,28.103,30.53,27.123,28.025,69670.092
2020-10-24,KSM/USDT,28.002,28.155,26.4,27.145,47410.362
2020-10-25,KSM/USDT,27.032,28.073,26.15,26.733,58354.517
2020-10-26,KSM/USDT,26.689,36.657,26.085,35.45,401054.627
2020-10-27,KSM/USDT,35.436,37.569,32.553,34.205,205499.033
2020-10-28,KSM/USDT,34.272,34.7,30.291,31.658,122455.223
2020-10-29,KSM/USDT,31.654,32.787,28.78,29.946,77438.013
2020-10-30,KSM/USDT,29.947,30.583,27.941,29.64,60697.191
2020-10-31,KSM/USDT,29.632,31.413,29.247,30.46,40625.979
2020-11-01,KSM/USDT,30.466,33.1,29.828,32.215,48382.191
2020-11-02,KSM/USDT,32.215,32.564,29.31,29.99,56981.999
2020-11-03,KSM/USDT,29.98,30.862,27.632,29.012,57484.076
2020-11-04,KSM/USDT,29.011,29.675,27.482,28.654,39564.791
2020-11-05,KSM/USDT,28.666,31.464,28.451,30.133,45782.564
