time,symbol,open,high,low,close,volume
2025-03-27,MUBARAK/USDT,0.107,0.2,0.0968,0.1062,135548660.9
2025-03-28,MUBARAK/USDT,0.1065,0.1065,0.0813,0.0882,532932391.9
2025-03-29,MUBARAK/USDT,0.0882,0.0882,0.065,0.0712,791578899.5
2025-03-30,MUBARAK/USDT,0.0712,0.0744,0.0551,0.0613,986589858.4
2025-03-31,MUBARAK/USDT,0.0612,0.0634,0.0515,0.0521,538168605.6
2025-04-01,MUBARAK/USDT,0.0521,0.0583,0.0438,0.0461,785502751.6
2025-04-02,MUBARAK/USDT,0.0461,0.0471,0.0383,0.0407,662212088.0
2025-04-03,MUBARAK/USDT,0.0407,0.0439,0.0371,0.0376,473744638.0
2025-04-04,MUBARAK/USDT,0.0376,0.0413,0.0364,0.0387,376660389.3
2025-04-05,MUBARAK/USDT,0.0386,0.0428,0.0371,0.0381,315646339.8
2025-04-06,MUBARAK/USDT,0.0381,0.0425,0.0378,0.0397,314764387.5
2025-04-07,MUBARAK/USDT,0.0398,0.0416,0.0347,0.0388,593516431.8
2025-04-08,MUBARAK/USDT,0.0388,0.0408,0.0296,0.0297,469661437.8
2025-04-09,MUBARAK/USDT,0.0297,0.0342,0.028,0.0331,527840400.8
2025-04-10,MUBARAK/USDT,0.0332,0.0335,0.0281,0.0283,396633086.4
2025-04-11,MUBARAK/USDT,0.0284,0.0336,0.0273,0.0296,468221814.3
2025-04-12,MUBARAK/USDT,0.0296,0.0332,0.028,0.0314,476000329.5
2025-04-13,MUBARAK/USDT,0.0313,0.0316,0.0249,0.0259,381402211.7
2025-04-14,MUBARAK/USDT,0.0259,0.0275,0.0208,0.0237,732599173.8
2025-04-15,MUBARAK/USDT,0.0237,0.0243,0.0223,0.0233,302397692.3
2025-04-16,MUBARAK/USDT,0.0232,0.0261,0.0232,0.0243,338637740.1
2025-04-17,MUBARAK/USDT,0.0243,0.0272,0.0242,0.0262,503096749.8
2025-04-18,MUBARAK/USDT,0.0261,0.0274,0.0253,0.026,244847073.2
2025-04-19,MUBARAK/USDT,0.0259,0.0263,0.0234,0.0241,258176736.5
2025-04-20,MUBARAK/USDT,0.0241,0.0322,0.024,0.0266,904179234.3
2025-04-21,MUBARAK/USDT,0.0266,0.0337,0.0263,0.029,980926043.8
2025-04-22,MUBARAK/USDT,0.029,0.0339,0.0283,0.0327,843457345.8
2025-04-23,MUBARAK/USDT,0.0327,0.0381,0.0312,0.0367,862808706.3
2025-04-24,MUBARAK/USDT,0.0368,0.0381,0.0315,0.033,627537817.3
2025-04-25,MUBARAK/USDT,0.033,0.0356,0.0321,0.0335,437351797.2
2025-04-26,MUBARAK/USDT,0.0334,0.0375,0.0333,0.0366,402887275.0
2025-04-27,MUBARAK/USDT,0.0366,0.0431,0.0331,0.0356,690985864.9
2025-04-28,MUBARAK/USDT,0.0357,0.0382,0.0332,0.0348,502912310.5
2025-04-29,MUBARAK/USDT,0.0348,0.035,0.0312,0.0317,337005771.6
2025-04-30,MUBARAK/USDT,0.0316,0.0348,0.0311,0.0344,386019757.8
2025-05-01,MUBARAK/USDT,0.0343,0.0357,0.0333,0.0349,363082504.0
2025-05-02,MUBARAK/USDT,0.0348,0.0361,0.0326,0.0355,319145852.9
2025-05-03,MUBARAK/USDT,0.0355,0.0372,0.028,0.0297,418330107.5
2025-05-04,MUBARAK/USDT,0.0297,0.0306,0.0287,0.0296,288934138.6
2025-05-05,MUBARAK/USDT,0.0296,0.0309,0.0284,0.0286,269333401.6
2025-05-06,MUBARAK/USDT,0.0285,0.0293,0.0255,0.0268,430759580.0
