time,symbol,open,high,low,close,volume
2025-06-24,NEWT/USDT,0.3,0.86,0.3,0.5351,321891756.5
2025-06-25,NEWT/USDT,0.535,0.5773,0.392,0.4357,211546546.2
2025-06-26,NEWT/USDT,0.4356,0.448,0.3617,0.3827,129637338.2
2025-06-27,NEWT/USDT,0.3827,0.4022,0.3526,0.3885,132659217.8
2025-06-28,NEWT/USDT,0.3886,0.4138,0.3756,0.3898,125607266.5
2025-06-29,NEWT/USDT,0.3898,0.425,0.3855,0.4099,134438589.9
2025-06-30,NEWT/USDT,0.4099,0.4485,0.3572,0.3754,175978479.0
2025-07-01,NEWT/USDT,0.3754,0.3938,0.3523,0.3561,183933509.7
2025-07-02,NEWT/USDT,0.3563,0.3624,0.3306,0.3538,247365911.7
2025-07-03,NEWT/USDT,0.3538,0.3599,0.341,0.3564,198401353.6
2025-07-04,NEWT/USDT,0.3564,0.3592,0.3307,0.3364,155530873.6
2025-07-05,NEWT/USDT,0.3364,0.3437,0.3196,0.3286,187927267.8
2025-07-06,NEWT/USDT,0.3286,0.3359,0.3235,0.3274,263406388.5
2025-07-07,NEWT/USDT,0.3273,0.3298,0.3132,0.3161,300450070.4
2025-07-08,NEWT/USDT,0.316,0.3196,0.3034,0.311,297201365.0
2025-07-09,NEWT/USDT,0.3111,0.3158,0.3042,0.314,18816140.3
2025-07-10,NEWT/USDT,0.3141,0.3387,0.306,0.3288,31028044.8
2025-07-11,NEWT/USDT,0.3289,0.3558,0.3175,0.3253,41563151.2
2025-07-12,NEWT/USDT,0.3252,0.3262,0.3015,0.3111,22628510.7
2025-07-13,NEWT/USDT,0.3111,0.3151,0.3041,0.3107,11399676.2
2025-07-14,NEWT/USDT,0.3106,0.3314,0.298,0.3073,24248847.0
2025-07-15,NEWT/USDT,0.3073,0.3239,0.3008,0.3211,17565523.9
2025-07-16,NEWT/USDT,0.3211,0.3234,0.3131,0.319,13437876.8
2025-07-17,NEWT/USDT,0.3191,0.324,0.3075,0.3148,13842227.8
2025-07-18,NEWT/USDT,0.315,0.3351,0.3073,0.3188,22485769.7
2025-07-19,NEWT/USDT,0.3189,0.3256,0.3078,0.3143,8934892.3
2025-07-20,NEWT/USDT,0.3141,0.3302,0.3112,0.326,12395788.9
2025-07-21,NEWT/USDT,0.326,0.3515,0.3202,0.3459,23861475.7
2025-07-22,NEWT/USDT,0.3459,0.3819,0.3217,0.3671,45897427.7
2025-07-23,NEWT/USDT,0.3671,0.4854,0.3553,0.4137,172756400.3
2025-07-24,NEWT/USDT,0.4136,0.7547,0.3807,0.5774,371075566.0
2025-07-25,NEWT/USDT,0.5774,0.5777,0.3995,0.434,108439312.3
2025-07-26,NEWT/USDT,0.434,0.4643,0.4021,0.4397,55373355.1
2025-07-27,NEWT/USDT,0.4399,0.4507,0.4116,0.4207,19291645.5
2025-07-28,NEWT/USDT,0.4207,0.4222,0.3822,0.3839,16908972.3
2025-07-29,NEWT/USDT,0.384,0.4487,0.3647,0.3769,42815485.8
2025-07-30,NEWT/USDT,0.3768,0.4013,0.3721,0.3862,25688238.0
2025-07-31,NEWT/USDT,0.3858,0.3907,0.3565,0.3581,12289228.6
2025-08-01,NEWT/USDT,0.3581,0.3586,0.3342,0.3454,7889421.6
2025-08-02,NEWT/USDT,0.3454,0.3562,0.3269,0.3345,8090512.4
2025-08-03,NEWT/USDT,0.3342,0.3471,0.3326,0.3424,4876454.3
2025-08-04,NEWT/USDT,0.3421,0.3653,0.3401,0.3624,9895795.2
2025-08-05,NEWT/USDT,0.3624,0.3935,0.3388,0.3476,26625673.9
2025-08-06,NEWT/USDT,0.3477,0.3639,0.3363,0.344,12048742.4
2025-08-07,NEWT/USDT,0.3436,0.3547,0.3307,0.3519,8525285.0
2025-08-08,NEWT/USDT,0.352,0.3554,0.3383,0.3502,6051702.5
2025-08-09,NEWT/USDT,0.35,0.3624,0.3464,0.3563,6341753.3
2025-08-10,NEWT/USDT,0.3562,0.3799,0.3522,0.369,13428555.9
2025-08-11,NEWT/USDT,0.3688,0.3798,0.3425,0.3472,10589076.6
2025-08-12,NEWT/USDT,0.3471,0.3559,0.3295,0.3525,7246713.0
2025-08-13,NEWT/USDT,0.3525,0.359,0.3445,0.3569,6083257.5
2025-08-14,NEWT/USDT,0.357,0.3595,0.3111,0.3189,8271731.5
2025-08-15,NEWT/USDT,0.3189,0.3287,0.3103,0.3215,3875818.0
2025-08-16,NEWT/USDT,0.3214,0.3303,0.3213,0.3292,3769752.0
2025-08-17,NEWT/USDT,0.3291,0.3359,0.3261,0.3269,2816881.7
2025-08-18,NEWT/USDT,0.3269,0.3273,0.3064,0.311,3731310.5
2025-08-19,NEWT/USDT,0.3109,0.3141,0.3,0.3032,909565.2
