time,symbol,open,high,low,close,volume
2018-07-23,NULS/USDT,2.8,2.9999,2.4302,2.46,614568.98
2018-07-24,NULS/USDT,2.4599,2.65,2.4112,2.5501,647390.03
2018-07-25,NULS/USDT,2.55,2.625,2.4573,2.587,717550.64
2018-07-26,NULS/USDT,2.5869,2.71,2.4949,2.5151,743488.55
2018-07-27,NULS/USDT,2.5146,2.6,2.3801,2.5642,740824.51
2018-07-28,NULS/USDT,2.5642,2.5779,2.471,2.56,428482.71
2018-07-29,NULS/USDT,2.56,2.6554,2.4935,2.6263,535923.91
2018-07-30,NULS/USDT,2.6263,2.6325,2.38,2.4604,443831.59
2018-07-31,NULS/USDT,2.4567,2.47,2.1406,2.199,512655.01
2018-08-01,NULS/USDT,2.1892,2.2145,2.0303,2.1199,460081.86
2018-08-02,NULS/USDT,2.1194,2.18,1.9733,2.0086,451604.45
2018-08-03,NULS/USDT,1.999,2.074,1.9036,1.9867,437422.41
2018-08-04,NULS/USDT,2.0,2.071,1.8136,1.8319,597745.43
2018-08-05,NULS/USDT,1.8444,1.88,1.8,1.8627,465846.09
2018-08-06,NULS/USDT,1.8698,1.9239,1.78,1.8242,503969.57
2018-08-07,NULS/USDT,1.8242,1.8959,1.6866,1.6867,501415.4
2018-08-08,NULS/USDT,1.6879,1.6951,1.4307,1.5354,339531.45
2018-08-09,NULS/USDT,1.5299,1.7,1.4709,1.5525,369777.66
2018-08-10,NULS/USDT,1.5528,1.5715,1.3313,1.3426,320637.45
2018-08-11,NULS/USDT,1.3458,1.4255,1.2083,1.2662,374826.43
2018-08-12,NULS/USDT,1.2703,1.8099,1.25,1.6561,861781.07
2018-08-13,NULS/USDT,1.6561,1.7132,1.3877,1.3904,755238.98
2018-08-14,NULS/USDT,1.3903,1.465,1.2077,1.405,615597.67
2018-08-15,NULS/USDT,1.405,1.5193,1.3327,1.3591,606134.33
2018-08-16,NULS/USDT,1.3586,1.5193,1.31,1.4374,513677.9
2018-08-17,NULS/USDT,1.4507,1.72,1.4356,1.6781,714365.07
2018-08-18,NULS/USDT,1.687,1.71,1.365,1.4599,647696.94
2018-08-19,NULS/USDT,1.4594,1.56,1.383,1.5059,539826.82
2018-08-20,NULS/USDT,1.5062,1.5151,1.3495,1.3495,480336.11
2018-08-21,NULS/USDT,1.3495,1.418,1.326,1.3799,497666.04
2018-08-22,NULS/USDT,1.3712,1.6998,1.315,1.3762,920557.73
2018-08-23,NULS/USDT,1.3953,1.4599,1.315,1.4231,667795.12
2018-08-24,NULS/USDT,1.4253,1.4418,1.3784,1.4405,545392.56
2018-08-25,NULS/USDT,1.4411,1.58,1.4404,1.5569,624333.83
2018-08-26,NULS/USDT,1.5633,1.5636,1.42,1.534,640300.44
2018-08-27,NULS/USDT,1.534,1.6185,1.4991,1.6107,709221.18
2018-08-28,NULS/USDT,1.6107,1.7892,1.5938,1.723,705274.28
2018-08-29,NULS/USDT,1.723,1.7458,1.555,1.5964,800630.9
2018-08-30,NULS/USDT,1.5977,2.0,1.548,1.8827,2083115.04
2018-08-31,NULS/USDT,1.8826,1.893,1.7102,1.8151,1236428.07
2018-09-01,NULS/USDT,1.8151,1.904,1.8,1.8426,1220628.2
2018-09-02,NULS/USDT,1.8425,1.86,1.7314,1.77,925340.74
2018-09-03,NULS/USDT,1.77,1.7913,1.72,1.734,902918.43
2018-09-04,NULS/USDT,1.734,1.8366,1.733,1.7889,976100.94
2018-09-05,NULS/USDT,1.7889,1.8059,1.373,1.373,1268561.82
2018-09-06,NULS/USDT,1.3748,1.44,1.2641,1.413,761772.49
2018-09-07,NULS/USDT,1.4224,1.5,1.2951,1.3104,746249.58
2018-09-08,NULS/USDT,1.3104,1.36,1.233,1.2487,543059.08
2018-09-09,NULS/USDT,1.242,1.2999,1.201,1.2515,573084.13
2018-09-10,NULS/USDT,1.2628,1.2863,1.1783,1.21,478765.07
2018-09-11,NULS/USDT,1.2169,1.2976,1.158,1.1816,710189.78
2018-09-12,NULS/USDT,1.1813,1.1813,1.06,1.154,599523.36
2018-09-13,NULS/USDT,1.1587,1.255,1.1519,1.2064,633143.54
2018-09-14,NULS/USDT,1.2198,1.2442,1.12,1.1824,712505.85
2018-09-15,NULS/USDT,1.1728,1.2195,1.1408,1.186,498005.92
2018-09-16,NULS/USDT,1.1921,1.1975,1.1412,1.1841,542721.85
2018-09-17,NULS/USDT,1.1869,1.222,1.085,1.1031,677500.35
2018-09-18,NULS/USDT,1.103,1.15,1.07,1.1151,544847.21
2018-09-19,NULS/USDT,1.115,1.1323,1.0388,1.0938,769101.46
2018-09-20,NULS/USDT,1.0934,1.1604,1.0502,1.1603,984628.24
