time,symbol,open,high,low,close,volume
2025-05-15,NXPC/USDT,0.1,3.8674,0.1,2.625,155864136.5
2025-05-16,NXPC/USDT,2.625,2.9691,2.4755,2.5579,57663180.7
2025-05-17,NXPC/USDT,2.5579,2.6252,2.1291,2.2749,35796019.3
2025-05-18,NXPC/USDT,2.2743,2.3833,2.137,2.2949,25177203.5
2025-05-19,NXPC/USDT,2.2946,2.3765,1.885,1.9926,37956208.3
2025-05-20,NXPC/USDT,1.993,2.0585,1.7743,1.9022,34364368.1
2025-05-21,NXPC/USDT,1.9023,1.9994,1.7926,1.8614,37306875.0
2025-05-22,NXPC/USDT,1.8616,1.9329,1.7829,1.9022,46438003.4
2025-05-23,NXPC/USDT,1.9029,2.1597,1.8544,1.9703,44281121.2
2025-05-24,NXPC/USDT,1.9701,2.2736,1.9659,2.1557,25448616.2
2025-05-25,NXPC/USDT,2.1558,2.3026,1.9827,2.0548,24322913.0
2025-05-26,NXPC/USDT,2.0547,2.085,1.8654,1.9125,15320681.7
2025-05-27,NXPC/USDT,1.9125,1.9843,1.8207,1.967,10851556.3
2025-05-28,NXPC/USDT,1.9672,2.045,1.7559,1.8064,14412086.9
2025-05-29,NXPC/USDT,1.8068,1.8598,1.6538,1.6709,21884156.3
2025-05-30,NXPC/USDT,1.6701,1.671,1.4349,1.4475,18664574.9
2025-05-31,NXPC/USDT,1.4477,1.5284,1.3165,1.3418,13891945.6
2025-06-01,NXPC/USDT,1.3419,1.4204,1.2909,1.3811,13039814.6
2025-06-02,NXPC/USDT,1.3811,1.3833,1.2687,1.343,8990577.5
2025-06-03,NXPC/USDT,1.3431,1.5872,1.3293,1.5419,25300093.4
2025-06-04,NXPC/USDT,1.542,1.5703,1.3481,1.3657,13684459.3
2025-06-05,NXPC/USDT,1.3657,1.3904,1.1685,1.1872,16125715.2
2025-06-06,NXPC/USDT,1.1872,1.3192,1.1866,1.2106,11304682.4
2025-06-07,NXPC/USDT,1.2106,1.3475,1.1921,1.3153,11433456.2
