time,symbol,open,high,low,close,volume
2025-06-11,RESOLV/USDT,0.3014,0.4299,0.3014,0.3431,136351130.5
2025-06-12,RESOLV/USDT,0.343,0.357,0.2611,0.2691,104968830.2
2025-06-13,RESOLV/USDT,0.269,0.2979,0.2298,0.2882,98858517.0
2025-06-14,RESOLV/USDT,0.288,0.3007,0.2421,0.2575,58520326.8
2025-06-15,RESOLV/USDT,0.2574,0.2725,0.2376,0.2422,39644363.3
2025-06-16,RESOLV/USDT,0.2421,0.2805,0.2383,0.2531,53951630.9
2025-06-17,RESOLV/USDT,0.2534,0.2598,0.222,0.2272,39683520.5
2025-06-18,RESOLV/USDT,0.2273,0.2298,0.2052,0.2186,46523380.2
2025-06-19,RESOLV/USDT,0.2187,0.2248,0.1866,0.1932,50733554.8
2025-06-20,RESOLV/USDT,0.1933,0.2004,0.1805,0.1828,33641245.8
2025-06-21,RESOLV/USDT,0.1828,0.1939,0.1792,0.1928,24766015.4
2025-06-22,RESOLV/USDT,0.1928,0.1997,0.1816,0.1884,54589599.6
2025-06-23,RESOLV/USDT,0.1883,0.2255,0.1857,0.2167,74283836.3
2025-06-24,RESOLV/USDT,0.2168,0.2177,0.1611,0.1722,94638622.6
2025-06-25,RESOLV/USDT,0.1722,0.185,0.1554,0.1591,88786619.2
2025-06-26,RESOLV/USDT,0.1592,0.1707,0.1382,0.148,60061983.5
2025-06-27,RESOLV/USDT,0.1481,0.163,0.1456,0.1579,52567640.6
2025-06-28,RESOLV/USDT,0.1579,0.175,0.1409,0.1526,81527361.9
2025-06-29,RESOLV/USDT,0.1526,0.1593,0.1509,0.1576,40894933.3
2025-06-30,RESOLV/USDT,0.1576,0.1649,0.1515,0.1559,43614357.7
2025-07-01,RESOLV/USDT,0.156,0.168,0.1369,0.1632,86908136.4
2025-07-02,RESOLV/USDT,0.163,0.1835,0.1318,0.1485,194762081.4
2025-07-03,RESOLV/USDT,0.1486,0.1583,0.1433,0.1506,56256786.1
2025-07-04,RESOLV/USDT,0.1507,0.1549,0.1395,0.1441,32313990.8
2025-07-05,RESOLV/USDT,0.1441,0.1475,0.1376,0.1405,23047120.9
2025-07-06,RESOLV/USDT,0.1404,0.1472,0.1384,0.1411,17724117.3
2025-07-07,RESOLV/USDT,0.1411,0.1436,0.132,0.1347,24171435.9
2025-07-08,RESOLV/USDT,0.1346,0.137,0.1286,0.133,25553836.9
