time,symbol,open,high,low,close,volume
2021-12-01,SANTOS/USDT,2.5,35.993,2.5,10.41,15330884.2
2021-12-02,SANTOS/USDT,10.404,11.542,7.867,8.428,5792399.16
2021-12-03,SANTOS/USDT,8.45,8.486,5.645,5.802,3012962.94
2021-12-04,SANTOS/USDT,5.821,6.084,4.064,4.6,2618855.69
2021-12-05,SANTOS/USDT,4.592,7.689,4.517,5.836,14650968.26
2021-12-06,SANTOS/USDT,5.833,6.453,4.802,5.263,3712918.09
2021-12-07,SANTOS/USDT,5.269,5.65,5.0,5.0,1000930.74
2021-12-08,SANTOS/USDT,5.007,5.1,4.521,4.809,782015.64
2021-12-09,SANTOS/USDT,4.809,5.896,4.651,5.11,3618021.76
2021-12-10,SANTOS/USDT,5.11,5.525,4.682,4.696,1764312.8
2021-12-11,SANTOS/USDT,4.704,4.873,4.527,4.762,691186.93
2021-12-12,SANTOS/USDT,4.773,5.172,4.649,4.76,545888.14
2021-12-13,SANTOS/USDT,4.76,5.049,4.048,4.138,543808.19
2021-12-14,SANTOS/USDT,4.139,4.293,3.871,4.015,363600.5
2021-12-15,SANTOS/USDT,4.015,4.463,3.816,4.115,880812.92
2021-12-16,SANTOS/USDT,4.115,4.286,3.957,3.961,347088.94
2021-12-17,SANTOS/USDT,3.96,4.075,3.649,3.726,343042.17
2021-12-18,SANTOS/USDT,3.725,3.825,3.695,3.753,185580.94
2021-12-19,SANTOS/USDT,3.745,3.794,3.596,3.628,175752.08
2021-12-20,SANTOS/USDT,3.628,4.0,3.36,3.801,957948.55
2021-12-21,SANTOS/USDT,3.803,3.95,3.634,3.833,521636.58
2021-12-22,SANTOS/USDT,3.826,3.926,3.653,3.759,312389.84
2021-12-23,SANTOS/USDT,3.75,3.904,3.65,3.838,423793.28
2021-12-24,SANTOS/USDT,3.843,3.904,3.761,3.793,253179.32
2021-12-25,SANTOS/USDT,3.795,4.8,3.794,4.292,1509354.46
2021-12-26,SANTOS/USDT,4.292,4.595,4.222,4.307,550249.35
2021-12-27,SANTOS/USDT,4.304,4.528,4.243,4.312,438692.49
2021-12-28,SANTOS/USDT,4.312,4.38,3.824,3.891,721194.39
2021-12-29,SANTOS/USDT,3.891,3.915,3.619,3.653,276123.03
