time,symbol,open,high,low,close,volume
2020-07-06,ZEN/USDT,6.525,7.094,6.525,7.058,12769.436
2020-07-07,ZEN/USDT,7.058,8.9,6.8,6.84,25134.47
2020-07-08,ZEN/USDT,6.84,6.98,6.5,6.931,28936.534
2020-07-09,ZEN/USDT,6.931,7.734,6.823,7.462,52143.04
2020-07-10,ZEN/USDT,7.462,7.89,7.165,7.355,48342.74
2020-07-11,ZEN/USDT,7.35,8.8,7.211,7.242,48653.524
2020-07-12,ZEN/USDT,7.242,7.492,7.112,7.214,15711.617
2020-07-13,ZEN/USDT,7.23,7.886,7.093,7.505,43383.425
2020-07-14,ZEN/USDT,7.481,7.564,6.91,7.189,20774.87
2020-07-15,ZEN/USDT,7.189,7.734,7.14,7.462,36815.82
2020-07-16,ZEN/USDT,7.477,7.728,7.0,7.537,27170.055
2020-07-17,ZEN/USDT,7.537,7.6,7.341,7.475,9708.797
2020-07-18,ZEN/USDT,7.447,7.567,7.238,7.492,10597.931
2020-07-19,ZEN/USDT,7.48,8.5,7.477,8.139,75328.538
2020-07-20,ZEN/USDT,8.14,8.548,7.9,8.087,42137.941
2020-07-21,ZEN/USDT,8.069,8.45,7.93,8.072,19996.089
2020-07-22,ZEN/USDT,8.056,8.3,7.957,8.09,10721.434
2020-07-23,ZEN/USDT,8.09,9.09,8.09,8.727,38414.479
2020-07-24,ZEN/USDT,8.726,9.664,8.639,9.459,38081.302
2020-07-25,ZEN/USDT,9.459,9.511,8.996,9.095,26856.708
2020-07-26,ZEN/USDT,9.095,9.399,8.733,9.387,35115.059
2020-07-27,ZEN/USDT,9.332,9.483,8.2,8.724,50484.173
2020-07-28,ZEN/USDT,8.732,8.804,8.06,8.374,35064.027
2020-07-29,ZEN/USDT,8.374,8.525,8.06,8.128,21435.651
2020-07-30,ZEN/USDT,8.088,8.364,8.06,8.194,14657.599
2020-07-31,ZEN/USDT,8.198,8.336,7.891,8.099,17347.695
2020-08-01,ZEN/USDT,8.107,9.4,8.003,8.903,55745.201
2020-08-02,ZEN/USDT,8.872,9.354,8.047,8.511,45501.743
2020-08-03,ZEN/USDT,8.511,9.078,8.3,8.914,23788.253
2020-08-04,ZEN/USDT,8.929,9.2,8.678,9.016,18833.932
2020-08-05,ZEN/USDT,8.986,9.34,8.879,9.289,19692.997
2020-08-06,ZEN/USDT,9.289,9.75,9.108,9.552,28133.372
2020-08-07,ZEN/USDT,9.487,10.16,9.415,9.873,45760.629
2020-08-08,ZEN/USDT,9.873,11.489,9.865,10.9,70549.56
2020-08-09,ZEN/USDT,10.924,11.304,10.2,10.498,44296.264
2020-08-10,ZEN/USDT,10.498,10.9,10.001,10.351,60981.724
2020-08-11,ZEN/USDT,10.351,11.23,9.85,10.55,64537.616
2020-08-12,ZEN/USDT,10.55,11.269,10.09,10.491,52019.858
2020-08-13,ZEN/USDT,10.535,10.579,9.784,10.281,33283.129
2020-08-14,ZEN/USDT,10.241,10.653,10.1,10.462,24863.358
2020-08-15,ZEN/USDT,10.462,10.56,9.89,10.066,28622.755
2020-08-16,ZEN/USDT,10.041,10.1,9.528,10.01,51269.517
2020-08-17,ZEN/USDT,10.01,10.394,9.804,10.036,36604.103
2020-08-18,ZEN/USDT,10.043,10.193,8.673,9.518,36061.335
2020-08-19,ZEN/USDT,9.469,9.653,8.728,9.029,28963.653
2020-08-20,ZEN/USDT,9.066,9.588,8.976,9.563,18929.8
2020-08-21,ZEN/USDT,9.588,10.819,9.5,9.56,119493.422
2020-08-22,ZEN/USDT,9.57,10.229,9.1,9.768,43435.048
2020-08-23,ZEN/USDT,9.769,9.808,9.21,9.348,19255.275
2020-08-24,ZEN/USDT,9.307,9.511,9.197,9.442,20346.39
2020-08-25,ZEN/USDT,9.441,9.521,8.369,8.755,33257.984
2020-08-26,ZEN/USDT,8.735,10.5,8.626,8.801,22240.409
2020-08-27,ZEN/USDT,8.799,8.841,8.224,8.348,27923.991
2020-08-28,ZEN/USDT,8.349,8.7,8.14,8.367,54994.719
2020-08-29,ZEN/USDT,8.367,8.595,8.286,8.506,23780.814
2020-08-30,ZEN/USDT,8.506,8.848,8.4,8.721,25882.222
2020-08-31,ZEN/USDT,8.723,8.802,8.1,8.481,28487.119
2020-09-01,ZEN/USDT,8.497,9.022,8.309,8.824,46036.931
2020-09-02,ZEN/USDT,8.829,8.905,7.95,8.485,53042.392
2020-09-03,ZEN/USDT,8.425,8.516,6.4,6.519,54011.566
2020-09-04,ZEN/USDT,6.5,7.311,6.445,7.002,43797.101
2020-09-05,ZEN/USDT,7.02,7.198,5.558,6.001,68589.338
2020-09-06,ZEN/USDT,6.002,6.5,5.632,6.403,31594.648
2020-09-07,ZEN/USDT,6.389,6.421,5.855,6.27,20668.358
2020-09-08,ZEN/USDT,6.349,6.361,5.7,5.887,36020.465
2020-09-09,ZEN/USDT,5.862,6.276,5.752,6.065,17357.904
2020-09-10,ZEN/USDT,6.049,6.544,6.049,6.295,26551.461
2020-09-11,ZEN/USDT,6.306,6.622,6.009,6.504,22321.245
2020-09-12,ZEN/USDT,6.545,6.69,6.39,6.641,21221.812
2020-09-13,ZEN/USDT,6.633,6.634,6.0,6.285,26742.906
2020-09-14,ZEN/USDT,6.284,6.517,6.055,6.296,18102.608
2020-09-15,ZEN/USDT,6.322,6.468,6.06,6.117,19384.53
2020-09-16,ZEN/USDT,6.117,6.296,5.975,6.16,17610.756
2020-09-17,ZEN/USDT,6.125,6.295,6.026,6.127,7193.461
2020-09-18,ZEN/USDT,6.087,6.278,6.0,6.055,20656.746
2020-09-19,ZEN/USDT,6.029,6.113,5.848,5.929,30170.825
2020-09-20,ZEN/USDT,5.9,6.049,5.716,5.827,18683.082
2020-09-21,ZEN/USDT,5.827,5.962,5.364,5.415,31921.636
2020-09-22,ZEN/USDT,5.407,5.7,5.223,5.598,21449.987
2020-09-23,ZEN/USDT,5.597,5.947,5.334,5.412,21858.005
2020-09-24,ZEN/USDT,5.357,6.23,5.347,5.913,19533.719
2020-09-25,ZEN/USDT,5.913,6.124,5.721,5.961,17072.847
2020-09-26,ZEN/USDT,6.008,6.019,5.804,5.937,12779.646
2020-09-27,ZEN/USDT,5.919,5.994,5.498,5.718,17466.895
2020-09-28,ZEN/USDT,5.734,5.94,5.577,5.6,13966.664
2020-09-29,ZEN/USDT,5.608,5.665,5.5,5.616,9817.97
2020-09-30,ZEN/USDT,5.602,5.791,5.572,5.711,13335.343
2020-10-01,ZEN/USDT,5.684,5.958,5.305,5.467,34144.39
2020-10-02,ZEN/USDT,5.443,5.474,5.1,5.259,27771.296
2020-10-03,ZEN/USDT,5.278,5.382,5.216,5.315,7736.208
2020-10-04,ZEN/USDT,5.301,5.384,5.238,5.34,6105.545
2020-10-05,ZEN/USDT,5.36,5.547,5.338,5.404,18641.523
2020-10-06,ZEN/USDT,5.398,5.437,5.132,5.205,17230.12
2020-10-07,ZEN/USDT,5.176,5.22,5.1,5.134,18372.647
2020-10-08,ZEN/USDT,5.134,5.321,5.062,5.313,23057.038
2020-10-09,ZEN/USDT,5.283,5.519,5.148,5.516,28702.922
2020-10-10,ZEN/USDT,5.487,5.67,5.401,5.572,21954.162
2020-10-11,ZEN/USDT,5.553,7.981,5.54,6.869,267278.449
2020-10-12,ZEN/USDT,6.86,7.085,6.129,6.165,154054.47
2020-10-13,ZEN/USDT,6.155,6.305,6.016,6.15,51155.803
2020-10-14,ZEN/USDT,6.15,6.393,5.916,5.943,53802.299
2020-10-15,ZEN/USDT,5.941,6.758,5.782,6.126,103073.392
2020-10-16,ZEN/USDT,6.143,6.248,5.85,6.053,47221.859
2020-10-17,ZEN/USDT,6.05,6.275,5.875,5.925,37318.384
2020-10-18,ZEN/USDT,5.93,6.047,5.896,5.991,18379.394
2020-10-19,ZEN/USDT,5.991,6.0,5.73,5.771,30279.237
2020-10-20,ZEN/USDT,5.764,5.807,5.421,5.522,35789.661
2020-10-21,ZEN/USDT,5.497,5.928,5.476,5.655,30436.781
2020-10-22,ZEN/USDT,5.682,6.0,5.635,5.834,28613.444
2020-10-23,ZEN/USDT,5.815,5.903,5.681,5.752,11469.284
2020-10-24,ZEN/USDT,5.706,5.814,5.681,5.767,19613.168
2020-10-25,ZEN/USDT,5.766,5.815,5.591,5.671,16163.669
2020-10-26,ZEN/USDT,5.693,5.823,5.57,5.665,23686.101
2020-10-27,ZEN/USDT,5.653,5.758,5.358,5.464,31209.017
2020-10-28,ZEN/USDT,5.464,5.513,5.201,5.325,19877.251
2020-10-29,ZEN/USDT,5.287,5.949,5.268,5.551,68760.365
2020-10-30,ZEN/USDT,5.551,5.618,5.218,5.412,33125.498
2020-10-31,ZEN/USDT,5.416,5.697,5.349,5.62,19491.801
2020-11-01,ZEN/USDT,5.63,5.632,5.493,5.584,8186.365
2020-11-02,ZEN/USDT,5.584,5.665,5.41,5.557,16902.874
2020-11-03,ZEN/USDT,5.542,5.565,5.381,5.467,20137.249
2020-11-04,ZEN/USDT,5.48,5.528,5.158,5.174,24278.709
2020-11-05,ZEN/USDT,5.155,5.338,5.101,5.236,36181.919
2020-11-06,ZEN/USDT,5.236,5.676,5.217,5.613,56699.176
2020-11-07,ZEN/USDT,5.58,6.46,5.5,5.91,96442.049
2020-11-08,ZEN/USDT,5.95,6.35,5.892,6.186,63026.002
2020-11-09,ZEN/USDT,6.176,6.292,5.65,5.972,40957.106
2020-11-10,ZEN/USDT,5.968,6.8,5.968,6.78,67526.47
2020-11-11,ZEN/USDT,6.796,6.8,6.245,6.311,56224.149
2020-11-12,ZEN/USDT,6.311,6.311,5.935,5.959,32412.678
2020-11-13,ZEN/USDT,5.971,6.409,5.921,6.2,14897.033
2020-11-14,ZEN/USDT,6.264,6.68,6.02,6.202,36394.616
2020-11-15,ZEN/USDT,6.182,6.461,6.179,6.321,30347.615
2020-11-16,ZEN/USDT,6.352,6.55,6.136,6.302,47660.807
2020-11-17,ZEN/USDT,6.306,6.544,6.228,6.501,43032.987
