Date,Symbol,Open,High,Low,Close,Volume
2024-11-25,1000WHYUSDT,0.0002640,0.0002700,0.0002060,0.0002140,161567314064
2024-11-26,1000WHYUSDT,0.0002140,0.0002440,0.0001840,0.0001950,182422397062
2024-11-27,1000WHYUSDT,0.0001950,0.0002170,0.0001900,0.0002030,102322515332
2024-11-28,1000WHYUSDT,0.0002030,0.0002090,0.0001840,0.0001890,74862457109
2024-11-29,1000WHYUSDT,0.0001890,0.0001990,0.0001840,0.0001898,87255839977
2024-11-30,1000WHYUSDT,0.0001899,0.0001950,0.0001849,0.0001902,68359309868
2024-12-01,1000WHYUSDT,0.0001901,0.0002010,0.0001855,0.0001894,69539763231
2024-12-02,1000WHYUSDT,0.0001895,0.0001908,0.0001577,0.0001764,120268189261
2024-12-03,1000WHYUSDT,0.0001764,0.0001880,0.0001610,0.0001873,75233541111
2024-12-04,1000WHYUSDT,0.0001874,0.0002300,0.0001793,0.0001917,224672953826
2024-12-05,1000WHYUSDT,0.0001917,0.0002022,0.0001800,0.0001896,78970295102
2024-12-06,1000WHYUSDT,0.0001895,0.0002005,0.0001857,0.0001951,49557181178
2024-12-07,1000WHYUSDT,0.0001950,0.0002153,0.0001939,0.0002011,63156473181
2024-12-08,1000WHYUSDT,0.0002012,0.0002086,0.0001911,0.0001986,49846393246
2024-12-09,1000WHYUSDT,0.0001986,0.0001997,0.0001336,0.0001657,144977140192
2024-12-10,1000WHYUSDT,0.0001658,0.0001724,0.0001439,0.0001528,83022795926
2024-12-11,1000WHYUSDT,0.0001528,0.0001796,0.0001467,0.0001739,70887662323
2024-12-12,1000WHYUSDT,0.0001739,0.0001853,0.0001621,0.0001634,80076274685
2024-12-13,1000WHYUSDT,0.0001634,0.0001656,0.0001550,0.0001590,65938164434
2024-12-14,1000WHYUSDT,0.0001590,0.0001637,0.0001458,0.0001508,47618027602
2024-12-15,1000WHYUSDT,0.0001508,0.0001585,0.0001456,0.0001535,54983949555
2024-12-16,1000WHYUSDT,0.0001537,0.0001580,0.0001408,0.0001513,85200449637
2024-12-17,1000WHYUSDT,0.0001513,0.0001605,0.0001385,0.0001420,154061040462
2024-12-18,1000WHYUSDT,0.0001420,0.0001740,0.0001281,0.0001363,580761046728
2024-12-19,1000WHYUSDT,0.0001363,0.0001451,0.0001225,0.0001423,172200552275
2024-12-20,1000WHYUSDT,0.0001424,0.0001668,0.0001359,0.0001634,340435950161
2024-12-21,1000WHYUSDT,0.0001634,0.0001760,0.0001442,0.0001481,117089713828
2024-12-22,1000WHYUSDT,0.0001481,0.0001627,0.0001429,0.0001495,84882110366
2024-12-23,1000WHYUSDT,0.0001494,0.0001558,0.0001409,0.0001525,90834742875
2024-12-24,1000WHYUSDT,0.0001526,0.0001604,0.0001473,0.0001531,66330858818
2024-12-25,1000WHYUSDT,0.0001531,0.0001649,0.0001457,0.0001469,59115020414
2024-12-26,1000WHYUSDT,0.0001470,0.0001477,0.0001253,0.0001266,102638489051
2024-12-27,1000WHYUSDT,0.0001267,0.0001388,0.0001231,0.0001345,116931075347
2024-12-28,1000WHYUSDT,0.0001345,0.0001382,0.0001295,0.0001326,70902726478
2024-12-29,1000WHYUSDT,0.0001326,0.0001357,0.0001266,0.0001277,40006121474
2024-12-30,1000WHYUSDT,0.0001277,0.0001345,0.0001232,0.0001264,75151845496
2024-12-31,1000WHYUSDT,0.0001263,0.0001328,0.0001226,0.0001238,63859263651
2025-01-01,1000WHYUSDT,0.0001238,0.0001262,0.0001173,0.0001221,80259399140
2025-01-02,1000WHYUSDT,0.0001221,0.0001298,0.0001208,0.0001228,70180812340
2025-01-03,1000WHYUSDT,0.0001229,0.0001355,0.0001200,0.0001318,81169122649
2025-01-04,1000WHYUSDT,0.0001320,0.0001471,0.0001312,0.0001448,345429002430
2025-01-05,1000WHYUSDT,0.0001446,0.0001447,0.0001303,0.0001326,87363512192
2025-01-06,1000WHYUSDT,0.0001325,0.0001371,0.0001277,0.0001316,92722653071
2025-01-07,1000WHYUSDT,0.0001316,0.0001338,0.0001131,0.0001134,107657095630
2025-01-08,1000WHYUSDT,0.0001133,0.0001153,0.0001001,0.0001049,98682422653
2025-01-09,1000WHYUSDT,0.0001050,0.0001065,0.0000950,0.0000976,95308089739
2025-01-10,1000WHYUSDT,0.0000976,0.0001037,0.0000962,0.0000988,73876407378
2025-01-11,1000WHYUSDT,0.0000988,0.0000995,0.0000929,0.0000951,75701488909
2025-01-12,1000WHYUSDT,0.0000951,0.0000971,0.0000906,0.0000921,88091365145
2025-01-13,1000WHYUSDT,0.0000922,0.0000955,0.0000811,0.0000879,95609162485
2025-01-14,1000WHYUSDT,0.0000879,0.0000927,0.0000877,0.0000910,40904561929
2025-01-15,1000WHYUSDT,0.0000911,0.0001014,0.0000873,0.0000992,65126569243
2025-01-16,1000WHYUSDT,0.0000993,0.0001061,0.0000961,0.0000969,96173969075
2025-01-17,1000WHYUSDT,0.0000969,0.0001045,0.0000968,0.0001034,67398919712
2025-01-18,1000WHYUSDT,0.0001034,0.0001043,0.0000910,0.0000938,79603122538
2025-01-19,1000WHYUSDT,0.0000938,0.0001742,0.0000809,0.0001146,1152721772055
2025-01-20,1000WHYUSDT,0.0001146,0.0001184,0.0000800,0.0000858,588854871986
2025-01-21,1000WHYUSDT,0.0000859,0.0000901,0.0000785,0.0000834,276911016534
2025-01-22,1000WHYUSDT,0.0000834,0.0000874,0.0000807,0.0000817,148848698729
2025-01-23,1000WHYUSDT,0.0000818,0.0000835,0.0000772,0.0000822,136076449792
2025-01-24,1000WHYUSDT,0.0000822,0.0000843,0.0000756,0.0000761,94229643308
2025-01-25,1000WHYUSDT,0.0000761,0.0000764,0.0000689,0.0000719,110022534903
2025-01-26,1000WHYUSDT,0.0000719,0.0000736,0.0000659,0.0000663,79722649072
2025-01-27,1000WHYUSDT,0.0000663,0.0000686,0.0000569,0.0000677,175143307828
2025-01-28,1000WHYUSDT,0.0000677,0.0000715,0.0000624,0.0000635,103692775414
2025-01-29,1000WHYUSDT,0.0000634,0.0000706,0.0000618,0.0000659,83915023549
2025-01-30,1000WHYUSDT,0.0000660,0.0000695,0.0000650,0.0000681,55556237104
2025-01-31,1000WHYUSDT,0.0000681,0.0000712,0.0000657,0.0000666,64313754795
2025-02-01,1000WHYUSDT,0.0000666,0.0000693,0.0000584,0.0000586,79770575063
2025-02-02,1000WHYUSDT,0.0000586,0.0000611,0.0000465,0.0000517,112831098763
2025-02-03,1000WHYUSDT,0.0000517,0.0000580,0.0000383,0.0000579,269345491231
2025-02-04,1000WHYUSDT,0.0000579,0.0000603,0.0000524,0.0000557,201015298890
2025-02-05,1000WHYUSDT,0.0000557,0.0000611,0.0000552,0.0000570,90972393416
2025-02-06,1000WHYUSDT,0.0000569,0.0000591,0.0000502,0.0000512,104449441196
2025-02-07,1000WHYUSDT,0.0000512,0.0000580,0.0000506,0.0000517,85944708203
2025-02-08,1000WHYUSDT,0.0000516,0.0000689,0.0000512,0.0000650,234972691668
2025-02-09,1000WHYUSDT,0.0000650,0.0000890,0.0000539,0.0000588,530547855243
2025-02-10,1000WHYUSDT,0.0000587,0.0000661,0.0000546,0.0000653,161784851504
2025-02-11,1000WHYUSDT,0.0000652,0.0000868,0.0000649,0.0000783,284317939436
2025-02-12,1000WHYUSDT,0.0000782,0.0000927,0.0000725,0.0000811,195004022049
2025-02-13,1000WHYUSDT,0.0000812,0.0000886,0.0000657,0.0000701,139146192785
2025-02-14,1000WHYUSDT,0.0000700,0.0000772,0.0000660,0.0000684,102396675950
2025-02-15,1000WHYUSDT,0.0000684,0.0000741,0.0000679,0.0000723,60474476433
2025-02-16,1000WHYUSDT,0.0000722,0.0000731,0.0000686,0.0000705,59424032968
2025-02-17,1000WHYUSDT,0.0000705,0.0000714,0.0000587,0.0000622,68247070118
2025-02-18,1000WHYUSDT,0.0000622,0.0000624,0.0000546,0.0000580,54178525662
