Date,Symbol,Open,High,Low,Close,Volume
2024-11-11,ACTUSDT,0.4151200,0.5309900,0.3850000,0.4472500,1608452171
2024-11-12,ACTUSDT,0.4472100,0.6386800,0.4201000,0.5580600,2850591134
2024-11-13,ACTUSDT,0.5580600,0.7356000,0.5255700,0.6079100,2692409921
2024-11-14,ACTUSDT,0.6078000,0.9534000,0.5878000,0.7565600,2532862082
2024-11-15,ACTUSDT,0.7565700,0.9280000,0.6523000,0.7504600,1709082561
2024-11-16,ACTUSDT,0.7504600,0.7994600,0.6360000,0.6763000,935903577
2024-11-17,ACTUSDT,0.6762900,0.6949900,0.5831400,0.6678600,852292941
2024-11-18,ACTUSDT,0.6678200,0.6929000,0.5788800,0.6030800,545002017
2024-11-19,ACTUSDT,0.6030400,0.6396100,0.5609500,0.5809400,732749760
2024-11-20,ACTUSDT,0.5809700,0.5828000,0.4872100,0.4951300,706421051
2024-11-21,ACTUSDT,0.4951400,0.5567900,0.4402200,0.5068400,1008979808
2024-11-22,ACTUSDT,0.5068400,0.5223300,0.4314900,0.4482100,698806704
2024-11-23,ACTUSDT,0.4481800,0.4907400,0.4227400,0.4565700,843677702
2024-11-24,ACTUSDT,0.4565800,0.4861600,0.4100000,0.4541800,729152847
2024-11-25,ACTUSDT,0.4542500,0.5060000,0.4156500,0.4300000,771971078
2024-11-26,ACTUSDT,0.4299700,0.4508700,0.3980000,0.4219600,583869848
2024-11-27,ACTUSDT,0.4219100,0.4520100,0.4124600,0.4506400,501054470
2024-11-28,ACTUSDT,0.4506100,0.4661600,0.4174500,0.4412000,451674043
2024-11-29,ACTUSDT,0.4411700,0.7249900,0.4384400,0.6808000,4112589075
2024-11-30,ACTUSDT,0.6807700,0.8110000,0.5699200,0.5736400,2644211781
2024-12-01,ACTUSDT,0.5736600,0.6440000,0.5500500,0.5967000,1438489418
2024-12-02,ACTUSDT,0.5965900,0.6006400,0.5165200,0.5449000,999415859
2024-12-03,ACTUSDT,0.5448800,0.5781800,0.4835300,0.5193700,858851846
2024-12-04,ACTUSDT,0.5194400,0.5469000,0.5109900,0.5324900,634057891
2024-12-05,ACTUSDT,0.5325000,0.6435400,0.5155700,0.6305000,1218509638
2024-12-06,ACTUSDT,0.6306800,0.6505400,0.5665000,0.5906700,633576283
2024-12-07,ACTUSDT,0.5906700,0.6463600,0.5801900,0.6124900,590526206
2024-12-08,ACTUSDT,0.6124700,0.6596300,0.5890000,0.6035100,428926616
2024-12-09,ACTUSDT,0.6035300,0.6037100,0.4150000,0.4802500,867447156
2024-12-10,ACTUSDT,0.4802700,0.4968600,0.4317800,0.4665100,612030806
2024-12-11,ACTUSDT,0.4665600,0.5607900,0.4456500,0.5455400,635197199
2024-12-12,ACTUSDT,0.5455600,0.5866400,0.5325800,0.5497800,580666019
2024-12-13,ACTUSDT,0.5496900,0.6158500,0.5389100,0.5702400,776608361
2024-12-14,ACTUSDT,0.5701900,0.6367700,0.5623100,0.5740000,843535297
2024-12-15,ACTUSDT,0.5739900,0.5963800,0.5000100,0.5296600,685031467
2024-12-16,ACTUSDT,0.5296500,0.5485100,0.4785000,0.4904300,569567768
2024-12-17,ACTUSDT,0.4904300,0.4917000,0.4504600,0.4643000,487674743
2024-12-18,ACTUSDT,0.4643100,0.4768100,0.3968400,0.4054300,705174739
2024-12-19,ACTUSDT,0.4055200,0.4061000,0.3200100,0.3205600,1237957593
2024-12-20,ACTUSDT,0.3205800,0.3550300,0.2907700,0.3455800,1063993437
2024-12-21,ACTUSDT,0.3455400,0.3576500,0.3009900,0.3070100,623688794
2024-12-22,ACTUSDT,0.3070100,0.3476300,0.3039100,0.3232300,731402432
2024-12-23,ACTUSDT,0.3232700,0.3446800,0.3103400,0.3385400,500707089
