Date,Symbol,Open,High,Low,Close,Volume
2024-12-06,ACXUSDT,1.1090000,1.3175000,1.0383000,1.0849000,147187011.1
2024-12-07,ACXUSDT,1.0849000,1.1369000,0.9034000,0.9881000,254478806.3
2024-12-08,ACXUSDT,0.9876000,1.1292000,0.9400000,1.0279000,257256876.1
2024-12-09,ACXUSDT,1.0280000,1.1000000,0.6498000,0.7903000,265155165.0
2024-12-10,ACXUSDT,0.7906000,0.8452000,0.6750000,0.7307000,170949218.5
2024-12-11,ACXUSDT,0.7306000,0.9789000,0.6924000,0.8908000,257645184.7
2024-12-12,ACXUSDT,0.8906000,0.9465000,0.7911000,0.8021000,153486484.4
2024-12-13,ACXUSDT,0.8021000,0.8365000,0.7668000,0.8089000,95945691.5
2024-12-14,ACXUSDT,0.8088000,0.8420000,0.7464000,0.7766000,82208639.1
2024-12-15,ACXUSDT,0.7767000,0.7904000,0.7222000,0.7852000,56291179.0
2024-12-16,ACXUSDT,0.7853000,0.8510000,0.7383000,0.7813000,126012116.1
2024-12-17,ACXUSDT,0.7810000,0.8169000,0.6851000,0.6969000,83859340.7
2024-12-18,ACXUSDT,0.6970000,0.7124000,0.5943000,0.6322000,101243829.7
2024-12-19,ACXUSDT,0.6321000,0.6520000,0.5555000,0.5861000,104310724.4
2024-12-20,ACXUSDT,0.5861000,0.6025000,0.4742000,0.5617000,133548132.2
2024-12-21,ACXUSDT,0.5616000,0.6578000,0.5335000,0.5457000,100869388.1
2024-12-22,ACXUSDT,0.5459000,0.5784000,0.5200000,0.5534000,63920982.5
2024-12-23,ACXUSDT,0.5534000,0.6018000,0.5292000,0.5753000,57887768.4
2024-12-24,ACXUSDT,0.5754000,0.6112000,0.5528000,0.5936000,47859335.7
2024-12-25,ACXUSDT,0.5936000,0.6534000,0.5815000,0.6167000,84694798.1
2024-12-26,ACXUSDT,0.6168000,0.6251000,0.5554000,0.5789000,62400325.8
2024-12-27,ACXUSDT,0.5789000,0.6799000,0.5703000,0.6509000,187076891.1
2024-12-28,ACXUSDT,0.6508000,0.6669000,0.5800000,0.6005000,76961433.2
2024-12-29,ACXUSDT,0.6004000,0.6326000,0.5751000,0.5849000,75687197.7
2024-12-30,ACXUSDT,0.5850000,0.6413000,0.5562000,0.6119000,68384843.0
2024-12-31,ACXUSDT,0.6118000,0.6121000,0.5600000,0.5647000,47574978.4
2025-01-01,ACXUSDT,0.5646000,0.5821000,0.5410000,0.5721000,40497047.8
2025-01-02,ACXUSDT,0.5723000,0.6021000,0.5671000,0.5832000,38246378.2
2025-01-03,ACXUSDT,0.5833000,0.6228000,0.5661000,0.6198000,35031057.4
2025-01-04,ACXUSDT,0.6198000,0.6551000,0.6090000,0.6313000,45326347.5
2025-01-05,ACXUSDT,0.6314000,0.6498000,0.6087000,0.6195000,32067645.4
2025-01-06,ACXUSDT,0.6196000,0.6317000,0.5956000,0.6057000,40836938.4
2025-01-07,ACXUSDT,0.6057000,0.6082000,0.5071000,0.5105000,56562811.6
2025-01-08,ACXUSDT,0.5105000,0.5151000,0.4444000,0.4694000,58991683.6
2025-01-09,ACXUSDT,0.4693000,0.4800000,0.4299000,0.4409000,45830284.4
2025-01-10,ACXUSDT,0.4409000,0.4696000,0.4327000,0.4524000,29990762.6
