Date,Symbol,Open,High,Low,Close,Volume
2024-01-08,AIUSDT,1.394990,1.514990,1.270000,1.359990,41419067
2024-01-09,AIUSDT,1.359000,1.438000,1.080000,1.157800,112072025
2024-01-10,AIUSDT,1.157340,1.200000,0.903330,1.144090,139434893
2024-01-11,AIUSDT,1.144370,1.273730,1.042100,1.113990,116795450
2024-01-12,AIUSDT,1.113830,1.139340,0.955730,1.024530,63243596
2024-01-13,AIUSDT,1.024440,1.121600,0.970690,1.077500,45893650
2024-01-14,AIUSDT,1.077500,1.333330,1.070540,1.211490,193739462
2024-01-15,AIUSDT,1.211600,1.499620,1.100000,1.404780,237649534
2024-01-16,AIUSDT,1.404740,1.497590,1.275700,1.337680,144758947
2024-01-17,AIUSDT,1.337480,1.418560,1.245000,1.333070,126282698
2024-01-18,AIUSDT,1.333040,1.341430,1.110250,1.151700,123680999
2024-01-19,AIUSDT,1.152160,1.164340,0.990170,1.072950,105551667
2024-01-20,AIUSDT,1.073040,1.142270,1.052790,1.090170,58071655
2024-01-21,AIUSDT,1.090180,1.226600,1.075360,1.162870,85524480
2024-01-22,AIUSDT,1.162390,1.189930,1.042020,1.052200,80457634
2024-01-23,AIUSDT,1.052530,1.103390,0.947800,1.013250,73249887
2024-01-24,AIUSDT,1.013360,1.125210,1.000000,1.096650,59232347
2024-01-25,AIUSDT,1.096410,1.103850,0.982000,1.013170,59017470
2024-01-26,AIUSDT,1.013020,1.160000,0.991790,1.127670,63284272
2024-01-27,AIUSDT,1.127660,1.326530,1.104060,1.242820,153183345
2024-01-28,AIUSDT,1.242820,1.278250,1.150830,1.171300,109198622
2024-01-29,AIUSDT,1.171560,1.276200,1.155640,1.226780,93289597
2024-01-30,AIUSDT,1.226900,1.380000,1.185000,1.282000,127628241
2024-01-31,AIUSDT,1.282230,1.398880,1.185350,1.194630,257576000
2024-02-01,AIUSDT,1.194590,1.204620,1.111230,1.141870,93161047
2024-02-02,AIUSDT,1.141910,1.203020,1.133000,1.171790,66064351
2024-02-03,AIUSDT,1.171810,1.219810,1.138280,1.167250,56716113
2024-02-04,AIUSDT,1.167250,1.176000,1.068020,1.096100,57734035
2024-02-05,AIUSDT,1.096100,1.124520,1.050000,1.083510,58412158
2024-02-06,AIUSDT,1.083410,1.095160,1.020630,1.051130,45088038
2024-02-07,AIUSDT,1.051230,1.121380,1.036860,1.103470,44730444
2024-02-08,AIUSDT,1.103810,1.177410,1.099440,1.106600,66478307
2024-02-09,AIUSDT,1.106620,1.209980,1.106620,1.185210,56644706
2024-02-10,AIUSDT,1.185210,1.221180,1.146280,1.161810,46256113
2024-02-11,AIUSDT,1.161810,1.449780,1.158400,1.391480,243970691
2024-02-12,AIUSDT,1.391490,1.545590,1.318000,1.447180,227507761
2024-02-13,AIUSDT,1.447320,1.683710,1.395570,1.652010,236889000
2024-02-14,AIUSDT,1.652120,1.797500,1.592000,1.660300,213299163
2024-02-15,AIUSDT,1.660370,1.699920,1.511690,1.595600,132947786
2024-02-16,AIUSDT,1.595790,1.726820,1.444440,1.503570,153987122
2024-02-17,AIUSDT,1.503550,1.634980,1.425560,1.611480,132765229
2024-02-18,AIUSDT,1.611580,1.934840,1.608180,1.808490,250786406
2024-02-19,AIUSDT,1.808610,1.979000,1.694870,1.736300,165077660
2024-02-20,AIUSDT,1.736060,1.850000,1.497020,1.785660,154405321
2024-02-21,AIUSDT,1.785560,1.902830,1.578120,1.762920,171098925
2024-02-22,AIUSDT,1.762920,1.895970,1.649240,1.757820,147623845
2024-02-23,AIUSDT,1.757820,1.832130,1.582160,1.611820,110171239
2024-02-24,AIUSDT,1.611860,1.673270,1.558210,1.636050,61370340
2024-02-25,AIUSDT,1.636030,1.721000,1.612910,1.663240,67846881
2024-02-26,AIUSDT,1.663180,1.683540,1.575000,1.629530,66643751
2024-02-27,AIUSDT,1.629340,1.710950,1.581260,1.656710,75614661
2024-02-28,AIUSDT,1.656740,1.800000,1.385360,1.689200,159291067
2024-02-29,AIUSDT,1.689190,1.750250,1.503190,1.542890,87105598
2024-03-01,AIUSDT,1.543150,1.845220,1.541800,1.789410,118791439
2024-03-02,AIUSDT,1.789250,1.848770,1.716660,1.800920,81390001
2024-03-03,AIUSDT,1.800970,1.908000,1.580150,1.731810,90285758
2024-03-04,AIUSDT,1.731880,1.765990,1.603580,1.654250,69177416
2024-03-05,AIUSDT,1.654270,1.711750,1.270000,1.506940,114280384
2024-03-06,AIUSDT,1.506960,1.899000,1.437600,1.833730,124075403
2024-03-07,AIUSDT,1.833730,2.268000,1.782220,2.013120,275622419
2024-03-08,AIUSDT,2.013050,2.230000,1.805390,2.056850,151023330
2024-03-09,AIUSDT,2.056850,2.382880,2.015830,2.265360,122059116
2024-03-10,AIUSDT,2.265280,2.300000,2.000000,2.064810,71922566
