Date,Symbol,Open,High,Low,Close,Volume
2021-03-16,ALICEUSDT,19.000,25.490,15.557,17.099,8340720.6
2021-03-17,ALICEUSDT,17.099,18.880,14.100,14.607,5653609.5
2021-03-18,ALICEUSDT,14.613,19.950,14.324,17.045,10014211.5
2021-03-19,ALICEUSDT,17.047,18.044,15.025,15.218,5494711.4
2021-03-20,ALICEUSDT,15.236,15.589,14.100,14.400,3365511.7
2021-03-21,ALICEUSDT,14.407,14.801,13.061,14.080,4339203.3
2021-03-22,ALICEUSDT,14.098,14.147,12.003,12.069,4480613.2
2021-03-23,ALICEUSDT,12.070,12.500,11.335,11.622,4268642.0
2021-03-24,ALICEUSDT,11.622,14.650,11.468,11.901,7259551.5
2021-03-25,ALICEUSDT,11.900,12.518,10.466,10.925,5556512.8
2021-03-26,ALICEUSDT,10.916,13.850,10.905,13.428,4948316.4
2021-03-27,ALICEUSDT,13.439,14.531,12.233,13.450,4756837.9
2021-03-28,ALICEUSDT,13.459,18.255,13.350,16.684,12339090.2
2021-03-29,ALICEUSDT,16.699,16.900,15.231,15.863,4095715.0
2021-03-30,ALICEUSDT,15.844,17.339,15.345,16.089,4040390.5
2021-03-31,ALICEUSDT,16.107,16.645,13.121,14.647,4800155.5
2021-04-01,ALICEUSDT,14.659,15.400,13.736,14.378,2367103.9
2021-04-02,ALICEUSDT,14.384,15.150,14.100,14.743,1841034.3
2021-04-03,ALICEUSDT,14.743,15.576,13.172,13.512,2687309.8
2021-04-04,ALICEUSDT,13.512,14.547,13.276,14.360,1164348.8
2021-04-05,ALICEUSDT,14.375,15.250,13.561,14.254,2363505.6
2021-04-06,ALICEUSDT,14.254,15.580,13.708,14.182,2753267.1
2021-04-07,ALICEUSDT,14.187,14.321,11.580,12.206,3470092.4
2021-04-08,ALICEUSDT,12.224,13.300,12.120,12.894,2255730.2
2021-04-09,ALICEUSDT,12.887,13.403,12.454,12.730,1915322.4
2021-04-10,ALICEUSDT,12.730,13.990,12.109,12.610,2487331.2
2021-04-11,ALICEUSDT,12.610,12.972,12.182,12.873,1440862.0
2021-04-12,ALICEUSDT,12.888,15.382,12.777,13.899,8531292.3
2021-04-13,ALICEUSDT,13.904,14.648,12.659,12.752,3582358.8
2021-04-14,ALICEUSDT,12.759,13.193,11.511,12.253,3717570.5
2021-04-15,ALICEUSDT,12.253,13.012,12.085,12.551,3527876.7
2021-04-16,ALICEUSDT,12.559,12.746,11.500,11.920,3717110.0
2021-04-17,ALICEUSDT,11.921,12.549,11.680,11.832,2939211.1
2021-04-18,ALICEUSDT,11.838,12.078,5.505,9.789,33686859.6
2021-04-19,ALICEUSDT,9.789,10.540,8.636,8.675,8327589.8
2021-04-20,ALICEUSDT,8.678,9.380,7.855,9.232,4250512.7
2021-04-21,ALICEUSDT,9.227,9.360,8.448,8.560,3145694.4
2021-04-22,ALICEUSDT,8.561,9.578,7.636,7.853,5138661.2
2021-04-23,ALICEUSDT,7.852,8.004,5.826,7.554,6148895.3
2021-04-24,ALICEUSDT,7.551,7.555,6.715,7.285,2847052.3
2021-04-25,ALICEUSDT,7.285,12.808,7.280,8.185,29926410.8
2021-04-26,ALICEUSDT,8.191,9.519,8.006,8.950,8317969.4
2021-04-27,ALICEUSDT,8.954,11.025,8.632,10.440,11129943.6
2021-04-28,ALICEUSDT,10.440,13.615,9.212,13.024,16370227.5
2021-04-29,ALICEUSDT,13.024,16.552,12.852,13.473,37765292.6
2021-04-30,ALICEUSDT,13.477,18.587,12.557,17.686,29494653.3
2021-05-01,ALICEUSDT,17.675,19.757,15.821,18.273,32397938.8
2021-05-02,ALICEUSDT,18.269,19.250,16.668,17.496,17656752.1
2021-05-03,ALICEUSDT,17.493,18.513,15.896,16.542,13026146.2
2021-05-04,ALICEUSDT,16.548,17.225,13.531,13.886,17319591.8
2021-05-05,ALICEUSDT,13.870,15.688,13.632,14.604,10845884.9
2021-05-06,ALICEUSDT,14.607,16.112,13.600,14.241,12832736.9
2021-05-07,ALICEUSDT,14.235,14.800,13.000,13.588,7403496.7
2021-05-08,ALICEUSDT,13.589,15.780,13.420,14.310,11162420.7
2021-05-09,ALICEUSDT,14.317,14.454,12.984,13.826,6904157.3
2021-05-10,ALICEUSDT,13.831,15.210,10.055,11.665,11233490.5
2021-05-11,ALICEUSDT,11.665,13.155,11.215,12.978,7049524.3
2021-05-12,ALICEUSDT,12.974,14.042,9.642,9.958,8749535.8
2021-05-13,ALICEUSDT,9.957,11.884,9.089,10.372,8125368.7
2021-05-14,ALICEUSDT,10.377,11.893,10.225,11.225,5222578.8
2021-05-15,ALICEUSDT,11.233,11.514,9.881,10.068,4330541.1
2021-05-16,ALICEUSDT,10.068,11.997,9.990,11.002,6098275.8
2021-05-17,ALICEUSDT,11.004,13.572,9.500,13.107,21377703.4
2021-05-18,ALICEUSDT,13.108,13.780,11.300,11.621,13773136.9
2021-05-19,ALICEUSDT,11.618,12.058,4.117,6.745,18907303.9
2021-05-20,ALICEUSDT,6.744,8.304,6.048,7.465,9977362.2
2021-05-21,ALICEUSDT,7.465,8.052,5.188,6.324,8702881.3
2021-05-22,ALICEUSDT,6.321,6.470,5.254,6.102,7201381.7
2021-05-23,ALICEUSDT,6.104,6.256,3.735,5.106,12576221.2
2021-05-24,ALICEUSDT,5.108,6.212,4.908,6.151,10152505.0
2021-05-25,ALICEUSDT,6.153,7.095,5.289,6.834,10788720.0
2021-05-26,ALICEUSDT,6.838,7.751,6.498,7.566,10452169.0
2021-05-27,ALICEUSDT,7.564,8.895,6.704,7.775,13284332.3
2021-05-28,ALICEUSDT,7.779,8.380,6.319,6.881,11886407.2
2021-05-29,ALICEUSDT,6.882,7.362,5.539,5.944,8335814.6
2021-05-30,ALICEUSDT,5.947,7.559,5.513,6.997,12988172.1
2021-05-31,ALICEUSDT,6.995,7.500,6.473,7.433,10985631.5
2021-06-01,ALICEUSDT,7.432,7.728,6.640,6.922,8243730.8
