Date,Symbol,Open,High,Low,Close,Volume
2021-01-26,ANKRUSDT,0.010950,0.010950,0.009765,0.010586,72802151
2021-01-27,ANKRUSDT,0.010584,0.010587,0.009239,0.009923,128401419
2021-01-28,ANKRUSDT,0.009925,0.014072,0.009679,0.011889,691831303
2021-01-29,ANKRUSDT,0.011889,0.014966,0.011889,0.012541,604854416
2021-01-30,ANKRUSDT,0.012541,0.014065,0.011500,0.012056,388061322
2021-01-31,ANKRUSDT,0.012050,0.013000,0.011213,0.011600,266368364
2021-02-01,ANKRUSDT,0.011589,0.012369,0.011100,0.011929,218040887
2021-02-02,ANKRUSDT,0.011894,0.013450,0.011864,0.012842,220257524
2021-02-03,ANKRUSDT,0.012877,0.015501,0.012562,0.014401,963603434
2021-02-04,ANKRUSDT,0.014377,0.019900,0.014216,0.016793,1652142286
2021-02-05,ANKRUSDT,0.016786,0.018722,0.016189,0.017311,1040505215
2021-02-06,ANKRUSDT,0.017310,0.017448,0.015000,0.016112,963197026
2021-02-07,ANKRUSDT,0.016124,0.018400,0.014371,0.017367,1853454852
2021-02-08,ANKRUSDT,0.017368,0.019623,0.016596,0.018162,1068822942
2021-02-09,ANKRUSDT,0.018162,0.020520,0.018162,0.020044,1048141183
2021-02-10,ANKRUSDT,0.020074,0.021008,0.016699,0.018532,1212575798
2021-02-11,ANKRUSDT,0.018553,0.023431,0.017993,0.021680,1214049881
2021-02-12,ANKRUSDT,0.021734,0.023841,0.020257,0.022447,781381866
2021-02-13,ANKRUSDT,0.022466,0.027262,0.022447,0.024758,1546158074
2021-02-14,ANKRUSDT,0.024785,0.029554,0.022056,0.027050,1752221356
2021-02-15,ANKRUSDT,0.027069,0.030894,0.022890,0.026437,2666436768
2021-02-16,ANKRUSDT,0.026453,0.028819,0.024768,0.026153,656336275
2021-02-17,ANKRUSDT,0.026132,0.027149,0.023480,0.025954,673299691
2021-02-18,ANKRUSDT,0.025965,0.029187,0.025965,0.027776,691732583
2021-02-19,ANKRUSDT,0.027844,0.030844,0.026590,0.029095,753479973
2021-02-20,ANKRUSDT,0.029088,0.031496,0.024913,0.027271,807673662
2021-02-21,ANKRUSDT,0.027226,0.028578,0.026398,0.028177,326878739
2021-02-22,ANKRUSDT,0.028190,0.041475,0.024117,0.032443,3983395222
2021-02-23,ANKRUSDT,0.032404,0.032720,0.019006,0.024401,1780164024
2021-02-24,ANKRUSDT,0.024463,0.029702,0.022650,0.028274,1714727246
2021-02-25,ANKRUSDT,0.028198,0.032453,0.026107,0.026509,914974414
2021-02-26,ANKRUSDT,0.026500,0.027567,0.023523,0.026377,549209573
2021-02-27,ANKRUSDT,0.026373,0.029499,0.025699,0.027953,478319720
2021-02-28,ANKRUSDT,0.027982,0.030507,0.023672,0.026121,693582026
2021-03-01,ANKRUSDT,0.026125,0.030341,0.025763,0.029922,352541934
2021-03-02,ANKRUSDT,0.029927,0.030805,0.026824,0.029057,412709067
2021-03-03,ANKRUSDT,0.029061,0.033066,0.028255,0.032363,506120819
2021-03-04,ANKRUSDT,0.032340,0.037586,0.031417,0.035235,825962804
2021-03-05,ANKRUSDT,0.035249,0.035268,0.032174,0.033800,397292183
2021-03-06,ANKRUSDT,0.033833,0.034396,0.030805,0.032900,249629360
2021-03-07,ANKRUSDT,0.032900,0.037464,0.031814,0.035392,652556842
2021-03-08,ANKRUSDT,0.035336,0.039844,0.033556,0.039183,1062726404
2021-03-09,ANKRUSDT,0.039134,0.041640,0.038150,0.041021,599381659
2021-03-10,ANKRUSDT,0.041022,0.047336,0.036053,0.041601,878925279
2021-03-11,ANKRUSDT,0.041600,0.047008,0.040146,0.044990,799818833
2021-03-12,ANKRUSDT,0.045000,0.067700,0.044813,0.062399,2592195951
2021-03-13,ANKRUSDT,0.062399,0.086326,0.062341,0.066189,3308283717
2021-03-14,ANKRUSDT,0.066320,0.076592,0.059345,0.068287,1742584863
2021-03-15,ANKRUSDT,0.068287,0.076899,0.060379,0.068881,1364966801
2021-03-16,ANKRUSDT,0.068912,0.080513,0.062111,0.073892,1545871692
2021-03-17,ANKRUSDT,0.073994,0.074178,0.061867,0.068982,1114557990
2021-03-18,ANKRUSDT,0.069036,0.070802,0.064831,0.066209,754736301
2021-03-19,ANKRUSDT,0.066288,0.075183,0.063689,0.074380,1064186777
2021-03-20,ANKRUSDT,0.074380,0.085216,0.069365,0.069935,1886189663
2021-03-21,ANKRUSDT,0.069950,0.079453,0.068184,0.074881,1355817983
2021-03-22,ANKRUSDT,0.074837,0.079032,0.067733,0.069678,909903762
2021-03-23,ANKRUSDT,0.069678,0.120680,0.068722,0.102251,4102630140
2021-03-24,ANKRUSDT,0.102248,0.105693,0.080777,0.085136,2037871096
2021-03-25,ANKRUSDT,0.085147,0.126982,0.079199,0.117801,4182527610
2021-03-26,ANKRUSDT,0.117942,0.151200,0.112000,0.133565,4081447824
2021-03-27,ANKRUSDT,0.133492,0.197376,0.128479,0.190988,4221802493
2021-03-28,ANKRUSDT,0.190966,0.216781,0.162480,0.166660,3022726227
2021-03-29,ANKRUSDT,0.166691,0.188000,0.158554,0.165318,1581300378
2021-03-30,ANKRUSDT,0.165439,0.174481,0.160834,0.165550,1005306798
2021-03-31,ANKRUSDT,0.165584,0.165601,0.145000,0.157700,897371734
2021-04-01,ANKRUSDT,0.157804,0.172817,0.155087,0.161961,783297704
2021-04-02,ANKRUSDT,0.161963,0.186542,0.160204,0.169378,941967238
2021-04-03,ANKRUSDT,0.169437,0.176642,0.152463,0.152751,509886565
2021-04-04,ANKRUSDT,0.152645,0.163472,0.149767,0.161544,365916019
2021-04-05,ANKRUSDT,0.161612,0.166085,0.151786,0.157183,508594193
2021-04-06,ANKRUSDT,0.157236,0.158025,0.138184,0.149739,676422962
2021-04-07,ANKRUSDT,0.149739,0.151100,0.118186,0.137221,1168032061
2021-04-08,ANKRUSDT,0.137229,0.156620,0.135633,0.154681,698479630
2021-04-09,ANKRUSDT,0.154619,0.168454,0.146854,0.157736,716787149
2021-04-10,ANKRUSDT,0.157781,0.161746,0.145420,0.149943,407336313
2021-04-11,ANKRUSDT,0.149970,0.150614,0.142550,0.146760,257061525
2021-04-12,ANKRUSDT,0.146662,0.164872,0.146351,0.159567,543600865
2021-04-13,ANKRUSDT,0.159472,0.165463,0.151621,0.164261,389767141
2021-04-14,ANKRUSDT,0.164270,0.165791,0.147986,0.156210,361077921
2021-04-15,ANKRUSDT,0.156242,0.175227,0.153899,0.172811,489734561
2021-04-16,ANKRUSDT,0.172892,0.206557,0.161070,0.184575,1470985931
2021-04-17,ANKRUSDT,0.184576,0.206105,0.177512,0.185941,726958034
2021-04-18,ANKRUSDT,0.186000,0.192337,0.122122,0.165780,748837536
2021-04-19,ANKRUSDT,0.165799,0.170333,0.148036,0.150502,440829109
2021-04-20,ANKRUSDT,0.150655,0.154255,0.134567,0.153433,471577849
2021-04-21,ANKRUSDT,0.153446,0.159421,0.145562,0.146735,392630099
2021-04-22,ANKRUSDT,0.146711,0.152663,0.129200,0.132614,517773654
2021-04-23,ANKRUSDT,0.132364,0.138431,0.102408,0.136944,805307311
2021-04-24,ANKRUSDT,0.136767,0.138292,0.123205,0.124042,401739241
2021-04-25,ANKRUSDT,0.124122,0.133857,0.117244,0.125843,301696230
2021-04-26,ANKRUSDT,0.125818,0.146759,0.123726,0.145476,360971834
2021-04-27,ANKRUSDT,0.145489,0.159665,0.141484,0.153151,291343087
2021-04-28,ANKRUSDT,0.153180,0.181507,0.153024,0.173036,923604864
2021-04-29,ANKRUSDT,0.173036,0.173278,0.156386,0.164529,358981359
2021-04-30,ANKRUSDT,0.164530,0.177310,0.160422,0.176750,197251629
2021-05-01,ANKRUSDT,0.176800,0.189670,0.172320,0.178230,354767620
2021-05-02,ANKRUSDT,0.178290,0.178600,0.165030,0.171190,213550325
2021-05-03,ANKRUSDT,0.171220,0.178940,0.168290,0.170290,283863357
2021-05-04,ANKRUSDT,0.170320,0.173690,0.150730,0.154070,370293878
2021-05-05,ANKRUSDT,0.154020,0.166070,0.152540,0.163520,255305672
2021-05-06,ANKRUSDT,0.163510,0.167800,0.153630,0.158730,276183803
2021-05-07,ANKRUSDT,0.158710,0.170040,0.155070,0.162520,235873655
