Date,Symbol,Open,High,Low,Close,Volume
2023-03-23,ARBUSDT,1.352500,1.491300,1.213100,1.322900,1016091810.7
2023-03-24,ARBUSDT,1.323000,1.567500,1.170000,1.272500,1875441255.0
2023-03-25,ARBUSDT,1.272200,1.315000,1.173000,1.218000,1089696480.7
2023-03-26,ARBUSDT,1.217900,1.347400,1.201800,1.281600,991407079.4
2023-03-27,ARBUSDT,1.281600,1.326000,1.114200,1.164500,1080549204.2
2023-03-28,ARBUSDT,1.164600,1.225200,1.108000,1.220200,851718956.9
2023-03-29,ARBUSDT,1.220100,1.276900,1.192500,1.225200,678626326.9
2023-03-30,ARBUSDT,1.225300,1.430000,1.222300,1.379800,1685215876.6
2023-03-31,ARBUSDT,1.379800,1.444400,1.315000,1.389900,1068616001.0
2023-04-01,ARBUSDT,1.389900,1.402800,1.258000,1.292800,585633915.4
2023-04-02,ARBUSDT,1.292800,1.298200,1.130300,1.200400,1175947859.1
2023-04-03,ARBUSDT,1.200400,1.230000,1.093300,1.152100,1059957601.7
2023-04-04,ARBUSDT,1.152100,1.265000,1.146600,1.233700,692594624.7
2023-04-05,ARBUSDT,1.233700,1.289800,1.202500,1.241800,596891926.1
2023-04-06,ARBUSDT,1.241800,1.244400,1.179100,1.214500,376704481.7
2023-04-07,ARBUSDT,1.214600,1.247000,1.180000,1.196300,337616616.9
2023-04-08,ARBUSDT,1.196300,1.209700,1.151000,1.161500,265520157.1
2023-04-09,ARBUSDT,1.161400,1.199500,1.142000,1.180900,327323805.5
2023-04-10,ARBUSDT,1.180800,1.254300,1.161200,1.242100,450199348.8
2023-04-11,ARBUSDT,1.242200,1.259700,1.203100,1.216400,380925186.3
2023-04-12,ARBUSDT,1.216300,1.219800,1.150900,1.192900,504746450.0
2023-04-13,ARBUSDT,1.193000,1.377800,1.176900,1.368600,1203283275.7
2023-04-14,ARBUSDT,1.368600,1.750000,1.367900,1.698400,3051497773.3
2023-04-15,ARBUSDT,1.698400,1.748700,1.603600,1.654800,1660713782.1
2023-04-16,ARBUSDT,1.654800,1.724400,1.560000,1.696900,1125327601.7
2023-04-17,ARBUSDT,1.696800,1.700600,1.578000,1.610000,941577206.2
2023-04-18,ARBUSDT,1.610100,1.823400,1.583900,1.673900,1602065168.4
2023-04-19,ARBUSDT,1.673800,1.698500,1.444000,1.488200,1404018074.3
2023-04-20,ARBUSDT,1.487900,1.541000,1.401000,1.441600,1339347117.8
2023-04-21,ARBUSDT,1.441600,1.503000,1.408000,1.470900,1403684370.3
2023-04-22,ARBUSDT,1.470800,1.500000,1.420100,1.464300,926162862.6
2023-04-23,ARBUSDT,1.464300,1.464300,1.290000,1.339600,966284681.7
2023-04-24,ARBUSDT,1.339600,1.367600,1.276500,1.337600,1011093939.4
2023-04-25,ARBUSDT,1.337600,1.387100,1.293000,1.378700,922567691.2
2023-04-26,ARBUSDT,1.378800,1.503900,1.312200,1.383400,1453428576.5
2023-04-27,ARBUSDT,1.383500,1.453600,1.371000,1.422600,985169553.8
2023-04-28,ARBUSDT,1.422700,1.443700,1.358800,1.379500,572076466.9
2023-04-29,ARBUSDT,1.379600,1.394300,1.323000,1.366800,308890120.0
2023-04-30,ARBUSDT,1.366800,1.425000,1.344600,1.367300,431439183.7
2023-05-01,ARBUSDT,1.367300,1.387600,1.285000,1.317900,465711954.9
2023-05-02,ARBUSDT,1.317900,1.359000,1.306100,1.347700,354382568.3
2023-05-03,ARBUSDT,1.347800,1.363200,1.295100,1.342000,438541614.6
2023-05-04,ARBUSDT,1.341900,1.364700,1.305800,1.318100,329064697.0
2023-05-05,ARBUSDT,1.318100,1.366800,1.285400,1.355200,439787244.0
2023-05-06,ARBUSDT,1.355100,1.367400,1.214000,1.238900,547310067.0
2023-05-07,ARBUSDT,1.238900,1.259400,1.215700,1.218900,297230041.4
2023-05-08,ARBUSDT,1.218900,1.229800,0.990100,1.093900,775097146.4
2023-05-09,ARBUSDT,1.093800,1.119500,1.076600,1.102400,415061876.2
2023-05-10,ARBUSDT,1.102500,1.204400,1.074900,1.169900,810390065.3
2023-05-11,ARBUSDT,1.170000,1.171500,1.050000,1.088100,596452775.9
2023-05-12,ARBUSDT,1.088200,1.177000,1.060300,1.171300,636133229.6
2023-05-13,ARBUSDT,1.171300,1.191200,1.143300,1.169100,333522228.9
2023-05-14,ARBUSDT,1.169100,1.207800,1.140700,1.169900,287456597.7
2023-05-15,ARBUSDT,1.169900,1.229900,1.146700,1.187800,398116035.9
2023-05-16,ARBUSDT,1.187800,1.211800,1.162000,1.179600,297545322.4
2023-05-17,ARBUSDT,1.179600,1.212200,1.130200,1.197900,392177871.2
2023-05-18,ARBUSDT,1.197800,1.214000,1.135000,1.155100,344787557.3
2023-05-19,ARBUSDT,1.155100,1.173100,1.140800,1.162800,230863847.1
2023-05-20,ARBUSDT,1.162900,1.168500,1.148500,1.163100,122795834.0
2023-05-21,ARBUSDT,1.163100,1.170600,1.107700,1.126700,182185655.5
2023-05-22,ARBUSDT,1.126700,1.139900,1.104700,1.125000,197998570.1
2023-05-23,ARBUSDT,1.124900,1.179800,1.118200,1.166300,258997588.8
2023-05-24,ARBUSDT,1.166200,1.166900,1.074000,1.108600,332824227.3
2023-05-25,ARBUSDT,1.108600,1.115600,1.066100,1.106000,243223407.1
2023-05-26,ARBUSDT,1.106000,1.179800,1.102400,1.157200,433058467.2
2023-05-27,ARBUSDT,1.157200,1.178700,1.150000,1.171400,213457993.9
2023-05-28,ARBUSDT,1.171500,1.260000,1.163900,1.247300,344936142.0
2023-05-29,ARBUSDT,1.247300,1.280000,1.202300,1.225900,344688844.4
2023-05-30,ARBUSDT,1.225800,1.248300,1.205000,1.217400,251474859.7
