Date,Symbol,Open,High,Low,Close,Volume
2021-10-19,ARPAUSDT,0.14761,0.19588,0.14280,0.17176,3482646123
2021-10-20,ARPAUSDT,0.17164,0.17300,0.15850,0.16431,1016441890
2021-10-21,ARPAUSDT,0.16429,0.17000,0.14600,0.14935,542313181
2021-10-22,ARPAUSDT,0.14936,0.15710,0.14402,0.15270,361163320
2021-10-23,ARPAUSDT,0.15273,0.15370,0.14500,0.14769,209356601
2021-10-24,ARPAUSDT,0.14759,0.15158,0.13700,0.14009,288493752
2021-10-25,ARPAUSDT,0.14014,0.15194,0.13922,0.14733,253708265
2021-10-26,ARPAUSDT,0.14733,0.15076,0.14462,0.14599,202541519
2021-10-27,ARPAUSDT,0.14599,0.14866,0.11097,0.12004,360693640
2021-10-28,ARPAUSDT,0.12016,0.12781,0.11495,0.12157,266316194
2021-10-29,ARPAUSDT,0.12162,0.15000,0.11968,0.13594,641307683
2021-10-30,ARPAUSDT,0.13594,0.16260,0.13271,0.14005,707434979
2021-10-31,ARPAUSDT,0.14004,0.15830,0.13445,0.13793,400764852
2021-11-01,ARPAUSDT,0.13797,0.15581,0.13185,0.14424,338520856
2021-11-02,ARPAUSDT,0.14424,0.24300,0.14226,0.19053,1959880463
2021-11-03,ARPAUSDT,0.19053,0.27638,0.18203,0.21086,5093056991
2021-11-04,ARPAUSDT,0.21097,0.24657,0.18721,0.19063,1465215765
2021-11-05,ARPAUSDT,0.19065,0.20960,0.17735,0.18979,614766917
2021-11-06,ARPAUSDT,0.18968,0.21500,0.17960,0.19563,981342537
2021-11-07,ARPAUSDT,0.19564,0.21340,0.19250,0.19498,490881991
2021-11-08,ARPAUSDT,0.19503,0.19527,0.18721,0.18974,203563063
2021-11-09,ARPAUSDT,0.18971,0.20191,0.18769,0.19024,367523931
2021-11-10,ARPAUSDT,0.19025,0.21055,0.16731,0.18165,682192376
2021-11-11,ARPAUSDT,0.18167,0.21122,0.17796,0.19608,629594379
2021-11-12,ARPAUSDT,0.19605,0.23258,0.19173,0.21162,1256591945
2021-11-13,ARPAUSDT,0.21161,0.22708,0.20122,0.20318,397775506
2021-11-14,ARPAUSDT,0.20318,0.20456,0.19603,0.20210,222024693
2021-11-15,ARPAUSDT,0.20215,0.20377,0.19206,0.19333,185408913
2021-11-16,ARPAUSDT,0.19330,0.19336,0.16300,0.17376,329299031
2021-11-17,ARPAUSDT,0.17368,0.17672,0.16758,0.16999,165245946
2021-11-18,ARPAUSDT,0.16995,0.17270,0.14831,0.15019,218679492
2021-11-19,ARPAUSDT,0.15026,0.16784,0.14642,0.16450,187482835
2021-11-20,ARPAUSDT,0.16451,0.16947,0.15875,0.16670,224108136
2021-11-21,ARPAUSDT,0.16670,0.19567,0.16052,0.17166,695461918
2021-11-22,ARPAUSDT,0.17179,0.17688,0.16159,0.16392,365058363
2021-11-23,ARPAUSDT,0.16392,0.17183,0.15730,0.15864,195666044
2021-11-24,ARPAUSDT,0.15866,0.15986,0.14726,0.15172,186876260
2021-11-25,ARPAUSDT,0.15169,0.16958,0.15066,0.15898,476638897
2021-11-26,ARPAUSDT,0.15899,0.15912,0.13000,0.14312,304353294
2021-11-27,ARPAUSDT,0.14308,0.15866,0.14163,0.14710,352016259
2021-11-28,ARPAUSDT,0.14703,0.14856,0.13600,0.14810,197204339
2021-11-29,ARPAUSDT,0.14809,0.15350,0.14466,0.15042,238676054
2021-11-30,ARPAUSDT,0.15046,0.15315,0.14300,0.14453,292381963
2021-12-01,ARPAUSDT,0.14454,0.15994,0.14361,0.15871,346308681
2021-12-02,ARPAUSDT,0.15871,0.15950,0.14341,0.14695,432191466
2021-12-03,ARPAUSDT,0.14701,0.15080,0.12720,0.13646,265304274
2021-12-04,ARPAUSDT,0.13642,0.13656,0.08179,0.11824,463378186
2021-12-05,ARPAUSDT,0.11828,0.12146,0.10506,0.11084,194933357
2021-12-06,ARPAUSDT,0.11081,0.11912,0.09946,0.11324,740130717
2021-12-07,ARPAUSDT,0.11323,0.12111,0.11045,0.11219,249641403
2021-12-08,ARPAUSDT,0.11210,0.11984,0.10676,0.11549,281534783
2021-12-09,ARPAUSDT,0.11552,0.11876,0.10366,0.10419,500555354
2021-12-10,ARPAUSDT,0.10424,0.10872,0.09845,0.09908,194088729
2021-12-11,ARPAUSDT,0.09906,0.10376,0.09670,0.10322,176193815
2021-12-12,ARPAUSDT,0.10325,0.10492,0.10010,0.10335,152390769
2021-12-13,ARPAUSDT,0.10335,0.10411,0.08832,0.09020,195820016
2021-12-14,ARPAUSDT,0.09015,0.09294,0.08724,0.09108,156479567
2021-12-15,ARPAUSDT,0.09106,0.09614,0.08700,0.09437,242004545
2021-12-16,ARPAUSDT,0.09438,0.11700,0.09395,0.10894,968244221
2021-12-17,ARPAUSDT,0.10895,0.11422,0.09490,0.09848,1070634574
2021-12-18,ARPAUSDT,0.09851,0.10147,0.09675,0.09842,186956550
2021-12-19,ARPAUSDT,0.09840,0.10040,0.09437,0.09466,83628694
2021-12-20,ARPAUSDT,0.09462,0.09849,0.08827,0.09490,226566067
2021-12-21,ARPAUSDT,0.09492,0.10189,0.09428,0.09888,239503815
2021-12-22,ARPAUSDT,0.09883,0.10779,0.09790,0.10255,293343906
2021-12-23,ARPAUSDT,0.10254,0.11548,0.10102,0.11150,364533810
2021-12-24,ARPAUSDT,0.11157,0.11344,0.10429,0.10844,221430488
2021-12-25,ARPAUSDT,0.10844,0.11339,0.10760,0.11086,172935793
2021-12-26,ARPAUSDT,0.11086,0.11493,0.10830,0.11304,197613859
