Date,Symbol,Open,High,Low,Close,Volume
2025-01-17,AVAAIUSDT,0.2295700,0.2425000,0.2007000,0.2155000,108457761
2025-01-18,AVAAIUSDT,0.2155000,0.2495000,0.1568800,0.2428800,466532963
2025-01-19,AVAAIUSDT,0.2428800,0.2752000,0.1700000,0.1801100,631982005
2025-01-20,AVAAIUSDT,0.1798200,0.2121400,0.1448400,0.1936500,658297166
2025-01-21,AVAAIUSDT,0.1934500,0.2371200,0.1515600,0.1974200,588880719
2025-01-22,AVAAIUSDT,0.1972900,0.2500000,0.1945000,0.1978400,656583975
2025-01-23,AVAAIUSDT,0.1978800,0.1979600,0.1590500,0.1606100,529155024
2025-01-24,AVAAIUSDT,0.1606100,0.1623000,0.1149000,0.1178300,439886760
2025-01-25,AVAAIUSDT,0.1178300,0.1348900,0.1107000,0.1283700,523345734
2025-01-26,AVAAIUSDT,0.1283200,0.1391100,0.1110600,0.1116700,344160166
2025-01-27,AVAAIUSDT,0.1117100,0.1139800,0.0788500,0.1048300,1026787426
2025-01-28,AVAAIUSDT,0.1048200,0.1063300,0.0733700,0.0766400,569268617
2025-01-29,AVAAIUSDT,0.0766800,0.0938300,0.0714800,0.0809100,704511791
2025-01-30,AVAAIUSDT,0.0809300,0.0827600,0.0676000,0.0676900,563134564
2025-01-31,AVAAIUSDT,0.0677200,0.0767600,0.0600400,0.0660800,658276890
2025-02-01,AVAAIUSDT,0.0661000,0.0696500,0.0481800,0.0487500,689001156
2025-02-02,AVAAIUSDT,0.0487700,0.0536600,0.0425100,0.0526300,964207344
2025-02-03,AVAAIUSDT,0.0526300,0.0603900,0.0387700,0.0555600,1341051650
2025-02-04,AVAAIUSDT,0.0556100,0.0574900,0.0459200,0.0479700,687836096
2025-02-05,AVAAIUSDT,0.0479800,0.0545300,0.0386700,0.0390700,628862396
2025-02-06,AVAAIUSDT,0.0390700,0.0429800,0.0345500,0.0350500,661202229
2025-02-07,AVAAIUSDT,0.0350500,0.0434200,0.0326300,0.0328300,812516229
2025-02-08,AVAAIUSDT,0.0328400,0.0394500,0.0326100,0.0386800,617152191
2025-02-09,AVAAIUSDT,0.0387200,0.0406200,0.0295600,0.0315300,772811463
2025-02-10,AVAAIUSDT,0.0315100,0.0472500,0.0298600,0.0418700,1802912652
2025-02-11,AVAAIUSDT,0.0418800,0.0570800,0.0410300,0.0511400,2720983982
2025-02-12,AVAAIUSDT,0.0511300,0.0679600,0.0470200,0.0655600,1620476779
2025-02-13,AVAAIUSDT,0.0655500,0.0694900,0.0516400,0.0577000,864284948
2025-02-14,AVAAIUSDT,0.0576800,0.0581500,0.0440900,0.0476300,1012520461
2025-02-15,AVAAIUSDT,0.0476300,0.0477000,0.0374000,0.0375500,771463986
2025-02-16,AVAAIUSDT,0.0375700,0.0443400,0.0357400,0.0402100,1211941173
2025-02-17,AVAAIUSDT,0.0402300,0.0428200,0.0333800,0.0352800,908912996
2025-02-18,AVAAIUSDT,0.0352700,0.0361100,0.0289700,0.0329700,725469424
2025-02-19,AVAAIUSDT,0.0329800,0.0344500,0.0301900,0.0320300,643499076
2025-02-20,AVAAIUSDT,0.0320600,0.0410000,0.0315200,0.0399900,1013896444
2025-02-21,AVAAIUSDT,0.0399800,0.0466900,0.0367100,0.0373300,1058157501
2025-02-22,AVAAIUSDT,0.0373300,0.0528900,0.0363000,0.0488000,998682547
2025-02-23,AVAAIUSDT,0.0487900,0.0567300,0.0451600,0.0533700,1309362510
2025-02-24,AVAAIUSDT,0.0533600,0.0569300,0.0457600,0.0517500,1889305954
2025-02-25,AVAAIUSDT,0.0517700,0.0645400,0.0411900,0.0593800,1561919732
2025-02-26,AVAAIUSDT,0.0593900,0.0646300,0.0544700,0.0624400,1341295459
2025-02-27,AVAAIUSDT,0.0624300,0.0627200,0.0500300,0.0504900,790351778
2025-02-28,AVAAIUSDT,0.0505100,0.0586200,0.0482400,0.0521600,732921655
2025-03-01,AVAAIUSDT,0.0521500,0.0528900,0.0398200,0.0403500,611815360
2025-03-02,AVAAIUSDT,0.0403800,0.0570000,0.0398500,0.0554700,965656434
2025-03-03,AVAAIUSDT,0.0554900,0.0618700,0.0527100,0.0540000,1328757492
2025-03-04,AVAAIUSDT,0.0539900,0.0614700,0.0479100,0.0530900,1051367463
2025-03-05,AVAAIUSDT,0.0530800,0.0640500,0.0481300,0.0558200,856843421
2025-03-06,AVAAIUSDT,0.0558400,0.0571800,0.0429200,0.0446300,827846223
2025-03-07,AVAAIUSDT,0.0446500,0.0473300,0.0392700,0.0399900,775699903
2025-03-08,AVAAIUSDT,0.0399900,0.0446900,0.0340100,0.0348900,617346459
2025-03-09,AVAAIUSDT,0.0349100,0.0391700,0.0348600,0.0370000,659520049
2025-03-10,AVAAIUSDT,0.0370200,0.0412600,0.0341000,0.0374300,862334463
2025-03-11,AVAAIUSDT,0.0374400,0.0397000,0.0334700,0.0374000,614215907
2025-03-12,AVAAIUSDT,0.0374200,0.0396200,0.0335400,0.0392000,796768458
2025-03-13,AVAAIUSDT,0.0392100,0.0446800,0.0337500,0.0361600,1176648123
2025-03-14,AVAAIUSDT,0.0361500,0.0416300,0.0346000,0.0385300,1047234490
2025-03-15,AVAAIUSDT,0.0385100,0.0454900,0.0371100,0.0417500,930339578
2025-03-16,AVAAIUSDT,0.0417300,0.0463900,0.0401500,0.0402400,951907219
2025-03-17,AVAAIUSDT,0.0402400,0.0466100,0.0401300,0.0433200,672644223
2025-03-18,AVAAIUSDT,0.0433200,0.0437100,0.0343600,0.0362800,735162215
2025-03-19,AVAAIUSDT,0.0362800,0.0446800,0.0362700,0.0428700,1166073228
2025-03-20,AVAAIUSDT,0.0428700,0.0434200,0.0381500,0.0393700,464546004
2025-03-21,AVAAIUSDT,0.0393800,0.0416800,0.0368500,0.0404200,438365795
