Date,Symbol,Open,High,Low,Close,Volume
2020-07-29,BANDUSDT,3.8400,3.9893,3.7850,3.8950,4345394.5
2020-07-30,BANDUSDT,3.8951,4.2990,3.7396,3.9774,10325679.5
2020-07-31,BANDUSDT,3.9812,4.3832,3.9526,4.2311,13978267.6
2020-08-01,BANDUSDT,4.2334,4.2988,3.9828,4.0093,13942494.3
2020-08-02,BANDUSDT,4.0087,4.1475,3.0598,4.0542,15668046.2
2020-08-03,BANDUSDT,4.0532,4.2489,4.0095,4.2199,13395909.7
2020-08-04,BANDUSDT,4.2219,5.0297,4.1550,4.9405,17102072.9
2020-08-05,BANDUSDT,4.9405,8.3782,4.7909,7.1814,21860421.3
2020-08-06,BANDUSDT,7.1814,8.6491,7.1139,8.0585,22185246.4
2020-08-07,BANDUSDT,8.0585,8.8300,7.4186,8.5657,19272928.0
2020-08-08,BANDUSDT,8.5663,12.5000,8.5010,10.8573,29074581.4
2020-08-09,BANDUSDT,10.8591,15.4000,10.1275,14.9218,28754446.6
2020-08-10,BANDUSDT,14.9200,17.9499,12.8100,14.2795,33546813.5
2020-08-11,BANDUSDT,14.2795,14.9500,11.4000,12.6058,24591459.6
2020-08-12,BANDUSDT,12.6245,15.6955,11.4096,14.7915,24289909.7
2020-08-13,BANDUSDT,14.7837,15.6798,13.0000,14.2504,21974360.2
2020-08-14,BANDUSDT,14.2455,14.9348,13.3818,13.7478,16147975.3
2020-08-15,BANDUSDT,13.7543,15.5422,13.3410,14.6984,16574341.8
2020-08-16,BANDUSDT,14.7066,15.5000,14.3000,14.5196,15898800.5
2020-08-17,BANDUSDT,14.5195,15.4753,13.5000,13.6513,8519945.2
2020-08-18,BANDUSDT,13.6703,14.1061,12.1045,12.7551,6220112.2
2020-08-19,BANDUSDT,12.7443,13.3679,11.2736,12.0155,7856143.9
2020-08-20,BANDUSDT,12.0084,13.0895,11.8011,12.2991,5962891.6
2020-08-21,BANDUSDT,12.2855,12.4547,10.0000,10.3301,7373331.5
2020-08-22,BANDUSDT,10.3390,13.3780,9.6502,12.2613,8571546.7
2020-08-23,BANDUSDT,12.2608,12.5411,11.5000,11.7697,4126892.5
2020-08-24,BANDUSDT,11.7611,12.3166,11.2309,11.7512,2305846.5
2020-08-25,BANDUSDT,11.7562,11.7963,10.2378,11.1130,2801884.2
2020-08-26,BANDUSDT,11.1131,13.6815,10.8948,13.0485,7696737.5
2020-08-27,BANDUSDT,13.0440,14.0820,11.5616,12.1724,7875980.9
