Date,Symbol,Open,High,Low,Close,Volume
2025-04-18,BANKUSDT,0.0400000,0.0588620,0.0400000,0.0480100,1849831846
2025-04-19,BANKUSDT,0.0480000,0.0555500,0.0406010,0.0434800,3674791511
2025-04-20,BANKUSDT,0.0435060,0.0463990,0.0415000,0.0440880,1492204380
2025-04-21,BANKUSDT,0.0440800,0.0537400,0.0417000,0.0466420,1879962304
2025-04-22,BANKUSDT,0.0466420,0.0559720,0.0430060,0.0458020,1386843575
2025-04-23,BANKUSDT,0.0457880,0.0504370,0.0339110,0.0368370,1111151018
2025-04-24,BANKUSDT,0.0368300,0.0376710,0.0311110,0.0353430,872723895
2025-04-25,BANKUSDT,0.0353530,0.0361660,0.0300000,0.0349880,857680213
2025-04-26,BANKUSDT,0.0349890,0.0420000,0.0332470,0.0349500,890555602
2025-04-27,BANKUSDT,0.0349510,0.0363770,0.0311860,0.0358550,527478051
2025-04-28,BANKUSDT,0.0358690,0.0369830,0.0334800,0.0361140,470096970
2025-04-29,BANKUSDT,0.0361120,0.0425990,0.0352140,0.0381590,766512588
2025-04-30,BANKUSDT,0.0381590,0.0406000,0.0335610,0.0364120,372895246
2025-05-01,BANKUSDT,0.0364000,0.0386880,0.0358380,0.0385450,181332973
2025-05-02,BANKUSDT,0.0385360,0.0432000,0.0360410,0.0415430,446418070
2025-05-03,BANKUSDT,0.0415610,0.0432000,0.0393320,0.0409930,441011120
2025-05-04,BANKUSDT,0.0410060,0.0424000,0.0375590,0.0405140,310660855
2025-05-05,BANKUSDT,0.0405210,0.0438220,0.0396000,0.0430090,325366879
2025-05-06,BANKUSDT,0.0430010,0.0443230,0.0390370,0.0424880,306371280
2025-05-07,BANKUSDT,0.0424810,0.0475160,0.0396000,0.0452670,486649018
2025-05-08,BANKUSDT,0.0452670,0.0630930,0.0435230,0.0629370,3260894904
2025-05-09,BANKUSDT,0.0629210,0.0766200,0.0612560,0.0721390,1247752095
2025-05-10,BANKUSDT,0.0721860,0.0768340,0.0618010,0.0721730,510044015
2025-05-11,BANKUSDT,0.0721730,0.0764140,0.0671620,0.0719550,270338545
2025-05-12,BANKUSDT,0.0719770,0.0772960,0.0695850,0.0729690,280241659
2025-05-13,BANKUSDT,0.0729960,0.0800000,0.0717130,0.0767440,277265089
2025-05-14,BANKUSDT,0.0767430,0.0805000,0.0736760,0.0748880,162323496
2025-05-15,BANKUSDT,0.0748890,0.0775500,0.0706890,0.0742370,182180814
2025-05-16,BANKUSDT,0.0742460,0.0751060,0.0704180,0.0721490,119460915
2025-05-17,BANKUSDT,0.0721010,0.0726390,0.0617450,0.0633390,169995804
2025-05-18,BANKUSDT,0.0633040,0.0712270,0.0628980,0.0692600,167793202
2025-05-19,BANKUSDT,0.0692810,0.0700940,0.0662700,0.0688800,85593820
2025-05-20,BANKUSDT,0.0688750,0.0717000,0.0667000,0.0711130,70011909
2025-05-21,BANKUSDT,0.0711040,0.0770000,0.0694880,0.0743250,122033134
2025-05-22,BANKUSDT,0.0743320,0.0880110,0.0738160,0.0876200,263840340
2025-05-23,BANKUSDT,0.0875990,0.0915930,0.0670250,0.0678410,482361642
2025-05-24,BANKUSDT,0.0678630,0.0713180,0.0673020,0.0692690,183482227
2025-05-25,BANKUSDT,0.0692810,0.0700580,0.0672620,0.0694950,70001734
2025-05-26,BANKUSDT,0.0694990,0.0699970,0.0673600,0.0679760,32790591
2025-05-27,BANKUSDT,0.0679940,0.0694920,0.0666140,0.0689530,35905246
2025-05-28,BANKUSDT,0.0689520,0.0695380,0.0653700,0.0665370,38596418
2025-05-29,BANKUSDT,0.0665370,0.0675620,0.0630000,0.0640980,47398743
2025-05-30,BANKUSDT,0.0640760,0.0643300,0.0593860,0.0601350,75022955
2025-05-31,BANKUSDT,0.0601440,0.0647320,0.0592870,0.0624870,129347720
2025-06-01,BANKUSDT,0.0624960,0.0638070,0.0618530,0.0634700,42319257
2025-06-02,BANKUSDT,0.0634610,0.0639380,0.0616920,0.0638570,42037023
2025-06-03,BANKUSDT,0.0638450,0.0738150,0.0637100,0.0718760,218602866
2025-06-04,BANKUSDT,0.0718930,0.0748900,0.0681320,0.0686670,250535588
2025-06-05,BANKUSDT,0.0686760,0.0713160,0.0591060,0.0598230,180077416
2025-06-06,BANKUSDT,0.0598120,0.0627880,0.0572170,0.0577560,85695494
2025-06-07,BANKUSDT,0.0577510,0.0597050,0.0539140,0.0550990,124767663
2025-06-08,BANKUSDT,0.0551240,0.0554560,0.0530000,0.0536580,113303457
2025-06-09,BANKUSDT,0.0536560,0.0569930,0.0532000,0.0563480,53563644
2025-06-10,BANKUSDT,0.0563450,0.0567410,0.0541060,0.0551330,38571830
2025-06-11,BANKUSDT,0.0551410,0.0555140,0.0520000,0.0528760,32929854
2025-06-12,BANKUSDT,0.0528660,0.0544920,0.0491600,0.0522240,204469338
2025-06-13,BANKUSDT,0.0522180,0.0528800,0.0497030,0.0509600,59887475
2025-06-14,BANKUSDT,0.0509570,0.0512390,0.0490000,0.0498940,30084517
2025-06-15,BANKUSDT,0.0498870,0.0511680,0.0491050,0.0497270,29891353
2025-06-16,BANKUSDT,0.0497380,0.0505340,0.0476640,0.0477530,49525494
2025-06-17,BANKUSDT,0.0477590,0.0482350,0.0400240,0.0416090,575657173
2025-06-18,BANKUSDT,0.0416180,0.0437730,0.0394030,0.0431530,219871538
2025-06-19,BANKUSDT,0.0431570,0.0447880,0.0429460,0.0442940,91005504
2025-06-20,BANKUSDT,0.0442840,0.0454430,0.0440060,0.0448990,59691016
2025-06-21,BANKUSDT,0.0448990,0.0450100,0.0432760,0.0440370,36112404
2025-06-22,BANKUSDT,0.0440490,0.0483100,0.0438620,0.0480800,153132259
2025-06-23,BANKUSDT,0.0480830,0.0526690,0.0471780,0.0522560,136701195
2025-06-24,BANKUSDT,0.0522560,0.0523840,0.0478130,0.0483170,56462097
2025-06-25,BANKUSDT,0.0483180,0.0502400,0.0476000,0.0492940,37749963
2025-06-26,BANKUSDT,0.0492810,0.0493030,0.0468640,0.0477470,46837345
2025-06-27,BANKUSDT,0.0477520,0.0526130,0.0474710,0.0519330,127230095
2025-06-28,BANKUSDT,0.0519320,0.0576340,0.0512090,0.0573700,77722225
2025-06-29,BANKUSDT,0.0573730,0.0587140,0.0560790,0.0579150,67797049
2025-06-30,BANKUSDT,0.0579220,0.0598070,0.0550000,0.0570640,57671304
2025-07-01,BANKUSDT,0.0570640,0.0571680,0.0547780,0.0554950,32366180
2025-07-02,BANKUSDT,0.0554920,0.0597740,0.0548290,0.0587010,44174692
2025-07-03,BANKUSDT,0.0587160,0.0708060,0.0584570,0.0698700,271448431
2025-07-04,BANKUSDT,0.0697960,0.0700130,0.0655020,0.0688080,207850162
2025-07-05,BANKUSDT,0.0688060,0.0707740,0.0659250,0.0669240,61970098
2025-07-06,BANKUSDT,0.0669240,0.0709850,0.0641910,0.0689460,97255991
2025-07-07,BANKUSDT,0.0689330,0.0705370,0.0660000,0.0665610,85999980
2025-07-08,BANKUSDT,0.0665570,0.0671580,0.0610690,0.0637170,57174316
2025-07-09,BANKUSDT,0.0637160,0.0659930,0.0589410,0.0631950,100396991
2025-07-10,BANKUSDT,0.0631970,0.0699990,0.0628500,0.0684800,81131509
2025-07-11,BANKUSDT,0.0684320,0.0720000,0.0660060,0.0677760,114307347
2025-07-12,BANKUSDT,0.0677890,0.0690880,0.0641260,0.0667080,46544015
2025-07-13,BANKUSDT,0.0666620,0.0744970,0.0663040,0.0715880,57264939
2025-07-14,BANKUSDT,0.0716490,0.0766690,0.0605810,0.0620880,119695649
2025-07-15,BANKUSDT,0.0620670,0.0626340,0.0523680,0.0584020,362201790
2025-07-16,BANKUSDT,0.0584170,0.0645310,0.0582750,0.0627000,85456142
2025-07-17,BANKUSDT,0.0627010,0.0634710,0.0583530,0.0590160,47502518
