Date,Symbol,Open,High,Low,Close,Volume
2024-11-18,BANUSDT,0.3230000,0.3475000,0.2707000,0.2836000,380839818
2024-11-19,BANUSDT,0.2838000,0.3406000,0.2264000,0.2551000,810345012
2024-11-20,BANUSDT,0.2550000,0.2816000,0.1951000,0.2110000,942268126
2024-11-21,BANUSDT,0.2110000,0.2366000,0.1512000,0.1700000,2097530495
2024-11-22,BANUSDT,0.1699000,0.1741000,0.1311000,0.1373000,1545493361
2024-11-23,BANUSDT,0.1373000,0.1557000,0.1315000,0.1426000,1264765179
2024-11-24,BANUSDT,0.1427000,0.1494000,0.1208000,0.1294000,1025774229
2024-11-25,BANUSDT,0.1293000,0.1449000,0.1197000,0.1265000,1354863105
2024-11-26,BANUSDT,0.1265000,0.1365000,0.1120000,0.1294000,1268844291
2024-11-27,BANUSDT,0.1294000,0.1564000,0.1209000,0.1264000,1748206432
2024-11-28,BANUSDT,0.1263000,0.1343000,0.1206000,0.1305000,813215639
2024-11-29,BANUSDT,0.1305000,0.1484000,0.1279000,0.1427000,1378555302
2024-11-30,BANUSDT,0.1426000,0.1553000,0.1350000,0.1431000,909820302
2024-12-01,BANUSDT,0.1431000,0.1639000,0.1315000,0.1572000,826734341
2024-12-02,BANUSDT,0.1571000,0.1597000,0.1319000,0.1375000,842499251
2024-12-03,BANUSDT,0.1375000,0.1777000,0.1238000,0.1749000,978850379
2024-12-04,BANUSDT,0.1748000,0.1749000,0.1368000,0.1421000,1076902035
2024-12-05,BANUSDT,0.1421000,0.1494000,0.1348000,0.1433000,700316257
2024-12-06,BANUSDT,0.1434000,0.1478000,0.1311000,0.1375000,619326231
2024-12-07,BANUSDT,0.1374000,0.1460000,0.1338000,0.1404000,426537213
2024-12-08,BANUSDT,0.1404000,0.1445000,0.1343000,0.1384000,425245408
2024-12-09,BANUSDT,0.1384000,0.1385000,0.0843000,0.1001000,1533625941
2024-12-10,BANUSDT,0.1000000,0.1015000,0.0774000,0.0873000,2153952446
2024-12-11,BANUSDT,0.0873000,0.0955000,0.0854000,0.0922000,990613917
2024-12-12,BANUSDT,0.0923000,0.0975000,0.0851000,0.0865000,1163554795
2024-12-13,BANUSDT,0.0865000,0.0888000,0.0807000,0.0844000,977927882
2024-12-14,BANUSDT,0.0843000,0.0872000,0.0741000,0.0765000,1130593864
2024-12-15,BANUSDT,0.0765000,0.0821000,0.0706000,0.0790000,1386889931
2024-12-16,BANUSDT,0.0791000,0.0805000,0.0710000,0.0754000,1095895045
2024-12-17,BANUSDT,0.0753000,0.0867000,0.0664000,0.0690000,1986049144
2024-12-18,BANUSDT,0.0690000,0.0691000,0.0539000,0.0562000,2121508698
2024-12-19,BANUSDT,0.0561000,0.0590000,0.0487000,0.0522000,2200463467
2024-12-20,BANUSDT,0.0522000,0.0553000,0.0443000,0.0532000,1804234554
2024-12-21,BANUSDT,0.0533000,0.0553000,0.0446000,0.0456000,1334064550
2024-12-22,BANUSDT,0.0456000,0.0542000,0.0445000,0.0495000,1495672405
2024-12-23,BANUSDT,0.0494000,0.0542000,0.0475000,0.0539000,1711742014
2024-12-24,BANUSDT,0.0538000,0.0539000,0.0487000,0.0517000,1169801509
2024-12-25,BANUSDT,0.0517000,0.0534000,0.0467000,0.0472000,1146239158
2024-12-26,BANUSDT,0.0472000,0.0516000,0.0455000,0.0483000,1633737405
