Date,Symbol,Open,High,Low,Close,Volume
2020-01-01,BCHUSDT,204.72,208.95,202.95,204.44,235950.127
2020-01-02,BCHUSDT,204.45,205.54,192.08,195.73,307659.505
2020-01-03,BCHUSDT,195.60,226.20,192.05,222.31,560968.042
2020-01-04,BCHUSDT,222.31,227.19,219.30,224.37,478534.844
2020-01-05,BCHUSDT,224.24,227.60,220.51,222.68,460171.541
2020-01-06,BCHUSDT,222.73,248.08,222.00,244.10,606014.515
2020-01-07,BCHUSDT,244.12,246.97,231.93,242.32,610964.456
2020-01-08,BCHUSDT,242.36,257.71,230.00,240.17,611483.117
2020-01-09,BCHUSDT,240.17,244.00,231.10,238.03,391595.059
2020-01-10,BCHUSDT,238.08,274.93,231.30,271.71,742149.591
2020-01-11,BCHUSDT,271.76,279.50,258.70,260.84,528805.671
2020-01-12,BCHUSDT,260.71,270.90,258.00,270.77,281476.573
2020-01-13,BCHUSDT,270.83,273.00,260.76,267.00,186010.490
2020-01-14,BCHUSDT,267.09,370.00,267.09,348.76,1266958.607
2020-01-15,BCHUSDT,348.55,362.76,312.50,340.30,970851.111
2020-01-16,BCHUSDT,340.36,343.44,310.20,326.77,565649.502
2020-01-17,BCHUSDT,326.77,384.17,320.00,368.20,696514.180
2020-01-18,BCHUSDT,368.18,408.37,330.46,339.63,761635.300
2020-01-19,BCHUSDT,339.65,366.59,320.15,339.62,475794.155
2020-01-20,BCHUSDT,339.79,353.14,322.97,343.88,252874.107
2020-01-21,BCHUSDT,343.88,348.02,332.41,343.48,169198.735
2020-01-22,BCHUSDT,343.54,355.66,339.50,349.12,152726.096
2020-01-23,BCHUSDT,349.42,350.45,316.64,325.55,274632.367
2020-01-24,BCHUSDT,325.58,329.00,298.63,319.20,455228.488
2020-01-25,BCHUSDT,319.25,319.86,305.00,310.49,230327.872
2020-01-26,BCHUSDT,310.35,349.40,308.00,347.89,369421.713
2020-01-27,BCHUSDT,347.91,377.87,347.79,362.79,550555.005
2020-01-28,BCHUSDT,362.90,385.84,360.80,378.82,421887.574
2020-01-29,BCHUSDT,378.82,396.33,375.96,380.40,364107.695
2020-01-30,BCHUSDT,380.54,400.36,372.00,392.81,402649.383
2020-01-31,BCHUSDT,392.85,395.80,365.09,375.22,331651.593
2020-02-01,BCHUSDT,375.35,390.00,372.89,380.63,279493.713
2020-02-02,BCHUSDT,380.62,387.93,369.70,377.72,282770.450
2020-02-03,BCHUSDT,377.83,393.00,374.97,384.42,270961.085
2020-02-04,BCHUSDT,384.43,389.75,373.20,381.04,254456.491
2020-02-05,BCHUSDT,381.39,446.80,378.86,445.34,645369.242
2020-02-06,BCHUSDT,445.36,449.00,417.12,446.26,514588.788
2020-02-07,BCHUSDT,446.26,460.00,432.95,439.66,451019.061
2020-02-08,BCHUSDT,439.55,455.35,425.70,444.89,396768.958
2020-02-09,BCHUSDT,444.98,462.19,435.60,450.50,330721.988
2020-02-10,BCHUSDT,450.50,463.18,437.01,452.63,376636.508
2020-02-11,BCHUSDT,452.63,470.63,441.66,462.80,396722.184
2020-02-12,BCHUSDT,462.81,483.37,462.81,474.07,363423.370
2020-02-13,BCHUSDT,474.08,487.70,460.24,477.33,361949.703
2020-02-14,BCHUSDT,477.51,498.83,467.06,494.15,325020.080
2020-02-15,BCHUSDT,494.18,496.19,422.22,439.29,458579.253
2020-02-16,BCHUSDT,439.41,458.65,383.00,412.12,591293.630
2020-02-17,BCHUSDT,412.10,417.58,366.73,413.23,893342.982
2020-02-18,BCHUSDT,413.40,427.60,385.00,420.83,427137.061
2020-02-19,BCHUSDT,420.83,424.28,370.00,378.61,350040.476
2020-02-20,BCHUSDT,378.62,388.29,350.00,370.97,439154.845
2020-02-21,BCHUSDT,371.07,388.20,367.40,378.45,345691.019
2020-02-22,BCHUSDT,378.52,380.77,367.57,373.41,240633.654
2020-02-23,BCHUSDT,373.45,404.69,372.87,402.06,288177.606
2020-02-24,BCHUSDT,402.05,408.59,363.17,378.53,454837.177
2020-02-25,BCHUSDT,378.52,380.15,345.76,353.31,445593.556
2020-02-26,BCHUSDT,353.37,362.62,301.86,316.94,977175.513
2020-02-27,BCHUSDT,316.98,335.48,307.60,324.75,432744.158
2020-02-28,BCHUSDT,324.75,329.55,299.10,315.17,429787.170
2020-02-29,BCHUSDT,315.15,322.99,305.70,306.32,250679.229
2020-03-01,BCHUSDT,306.24,325.36,304.32,312.23,378310.586
2020-03-02,BCHUSDT,312.28,343.26,311.11,339.54,368554.643
2020-03-03,BCHUSDT,339.58,339.60,321.34,329.65,362667.561
2020-03-04,BCHUSDT,329.67,332.50,310.32,319.74,236867.475
2020-03-05,BCHUSDT,319.70,344.00,319.70,337.39,352830.629
2020-03-06,BCHUSDT,337.30,352.75,332.37,350.72,346589.385
2020-03-07,BCHUSDT,350.82,351.34,327.23,331.06,309081.100
2020-03-08,BCHUSDT,330.99,331.00,268.06,273.18,743524.158
2020-03-09,BCHUSDT,273.14,280.47,252.18,273.21,879518.391
2020-03-10,BCHUSDT,273.25,278.38,263.06,272.03,383150.681
2020-03-11,BCHUSDT,272.06,275.20,250.40,267.40,408388.849
2020-03-12,BCHUSDT,267.40,268.16,135.94,142.74,1095080.057
2020-03-13,BCHUSDT,142.74,189.35,128.63,177.39,1201190.806
2020-03-14,BCHUSDT,177.39,180.52,164.04,167.38,534244.079
2020-03-15,BCHUSDT,167.33,190.99,165.66,178.34,454298.032
2020-03-16,BCHUSDT,178.26,184.47,146.00,172.41,1099069.819
2020-03-17,BCHUSDT,172.41,188.28,168.79,182.46,740718.950
2020-03-18,BCHUSDT,182.45,186.03,169.00,184.94,550423.000
2020-03-19,BCHUSDT,184.94,234.00,177.90,220.99,808091.106
2020-03-20,BCHUSDT,221.03,247.05,189.14,215.23,1031704.838
2020-03-21,BCHUSDT,215.20,229.27,206.40,220.10,662721.801
2020-03-22,BCHUSDT,220.06,233.45,199.78,202.80,633937.680
2020-03-23,BCHUSDT,202.78,227.80,198.67,221.37,611540.356
2020-03-24,BCHUSDT,221.30,230.87,217.57,227.42,436015.025
2020-03-25,BCHUSDT,227.40,231.17,212.92,220.79,378288.738
2020-03-26,BCHUSDT,220.91,228.74,218.01,227.95,284932.582
2020-03-27,BCHUSDT,227.94,234.00,208.04,213.27,292045.759
2020-03-28,BCHUSDT,213.27,217.45,202.11,213.84,297763.429
2020-03-29,BCHUSDT,213.82,217.51,204.27,205.50,253587.548
2020-03-30,BCHUSDT,205.43,227.04,205.25,220.08,334014.995
2020-03-31,BCHUSDT,220.10,223.91,215.83,218.39,281242.400
2020-04-01,BCHUSDT,218.41,225.00,211.00,223.68,333411.402
2020-04-02,BCHUSDT,223.86,252.16,221.97,232.02,530697.877
2020-04-03,BCHUSDT,232.00,242.19,230.27,236.19,391512.325
2020-04-04,BCHUSDT,236.17,242.62,232.03,238.23,277061.446
2020-04-05,BCHUSDT,238.25,240.09,223.56,231.08,270175.018
2020-04-06,BCHUSDT,231.10,260.68,230.92,258.25,437561.472
2020-04-07,BCHUSDT,258.40,265.88,246.66,252.51,370463.078
2020-04-08,BCHUSDT,252.51,280.15,250.11,267.47,802738.737
2020-04-09,BCHUSDT,267.47,275.00,252.49,256.00,444001.785
2020-04-10,BCHUSDT,256.00,259.19,225.30,232.60,631191.432
2020-04-11,BCHUSDT,232.58,239.90,221.50,232.72,406776.142
2020-04-12,BCHUSDT,232.76,244.69,226.75,232.86,429818.924
2020-04-13,BCHUSDT,232.78,232.79,214.66,223.13,522440.670
2020-04-14,BCHUSDT,223.22,228.25,219.93,223.18,386429.100
2020-04-15,BCHUSDT,223.18,225.32,213.90,215.06,288026.001
2020-04-16,BCHUSDT,215.04,240.00,206.41,235.12,493699.471
2020-04-17,BCHUSDT,235.13,237.15,229.35,232.11,255440.836
2020-04-18,BCHUSDT,232.09,248.00,231.67,243.89,289969.357
2020-04-19,BCHUSDT,243.89,245.21,229.00,231.29,300756.255
2020-04-20,BCHUSDT,231.29,238.78,215.66,219.14,415098.667
2020-04-21,BCHUSDT,219.12,223.91,215.01,219.49,293855.784
2020-04-22,BCHUSDT,219.54,236.37,217.18,233.12,303514.758
2020-04-23,BCHUSDT,233.19,247.48,225.86,237.61,384843.965
2020-04-24,BCHUSDT,237.60,242.70,234.52,238.05,300044.991
2020-04-25,BCHUSDT,238.12,246.11,235.24,238.24,246846.136
2020-04-26,BCHUSDT,238.24,249.78,237.31,246.51,319292.488
2020-04-27,BCHUSDT,246.59,248.27,234.15,242.98,361377.022
2020-04-28,BCHUSDT,242.98,243.33,237.23,241.17,310601.600
2020-04-29,BCHUSDT,241.22,263.66,241.11,258.06,576709.503
2020-04-30,BCHUSDT,258.06,276.00,245.23,250.32,634222.701
2020-05-01,BCHUSDT,250.25,260.59,250.24,255.05,316307.803
2020-05-02,BCHUSDT,255.06,261.49,252.39,261.25,192953.644
2020-05-03,BCHUSDT,261.26,268.33,243.58,251.69,340687.714
2020-05-04,BCHUSDT,251.70,252.69,235.70,245.76,326909.745
2020-05-05,BCHUSDT,245.84,252.61,240.77,247.04,257285.582
2020-05-06,BCHUSDT,247.05,253.73,239.56,241.49,255925.567
2020-05-07,BCHUSDT,241.33,256.96,236.54,252.25,340298.329
2020-05-08,BCHUSDT,252.24,265.92,248.18,260.63,402655.356
2020-05-09,BCHUSDT,260.67,277.70,258.78,265.67,669660.831
2020-05-10,BCHUSDT,265.69,266.09,219.00,232.80,743279.086
2020-05-11,BCHUSDT,232.75,238.25,216.20,235.18,603401.946
2020-05-12,BCHUSDT,235.21,239.25,228.30,233.21,330126.667
2020-05-13,BCHUSDT,233.19,242.00,231.60,239.36,208091.550
2020-05-14,BCHUSDT,239.29,245.89,233.57,242.50,282862.101
2020-05-15,BCHUSDT,242.53,243.37,230.98,235.17,223848.019
2020-05-16,BCHUSDT,235.09,240.86,233.56,236.42,212431.154
2020-05-17,BCHUSDT,236.41,246.10,235.56,240.75,187187.000
2020-05-18,BCHUSDT,240.77,255.91,240.24,248.58,310328.917
2020-05-19,BCHUSDT,248.58,250.95,242.53,246.82,248688.749
2020-05-20,BCHUSDT,246.86,247.82,234.38,239.81,271830.081
2020-05-21,BCHUSDT,239.83,243.00,220.46,228.10,329694.611
2020-05-22,BCHUSDT,228.13,236.64,224.87,234.65,226763.006
2020-05-23,BCHUSDT,234.65,239.95,231.96,233.99,167097.418
2020-05-24,BCHUSDT,234.06,237.58,222.22,222.91,207444.322
2020-05-25,BCHUSDT,222.94,233.36,220.75,230.56,176426.234
2020-05-26,BCHUSDT,230.56,231.31,223.83,227.95,159133.929
2020-05-27,BCHUSDT,227.98,234.57,227.02,232.81,149318.986
2020-05-28,BCHUSDT,232.85,241.09,229.02,239.92,180429.950
2020-05-29,BCHUSDT,239.92,244.10,234.06,238.50,194918.642
2020-05-30,BCHUSDT,238.50,254.15,236.28,252.56,302165.714
2020-05-31,BCHUSDT,252.62,252.86,236.22,238.78,283118.369
2020-06-01,BCHUSDT,238.78,255.42,237.66,253.64,324293.536
2020-06-02,BCHUSDT,253.64,277.50,240.74,251.04,686115.665
2020-06-03,BCHUSDT,251.08,254.35,246.37,253.49,288750.590
2020-06-04,BCHUSDT,253.49,261.20,247.21,256.37,409764.164
2020-06-05,BCHUSDT,256.37,263.61,254.50,256.30,374398.298
2020-06-06,BCHUSDT,256.24,258.80,251.00,253.33,228956.211
2020-06-07,BCHUSDT,253.33,255.98,245.44,253.64,268526.338
2020-06-08,BCHUSDT,253.64,256.85,251.50,255.47,189088.968
2020-06-09,BCHUSDT,255.47,257.34,249.48,254.14,205466.409
