Date,Symbol,Open,High,Low,Close,Volume
2020-02-10,BNBUSDT,25.070,25.907,24.031,25.189,1405091.86
2020-02-11,BNBUSDT,25.190,25.864,24.250,25.705,1783061.99
2020-02-12,BNBUSDT,25.705,26.980,25.347,26.451,1311285.47
2020-02-13,BNBUSDT,26.452,27.397,24.580,25.456,1451755.42
2020-02-14,BNBUSDT,25.455,26.697,25.043,26.384,1271237.03
2020-02-15,BNBUSDT,26.373,26.600,23.250,24.239,1601280.92
2020-02-16,BNBUSDT,24.225,25.302,21.780,23.389,1775025.82
2020-02-17,BNBUSDT,23.355,23.623,21.519,23.452,2036473.78
2020-02-18,BNBUSDT,23.462,24.519,22.726,24.094,1293664.26
2020-02-19,BNBUSDT,24.107,24.392,21.391,22.367,1411342.31
2020-02-20,BNBUSDT,22.362,22.723,21.000,22.191,1244980.04
2020-02-21,BNBUSDT,22.172,22.933,21.815,22.209,972969.37
2020-02-22,BNBUSDT,22.221,22.374,21.510,22.008,736112.42
2020-02-23,BNBUSDT,22.007,22.997,21.977,22.868,1007250.63
2020-02-24,BNBUSDT,22.871,23.288,21.512,22.110,1270055.15
2020-02-25,BNBUSDT,22.111,22.130,20.139,20.340,1444417.18
2020-02-26,BNBUSDT,20.345,20.547,17.870,18.729,2294044.51
2020-02-27,BNBUSDT,18.723,19.635,17.701,19.154,1684886.46
2020-02-28,BNBUSDT,19.150,19.755,17.920,19.001,1718113.47
2020-02-29,BNBUSDT,19.001,20.300,18.802,19.257,1734548.17
2020-03-01,BNBUSDT,19.250,19.913,18.500,18.900,2131016.51
2020-03-02,BNBUSDT,18.909,20.051,18.768,19.900,1782168.95
2020-03-03,BNBUSDT,19.901,20.382,19.330,19.685,1607025.05
2020-03-04,BNBUSDT,19.684,20.273,19.540,19.969,1399024.21
2020-03-05,BNBUSDT,19.969,21.472,19.965,20.754,1955491.71
2020-03-06,BNBUSDT,20.750,21.770,20.692,21.379,1659669.26
2020-03-07,BNBUSDT,21.379,21.500,19.778,20.269,1393981.18
2020-03-08,BNBUSDT,20.270,20.270,16.715,16.897,2287497.85
2020-03-09,BNBUSDT,16.886,17.465,15.628,16.589,3446761.01
2020-03-10,BNBUSDT,16.603,17.450,16.289,16.850,2417921.41
2020-03-11,BNBUSDT,16.868,17.129,15.423,16.591,2157510.13
