Date,Symbol,Open,High,Low,Close,Volume
2023-08-10,BNTUSDT,0.5720000,0.6386000,0.5439000,0.6186000,426444081
2023-08-11,BNTUSDT,0.6184000,0.6346000,0.4720000,0.5502000,468416046
2023-08-12,BNTUSDT,0.5501000,0.5570000,0.5152000,0.5225000,77057224
2023-08-13,BNTUSDT,0.5225000,0.5349000,0.4844000,0.4889000,54982270
2023-08-14,BNTUSDT,0.4889000,0.5068000,0.4686000,0.4851000,44911525
2023-08-15,BNTUSDT,0.4850000,0.4871000,0.4104000,0.4345000,40062663
2023-08-16,BNTUSDT,0.4342000,0.4708000,0.4229000,0.4533000,92325330
2023-08-17,BNTUSDT,0.4534000,0.4634000,0.3451000,0.3992000,100068265
2023-08-18,BNTUSDT,0.3995000,0.4205000,0.3937000,0.4136000,39584438
2023-08-19,BNTUSDT,0.4134000,0.4239000,0.4050000,0.4068000,16703133
2023-08-20,BNTUSDT,0.4067000,0.4140000,0.4026000,0.4056000,16223312
2023-08-21,BNTUSDT,0.4053000,0.4237000,0.3960000,0.4179000,28963484
2023-08-22,BNTUSDT,0.4179000,0.4863000,0.4003000,0.4313000,184197433
2023-08-23,BNTUSDT,0.4312000,0.4415000,0.4196000,0.4367000,28268569
2023-08-24,BNTUSDT,0.4367000,0.4393000,0.4100000,0.4162000,12889629
2023-08-25,BNTUSDT,0.4161000,0.4164000,0.4030000,0.4085000,11868706
2023-08-26,BNTUSDT,0.4085000,0.4148000,0.4047000,0.4064000,5796360
2023-08-27,BNTUSDT,0.4064000,0.4130000,0.4015000,0.4069000,5413380
2023-08-28,BNTUSDT,0.4068000,0.4225000,0.4011000,0.4094000,17243462
2023-08-29,BNTUSDT,0.4093000,0.4460000,0.4090000,0.4372000,50879546
2023-08-30,BNTUSDT,0.4371000,0.4378000,0.4226000,0.4283000,8033056
2023-08-31,BNTUSDT,0.4283000,0.4326000,0.4085000,0.4172000,7254576
2023-09-01,BNTUSDT,0.4171000,0.4247000,0.4060000,0.4129000,6516908
2023-09-02,BNTUSDT,0.4130000,0.4210000,0.4091000,0.4164000,5508800
2023-09-03,BNTUSDT,0.4164000,0.4675000,0.4159000,0.4280000,57943603
2023-09-04,BNTUSDT,0.4280000,0.4389000,0.4130000,0.4230000,16871743
2023-09-05,BNTUSDT,0.4227000,0.4307000,0.4172000,0.4255000,8194041
2023-09-06,BNTUSDT,0.4255000,0.4477000,0.4225000,0.4397000,29648691
2023-09-07,BNTUSDT,0.4396000,0.4406000,0.4209000,0.4379000,12065330
2023-09-08,BNTUSDT,0.4377000,0.4409000,0.4201000,0.4316000,8611276
2023-09-09,BNTUSDT,0.4317000,0.4358000,0.4167000,0.4243000,7602480
2023-09-10,BNTUSDT,0.4243000,0.4252000,0.3936000,0.4042000,9765844
2023-09-11,BNTUSDT,0.4040000,0.4063000,0.3777000,0.3889000,9806746
2023-09-12,BNTUSDT,0.3889000,0.4011000,0.3849000,0.3878000,6559154
2023-09-13,BNTUSDT,0.3879000,0.4039000,0.3839000,0.3892000,8019321
2023-09-14,BNTUSDT,0.3892000,0.3991000,0.3869000,0.3935000,9495059
2023-09-15,BNTUSDT,0.3934000,0.4527000,0.3904000,0.4443000,110011940
2023-09-16,BNTUSDT,0.4440000,0.4635000,0.4147000,0.4307000,55107722
2023-09-17,BNTUSDT,0.4307000,0.4312000,0.4007000,0.4039000,19791988
2023-09-18,BNTUSDT,0.4039000,0.4233000,0.4003000,0.4033000,20880634
2023-09-19,BNTUSDT,0.4032000,0.4185000,0.4023000,0.4145000,17992814
2023-09-20,BNTUSDT,0.4144000,0.4184000,0.4033000,0.4134000,6055836
2023-09-21,BNTUSDT,0.4135000,0.4171000,0.3962000,0.3981000,7310175
2023-09-22,BNTUSDT,0.3980000,0.4073000,0.3935000,0.4048000,6583028
2023-09-23,BNTUSDT,0.4049000,0.4080000,0.3962000,0.4033000,4291043
2023-09-24,BNTUSDT,0.4032000,0.4033000,0.3881000,0.3910000,5702557
2023-09-25,BNTUSDT,0.3909000,0.4044000,0.3874000,0.3985000,17370847
2023-09-26,BNTUSDT,0.3986000,0.4029000,0.3909000,0.3969000,7256492
2023-09-27,BNTUSDT,0.3969000,0.4030000,0.3908000,0.3949000,5660826
2023-09-28,BNTUSDT,0.3948000,0.4071000,0.3942000,0.4050000,5074297
2023-09-29,BNTUSDT,0.4050000,0.4160000,0.3971000,0.4086000,7058192
2023-09-30,BNTUSDT,0.4086000,0.4166000,0.4052000,0.4148000,5076226
2023-10-01,BNTUSDT,0.4148000,0.4278000,0.4090000,0.4230000,8871203
2023-10-02,BNTUSDT,0.4232000,0.4243000,0.3934000,0.3996000,6806219
2023-10-03,BNTUSDT,0.3996000,0.4050000,0.3936000,0.3962000,4495661
2023-10-04,BNTUSDT,0.3962000,0.3984000,0.3820000,0.3948000,5876753
2023-10-05,BNTUSDT,0.3947000,0.3973000,0.3885000,0.3900000,3431203
2023-10-06,BNTUSDT,0.3901000,0.4005000,0.3873000,0.3964000,6673777
2023-10-07,BNTUSDT,0.3966000,0.4006000,0.3913000,0.3940000,3636284
2023-10-08,BNTUSDT,0.3939000,0.6077000,0.3936000,0.5914000,2745141599
2023-10-09,BNTUSDT,0.5911000,0.6275000,0.4930000,0.5313000,2611102690
2023-10-10,BNTUSDT,0.5313000,0.5418000,0.4900000,0.5003000,640257817
2023-10-11,BNTUSDT,0.5002000,0.5875000,0.4822000,0.5392000,1154647781
2023-10-12,BNTUSDT,0.5391000,0.5523000,0.5005000,0.5063000,444127734
2023-10-13,BNTUSDT,0.5063000,0.5194000,0.4806000,0.5059000,235241100
2023-10-14,BNTUSDT,0.5060000,0.5178000,0.4934000,0.4966000,136613558
2023-10-15,BNTUSDT,0.4966000,0.5869000,0.4963000,0.5556000,370449698
2023-10-16,BNTUSDT,0.5556000,0.5925000,0.5425000,0.5706000,185175115
2023-10-17,BNTUSDT,0.5706000,0.6251000,0.5593000,0.5679000,228204746
2023-10-18,BNTUSDT,0.5679000,0.6579000,0.5475000,0.5614000,391121033
2023-10-19,BNTUSDT,0.5614000,0.6078000,0.5305000,0.5860000,217540901
2023-10-20,BNTUSDT,0.5859000,0.6232000,0.5418000,0.5548000,186562679
2023-10-21,BNTUSDT,0.5547000,0.5591000,0.5429000,0.5459000,77510574
2023-10-22,BNTUSDT,0.5459000,0.5651000,0.5411000,0.5580000,57979240
2023-10-23,BNTUSDT,0.5580000,0.5917000,0.5448000,0.5775000,57658443
2023-10-24,BNTUSDT,0.5776000,0.6437000,0.5400000,0.5674000,158820639
2023-10-25,BNTUSDT,0.5675000,0.5826000,0.5360000,0.5522000,92222177
2023-10-26,BNTUSDT,0.5521000,0.5596000,0.5109000,0.5332000,58996044
2023-10-27,BNTUSDT,0.5332000,0.5481000,0.5136000,0.5283000,34567111
2023-10-28,BNTUSDT,0.5284000,0.5465000,0.5272000,0.5392000,21951563
