Date,Symbol,Open,High,Low,Close,Volume
2023-02-20,CFXUSDT,0.3213000,0.3338000,0.2579000,0.3263000,495219547
2023-02-21,CFXUSDT,0.3263000,0.3700000,0.2909000,0.3293000,1256382600
2023-02-22,CFXUSDT,0.3294000,0.3300000,0.2661000,0.2829000,850946306
2023-02-23,CFXUSDT,0.2829000,0.3210000,0.2746000,0.3034000,965234361
2023-02-24,CFXUSDT,0.3033000,0.3160000,0.2225000,0.2401000,1347342427
2023-02-25,CFXUSDT,0.2402000,0.2486000,0.2060000,0.2314000,1450693925
2023-02-26,CFXUSDT,0.2314000,0.2485000,0.2120000,0.2360000,1080845457
2023-02-27,CFXUSDT,0.2361000,0.2450000,0.2153000,0.2255000,961322320
2023-02-28,CFXUSDT,0.2254000,0.2264000,0.1869000,0.1954000,1121086749
2023-03-01,CFXUSDT,0.1954000,0.2567000,0.1925000,0.2393000,2755218891
2023-03-02,CFXUSDT,0.2393000,0.2396000,0.2122000,0.2271000,1752546849
2023-03-03,CFXUSDT,0.2272000,0.2272000,0.1850000,0.1949000,1528998577
2023-03-04,CFXUSDT,0.1950000,0.1985000,0.1712000,0.1803000,1296454547
2023-03-05,CFXUSDT,0.1803000,0.2141000,0.1776000,0.1993000,2827753703
2023-03-06,CFXUSDT,0.1993000,0.2082000,0.1952000,0.1992000,2304486801
2023-03-07,CFXUSDT,0.1992000,0.2250000,0.1904000,0.2196000,2353511581
2023-03-08,CFXUSDT,0.2196000,0.2235000,0.1832000,0.1886000,2842719741
2023-03-09,CFXUSDT,0.1886000,0.1996000,0.1550000,0.1670000,2918508791
2023-03-10,CFXUSDT,0.1670000,0.1714000,0.1470000,0.1599000,3284703418
2023-03-11,CFXUSDT,0.1599000,0.1640000,0.1323000,0.1467000,2914315071
2023-03-12,CFXUSDT,0.1466000,0.1848000,0.1408000,0.1834000,2615763011
2023-03-13,CFXUSDT,0.1833000,0.2775000,0.1827000,0.2586000,9176703587
2023-03-14,CFXUSDT,0.2585000,0.3364000,0.2401000,0.3003000,9554416146
2023-03-15,CFXUSDT,0.3003000,0.3678000,0.2468000,0.2739000,9207545736
2023-03-16,CFXUSDT,0.2738000,0.3088000,0.2612000,0.2922000,5459452292
2023-03-17,CFXUSDT,0.2922000,0.3995000,0.2822000,0.3955000,7390642708
2023-03-18,CFXUSDT,0.3955000,0.4355000,0.3639000,0.3766000,6390632390
2023-03-19,CFXUSDT,0.3765000,0.4888000,0.3724000,0.4554000,5633282118
2023-03-20,CFXUSDT,0.4554000,0.4640000,0.3900000,0.3983000,4804983612
2023-03-21,CFXUSDT,0.3983000,0.4484000,0.3812000,0.4082000,4127948838
2023-03-22,CFXUSDT,0.4081000,0.4256000,0.3617000,0.3748000,3629138074
2023-03-23,CFXUSDT,0.3748000,0.3989000,0.3575000,0.3785000,2810108161
