Date,Symbol,Open,High,Low,Close,Volume
2024-08-29,CHESSUSDT,0.2225000,0.2263000,0.1856000,0.1913000,473576358
2024-08-30,CHESSUSDT,0.1914000,0.1998000,0.1747000,0.1813000,357024650
2024-08-31,CHESSUSDT,0.1813000,0.1858000,0.1679000,0.1694000,181258756
2024-09-01,CHESSUSDT,0.1695000,0.1713000,0.1555000,0.1574000,180495723
2024-09-02,CHESSUSDT,0.1573000,0.1784000,0.1571000,0.1710000,164460377
2024-09-03,CHESSUSDT,0.1709000,0.1770000,0.1604000,0.1645000,157579273
2024-09-04,CHESSUSDT,0.1644000,0.1653000,0.1480000,0.1550000,194979609
2024-09-05,CHESSUSDT,0.1551000,0.1561000,0.1440000,0.1464000,107978855
2024-09-06,CHESSUSDT,0.1464000,0.1530000,0.1385000,0.1442000,115551729
2024-09-07,CHESSUSDT,0.1441000,0.1517000,0.1418000,0.1488000,44387307
2024-09-08,CHESSUSDT,0.1489000,0.1567000,0.1460000,0.1506000,50351280
2024-09-09,CHESSUSDT,0.1506000,0.1549000,0.1484000,0.1532000,37136145
2024-09-10,CHESSUSDT,0.1533000,0.1569000,0.1502000,0.1551000,32510843
2024-09-11,CHESSUSDT,0.1550000,0.1553000,0.1404000,0.1471000,47609762
2024-09-12,CHESSUSDT,0.1470000,0.1551000,0.1460000,0.1547000,37621793
2024-09-13,CHESSUSDT,0.1546000,0.1750000,0.1513000,0.1728000,381441623
2024-09-14,CHESSUSDT,0.1728000,0.1789000,0.1612000,0.1621000,176893002
2024-09-15,CHESSUSDT,0.1621000,0.1653000,0.1550000,0.1566000,67722224
2024-09-16,CHESSUSDT,0.1566000,0.1578000,0.1434000,0.1448000,76469459
2024-09-17,CHESSUSDT,0.1449000,0.1554000,0.1429000,0.1536000,52698389
2024-09-18,CHESSUSDT,0.1537000,0.1608000,0.1501000,0.1607000,96367575
2024-09-19,CHESSUSDT,0.1607000,0.1678000,0.1588000,0.1652000,56868750
2024-09-20,CHESSUSDT,0.1652000,0.1726000,0.1633000,0.1709000,39770185
2024-09-21,CHESSUSDT,0.1709000,0.1743000,0.1628000,0.1735000,37060391
2024-09-22,CHESSUSDT,0.1736000,0.1742000,0.1575000,0.1627000,50117862
2024-09-23,CHESSUSDT,0.1627000,0.1709000,0.1581000,0.1664000,44601066
2024-09-24,CHESSUSDT,0.1665000,0.1744000,0.1620000,0.1726000,65786899
2024-09-25,CHESSUSDT,0.1725000,0.1735000,0.1666000,0.1676000,33766465
2024-09-26,CHESSUSDT,0.1677000,0.1718000,0.1617000,0.1701000,40745506
2024-09-27,CHESSUSDT,0.1700000,0.1799000,0.1689000,0.1791000,53296197
2024-09-28,CHESSUSDT,0.1791000,0.1812000,0.1630000,0.1667000,47032456
2024-09-29,CHESSUSDT,0.1667000,0.1681000,0.1566000,0.1610000,44442279
2024-09-30,CHESSUSDT,0.1610000,0.1615000,0.1460000,0.1474000,58617179
2024-10-01,CHESSUSDT,0.1473000,0.1546000,0.1259000,0.1278000,140678847
2024-10-02,CHESSUSDT,0.1278000,0.1356000,0.1215000,0.1257000,82801851
2024-10-03,CHESSUSDT,0.1256000,0.1303000,0.1217000,0.1298000,54627227
2024-10-04,CHESSUSDT,0.1299000,0.1387000,0.1295000,0.1360000,116191094
2024-10-05,CHESSUSDT,0.1360000,0.1376000,0.1302000,0.1328000,29802557
2024-10-06,CHESSUSDT,0.1327000,0.1394000,0.1321000,0.1392000,26067594
2024-10-07,CHESSUSDT,0.1393000,0.1418000,0.1358000,0.1372000,30952715
2024-10-08,CHESSUSDT,0.1373000,0.1395000,0.1341000,0.1362000,27437825
2024-10-09,CHESSUSDT,0.1361000,0.1387000,0.1306000,0.1330000,21169581
2024-10-10,CHESSUSDT,0.1331000,0.1365000,0.1301000,0.1355000,19874826
2024-10-11,CHESSUSDT,0.1354000,0.1410000,0.1349000,0.1406000,20401655
2024-10-12,CHESSUSDT,0.1408000,0.1438000,0.1396000,0.1423000,10901826
2024-10-13,CHESSUSDT,0.1424000,0.1434000,0.1353000,0.1402000,13353258
2024-10-14,CHESSUSDT,0.1403000,0.1473000,0.1393000,0.1461000,19773599
2024-10-15,CHESSUSDT,0.1461000,0.1475000,0.1376000,0.1418000,31030395
2024-10-16,CHESSUSDT,0.1418000,0.1421000,0.1323000,0.1339000,18899372
2024-10-17,CHESSUSDT,0.1338000,0.1354000,0.1284000,0.1310000,23315986
2024-10-18,CHESSUSDT,0.1310000,0.1378000,0.1305000,0.1368000,15965307
2024-10-19,CHESSUSDT,0.1368000,0.1398000,0.1338000,0.1363000,9457033
2024-10-20,CHESSUSDT,0.1363000,0.1454000,0.1340000,0.1453000,24470086
2024-10-21,CHESSUSDT,0.1453000,0.1619000,0.1412000,0.1567000,314289782
2024-10-22,CHESSUSDT,0.1567000,0.1863000,0.1479000,0.1609000,1100318876
2024-10-23,CHESSUSDT,0.1608000,0.1741000,0.1513000,0.1608000,432420534
2024-10-24,CHESSUSDT,0.1607000,0.1693000,0.1535000,0.1656000,156998837
2024-10-25,CHESSUSDT,0.1656000,0.1674000,0.1436000,0.1502000,122469676
2024-10-26,CHESSUSDT,0.1502000,0.1534000,0.1409000,0.1474000,67880233
2024-10-27,CHESSUSDT,0.1473000,0.1526000,0.1455000,0.1509000,29278238
2024-10-28,CHESSUSDT,0.1509000,0.1526000,0.1414000,0.1497000,44558291
2024-10-29,CHESSUSDT,0.1497000,0.1597000,0.1492000,0.1589000,48396484
2024-10-30,CHESSUSDT,0.1589000,0.1610000,0.1525000,0.1558000,43512313
2024-10-31,CHESSUSDT,0.1558000,0.1564000,0.1484000,0.1498000,26589097
2024-11-01,CHESSUSDT,0.1498000,0.1522000,0.1417000,0.1443000,32262711
2024-11-02,CHESSUSDT,0.1444000,0.1480000,0.1417000,0.1456000,23486052
2024-11-03,CHESSUSDT,0.1456000,0.1463000,0.1308000,0.1358000,50405702
2024-11-04,CHESSUSDT,0.1359000,0.1394000,0.1254000,0.1297000,42467770
2024-11-05,CHESSUSDT,0.1297000,0.1389000,0.1295000,0.1371000,28898591
