Date,Symbol,Open,High,Low,Close,Volume
2023-02-28,CKBUSDT,0.0051270,0.0058680,0.0051200,0.0053150,8617787048
2023-03-01,CKBUSDT,0.0053160,0.0057490,0.0051080,0.0053400,6247962518
2023-03-02,CKBUSDT,0.0053410,0.0054100,0.0049130,0.0050940,2301635860
2023-03-03,CKBUSDT,0.0050910,0.0051260,0.0043660,0.0046560,1922519102
2023-03-04,CKBUSDT,0.0046600,0.0048340,0.0044000,0.0044960,1179123961
2023-03-05,CKBUSDT,0.0044940,0.0046300,0.0044380,0.0044700,1071285898
2023-03-06,CKBUSDT,0.0044700,0.0045040,0.0043010,0.0044810,942112980
2023-03-07,CKBUSDT,0.0044800,0.0046550,0.0041040,0.0042170,1795158454
2023-03-08,CKBUSDT,0.0042170,0.0042360,0.0038020,0.0039100,1356531337
2023-03-09,CKBUSDT,0.0039090,0.0041600,0.0036290,0.0036770,1623672825
2023-03-10,CKBUSDT,0.0036790,0.0037100,0.0033140,0.0036870,2082281226
2023-03-11,CKBUSDT,0.0036860,0.0037710,0.0033320,0.0035270,1276208113
2023-03-12,CKBUSDT,0.0035260,0.0038390,0.0034100,0.0038360,1369341023
2023-03-13,CKBUSDT,0.0038360,0.0042130,0.0037890,0.0040690,4983276485
2023-03-14,CKBUSDT,0.0040660,0.0048940,0.0040260,0.0047150,4065530382
2023-03-15,CKBUSDT,0.0047130,0.0049030,0.0039900,0.0041000,3504107988
2023-03-16,CKBUSDT,0.0041030,0.0043020,0.0040330,0.0042210,1939639208
2023-03-17,CKBUSDT,0.0042210,0.0046310,0.0041510,0.0046000,1942119440
2023-03-18,CKBUSDT,0.0045990,0.0048550,0.0042480,0.0043400,2447848839
2023-03-19,CKBUSDT,0.0043380,0.0049000,0.0042750,0.0046150,3349652342
2023-03-20,CKBUSDT,0.0046150,0.0056300,0.0043790,0.0052870,32962849325
2023-03-21,CKBUSDT,0.0052850,0.0061880,0.0048400,0.0057260,35976033097
2023-03-22,CKBUSDT,0.0057250,0.0061190,0.0054310,0.0058640,16772310301
2023-03-23,CKBUSDT,0.0058650,0.0067670,0.0056050,0.0064480,18259070198
2023-03-24,CKBUSDT,0.0064490,0.0067480,0.0053210,0.0055160,11737824405
2023-03-25,CKBUSDT,0.0055190,0.0056990,0.0052160,0.0053320,7767388024
2023-03-26,CKBUSDT,0.0053310,0.0053340,0.0050160,0.0051280,6130183760
2023-03-27,CKBUSDT,0.0051310,0.0051360,0.0046900,0.0048060,7031016417
2023-03-28,CKBUSDT,0.0048060,0.0050230,0.0045680,0.0049790,6193837325
2023-03-29,CKBUSDT,0.0049780,0.0054460,0.0048990,0.0053600,6785590908
2023-03-30,CKBUSDT,0.0053590,0.0054600,0.0048330,0.0049100,3949505577
2023-03-31,CKBUSDT,0.0049090,0.0050590,0.0047620,0.0049630,3058642390
2023-04-01,CKBUSDT,0.0049630,0.0050500,0.0047300,0.0048450,1661173104
2023-04-02,CKBUSDT,0.0048460,0.0048700,0.0045410,0.0046960,1897865164
2023-04-03,CKBUSDT,0.0046960,0.0048970,0.0045000,0.0048540,4225745533
2023-04-04,CKBUSDT,0.0048540,0.0048950,0.0046360,0.0048090,2042094168
2023-04-05,CKBUSDT,0.0048070,0.0048780,0.0045450,0.0046680,2345774919
2023-04-06,CKBUSDT,0.0046680,0.0046830,0.0044650,0.0045380,1740993657
2023-04-07,CKBUSDT,0.0045400,0.0045700,0.0043510,0.0044160,1578475778
2023-04-08,CKBUSDT,0.0044160,0.0045890,0.0042280,0.0042650,3125761207
2023-04-09,CKBUSDT,0.0042660,0.0043270,0.0040870,0.0042240,2016344352
2023-04-10,CKBUSDT,0.0042250,0.0045120,0.0040840,0.0044520,3181706253
2023-04-11,CKBUSDT,0.0044520,0.0045310,0.0043160,0.0043470,3103093748
2023-04-12,CKBUSDT,0.0043480,0.0044070,0.0041310,0.0043760,2929390535
2023-04-13,CKBUSDT,0.0043740,0.0044510,0.0042570,0.0044440,2056377294
2023-04-14,CKBUSDT,0.0044430,0.0046860,0.0043010,0.0046010,2903545481
2023-04-15,CKBUSDT,0.0046010,0.0046270,0.0044460,0.0045650,2147082087
2023-04-16,CKBUSDT,0.0045670,0.0048700,0.0044770,0.0048040,3642108028
2023-04-17,CKBUSDT,0.0048040,0.0048910,0.0044700,0.0046120,2697287463
2023-04-18,CKBUSDT,0.0046120,0.0047870,0.0045500,0.0047750,2262766592
2023-04-19,CKBUSDT,0.0047770,0.0047770,0.0041610,0.0042690,2974526411
2023-04-20,CKBUSDT,0.0042680,0.0043250,0.0040010,0.0040760,2535612559
2023-04-21,CKBUSDT,0.0040760,0.0041140,0.0036820,0.0038040,2612734340
2023-04-22,CKBUSDT,0.0038040,0.0039020,0.0037580,0.0038980,1190444613
2023-04-23,CKBUSDT,0.0038980,0.0038980,0.0036720,0.0038150,1485816760
2023-04-24,CKBUSDT,0.0038140,0.0039030,0.0036740,0.0038300,1529998513
2023-04-25,CKBUSDT,0.0038290,0.0039180,0.0035680,0.0039130,2060525898
2023-04-26,CKBUSDT,0.0039130,0.0040460,0.0035820,0.0038380,3040308554
2023-04-27,CKBUSDT,0.0038370,0.0043520,0.0037160,0.0041820,11470131300
2023-04-28,CKBUSDT,0.0041810,0.0042320,0.0039740,0.0040910,7148106477
2023-04-29,CKBUSDT,0.0040910,0.0042390,0.0040560,0.0042100,3883148442
2023-04-30,CKBUSDT,0.0042100,0.0042110,0.0039750,0.0039810,2173830533
2023-05-01,CKBUSDT,0.0039810,0.0040620,0.0037830,0.0038500,2714204973
2023-05-02,CKBUSDT,0.0038500,0.0039840,0.0037920,0.0039770,1573759318
2023-05-03,CKBUSDT,0.0039770,0.0039770,0.0035340,0.0037740,4150061519
2023-05-04,CKBUSDT,0.0037740,0.0038280,0.0036050,0.0036470,2198214294
2023-05-05,CKBUSDT,0.0036470,0.0037690,0.0035350,0.0037600,1823906622
2023-05-06,CKBUSDT,0.0037600,0.0037810,0.0034500,0.0035630,2927645479
2023-05-07,CKBUSDT,0.0035630,0.0036260,0.0034550,0.0035830,2760300738
2023-05-08,CKBUSDT,0.0035830,0.0036230,0.0029610,0.0030670,6224514200
2023-05-09,CKBUSDT,0.0030670,0.0033110,0.0030580,0.0032570,4896263189
2023-05-10,CKBUSDT,0.0032570,0.0036090,0.0031780,0.0034180,8693294384
2023-05-11,CKBUSDT,0.0034180,0.0034240,0.0030290,0.0031170,3177550237
2023-05-12,CKBUSDT,0.0031170,0.0031800,0.0029360,0.0031760,2996459372
2023-05-13,CKBUSDT,0.0031770,0.0031900,0.0030700,0.0031200,1757667237
