Date,Symbol,Open,High,Low,Close,Volume
2025-07-23,CVXUSDT,5.104000,5.104000,4.401000,4.756000,7188561.6
2025-07-24,CVXUSDT,4.757000,5.451000,4.503000,4.837000,7923308.9
2025-07-25,CVXUSDT,4.837000,5.403000,4.680000,5.230000,6356873.7
2025-07-26,CVXUSDT,5.232000,6.087000,5.219000,5.918000,8688419.2
2025-07-27,CVXUSDT,5.920000,6.141000,5.610000,5.657000,5036805.9
2025-07-28,CVXUSDT,5.656000,5.657000,5.197000,5.322000,2676989.0
2025-07-29,CVXUSDT,5.324000,5.329000,4.420000,4.480000,4642069.3
2025-07-30,CVXUSDT,4.479000,4.681000,4.009000,4.659000,6657547.1
2025-07-31,CVXUSDT,4.657000,4.836000,4.143000,4.156000,4847757.1
2025-08-01,CVXUSDT,4.155000,4.348000,3.893000,4.017000,4240892.6
2025-08-02,CVXUSDT,4.017000,4.056000,3.695000,3.807000,2263712.9
2025-08-03,CVXUSDT,3.806000,4.177000,3.700000,4.142000,2584973.8
2025-08-04,CVXUSDT,4.140000,4.593000,4.106000,4.544000,5632424.2
2025-08-05,CVXUSDT,4.544000,4.547000,4.083000,4.194000,1984941.6
2025-08-06,CVXUSDT,4.196000,4.445000,4.034000,4.346000,1875665.5
2025-08-07,CVXUSDT,4.345000,4.587000,4.257000,4.582000,1965519.3
2025-08-08,CVXUSDT,4.582000,4.662000,4.315000,4.471000,1912240.6
2025-08-09,CVXUSDT,4.473000,4.800000,4.466000,4.596000,1989428.8
2025-08-10,CVXUSDT,4.595000,4.681000,4.369000,4.471000,1528876.3
2025-08-11,CVXUSDT,4.471000,4.739000,4.177000,4.227000,1891709.8
2025-08-12,CVXUSDT,4.228000,4.655000,4.147000,4.513000,1666057.9
2025-08-13,CVXUSDT,4.512000,4.904000,4.483000,4.600000,2565083.6
2025-08-14,CVXUSDT,4.601000,4.661000,4.042000,4.138000,2268979.6
2025-08-15,CVXUSDT,4.138000,4.280000,3.913000,4.138000,1447079.0
2025-08-16,CVXUSDT,4.135000,4.236000,4.090000,4.179000,737927.7
2025-08-17,CVXUSDT,4.180000,4.358000,4.107000,4.185000,941748.9
2025-08-18,CVXUSDT,4.185000,4.192000,3.930000,4.072000,1281944.4
2025-08-19,CVXUSDT,4.073000,4.137000,3.936000,3.982000,287337.1
