Date,Symbol,Open,High,Low,Close,Volume
2020-08-28,DEFIUSDT,1012.0,1189.0,964.1,1018.8,72469.488
2020-08-29,DEFIUSDT,1017.5,1096.5,1015.0,1056.0,51097.047
2020-08-30,DEFIUSDT,1056.0,1120.0,1056.0,1085.2,49511.952
2020-08-31,DEFIUSDT,1085.0,1095.2,1050.4,1061.2,36092.462
2020-09-01,DEFIUSDT,1062.5,1125.8,1035.7,1080.7,48126.384
2020-09-02,DEFIUSDT,1081.1,1093.9,930.0,992.7,63481.975
2020-09-03,DEFIUSDT,993.1,1005.2,742.5,788.5,84816.530
2020-09-04,DEFIUSDT,788.4,853.5,743.9,833.3,72577.928
2020-09-05,DEFIUSDT,833.3,857.2,615.6,690.5,77342.905
2020-09-06,DEFIUSDT,691.8,800.4,623.2,773.4,71609.026
2020-09-07,DEFIUSDT,774.7,788.6,670.9,758.2,67038.494
2020-09-08,DEFIUSDT,758.2,769.3,685.9,716.0,56557.758
2020-09-09,DEFIUSDT,716.0,799.1,693.8,780.8,44378.724
2020-09-10,DEFIUSDT,780.8,837.3,779.9,805.2,65225.038
2020-09-11,DEFIUSDT,805.6,825.6,764.7,823.3,63569.778
2020-09-12,DEFIUSDT,823.3,891.4,806.2,888.7,64325.705
2020-09-13,DEFIUSDT,889.4,889.7,766.7,808.0,59410.489
2020-09-14,DEFIUSDT,808.2,837.0,772.1,814.3,55174.025
2020-09-15,DEFIUSDT,813.5,823.2,714.3,719.3,57182.013
2020-09-16,DEFIUSDT,718.7,728.0,675.9,708.5,59846.765
2020-09-17,DEFIUSDT,708.3,753.0,674.9,704.8,35735.719
2020-09-18,DEFIUSDT,704.4,725.1,665.0,684.8,19463.278
2020-09-19,DEFIUSDT,684.7,692.0,665.0,686.4,17871.663
2020-09-20,DEFIUSDT,686.0,696.2,625.5,642.2,16742.955
2020-09-21,DEFIUSDT,642.6,649.8,527.3,556.0,38330.820
2020-09-22,DEFIUSDT,556.2,586.5,541.8,578.5,19131.311
2020-09-23,DEFIUSDT,578.0,584.6,504.7,511.4,27858.071
2020-09-24,DEFIUSDT,511.4,591.0,502.1,589.5,26842.085
2020-09-25,DEFIUSDT,589.8,638.3,558.0,616.4,23234.688
2020-09-26,DEFIUSDT,616.5,644.0,605.5,641.6,19582.526
2020-09-27,DEFIUSDT,640.6,655.5,602.3,640.9,18298.345
2020-09-28,DEFIUSDT,641.0,654.1,602.6,612.1,17615.447
2020-09-29,DEFIUSDT,611.3,619.6,572.9,603.8,18271.231
2020-09-30,DEFIUSDT,604.4,606.2,568.2,597.0,13926.830
2020-10-01,DEFIUSDT,597.4,627.5,540.7,587.4,25745.061
2020-10-02,DEFIUSDT,586.8,593.2,509.1,546.0,32860.039
2020-10-03,DEFIUSDT,546.1,560.8,533.7,535.6,11797.975
2020-10-04,DEFIUSDT,535.1,540.0,508.9,530.5,17941.563
2020-10-05,DEFIUSDT,530.5,540.8,510.2,518.8,19204.320
2020-10-06,DEFIUSDT,518.9,520.7,447.1,451.4,27665.228
2020-10-07,DEFIUSDT,451.4,463.4,422.5,462.0,19519.025
2020-10-08,DEFIUSDT,462.3,510.0,423.7,501.9,28013.854
2020-10-09,DEFIUSDT,502.7,555.1,486.2,546.2,28325.453
2020-10-10,DEFIUSDT,545.4,573.0,528.0,534.6,21949.911
2020-10-11,DEFIUSDT,533.8,559.0,515.8,547.6,19382.760
2020-10-12,DEFIUSDT,547.6,584.4,534.0,564.8,23643.447
2020-10-13,DEFIUSDT,564.3,573.4,538.0,549.3,13856.546
2020-10-14,DEFIUSDT,549.4,558.4,510.9,526.4,15406.552
2020-10-15,DEFIUSDT,526.3,530.8,501.0,518.7,15503.605
2020-10-16,DEFIUSDT,518.4,520.8,487.7,492.4,14044.751
2020-10-17,DEFIUSDT,492.7,506.7,482.1,503.8,7849.168
2020-10-18,DEFIUSDT,503.4,527.0,500.9,526.1,5607.808
2020-10-19,DEFIUSDT,526.6,529.0,500.4,503.2,9511.260
2020-10-20,DEFIUSDT,502.8,503.3,456.8,462.4,15260.632
