Date,Symbol,Open,High,Low,Close,Volume
2024-10-02,DIAUSDT,0.8207000,0.8545000,0.6691000,0.6727000,48130404
2024-10-03,DIAUSDT,0.6727000,0.6896000,0.5750000,0.5958000,97467166
2024-10-04,DIAUSDT,0.5958000,0.8300000,0.5705000,0.7841000,299070914
2024-10-05,DIAUSDT,0.7841000,0.9061000,0.7650000,0.8448000,692412001
2024-10-06,DIAUSDT,0.8448000,0.8639000,0.7901000,0.8001000,253826087
2024-10-07,DIAUSDT,0.8003000,0.8424000,0.7264000,0.7351000,169380660
2024-10-08,DIAUSDT,0.7351000,0.8199000,0.7097000,0.7616000,152980308
2024-10-09,DIAUSDT,0.7613000,0.7831000,0.6700000,0.6990000,81464485
2024-10-10,DIAUSDT,0.6990000,0.8575000,0.6944000,0.7920000,239115527
2024-10-11,DIAUSDT,0.7918000,0.8211000,0.7452000,0.7888000,199072417
2024-10-12,DIAUSDT,0.7889000,0.8466000,0.7866000,0.7969000,82004969
2024-10-13,DIAUSDT,0.7970000,0.8110000,0.7456000,0.7686000,43528647
2024-10-14,DIAUSDT,0.7686000,0.8550000,0.7591000,0.8259000,56484693
2024-10-15,DIAUSDT,0.8259000,0.8288000,0.7482000,0.7625000,41791311
2024-10-16,DIAUSDT,0.7625000,0.8116000,0.7234000,0.7695000,38538780
2024-10-17,DIAUSDT,0.7696000,1.2380000,0.7575000,1.0945000,848881559
2024-10-18,DIAUSDT,1.0946000,1.1650000,0.9406000,0.9992000,720993238
2024-10-19,DIAUSDT,0.9992000,1.1959000,0.9839000,1.1483000,461640482
2024-10-20,DIAUSDT,1.1483000,1.3400000,1.1314000,1.1403000,569476515
2024-10-21,DIAUSDT,1.1402000,1.1893000,1.0900000,1.1119000,177143001
2024-10-22,DIAUSDT,1.1118000,1.1417000,1.0450000,1.0596000,81721224
2024-10-23,DIAUSDT,1.0596000,1.2656000,1.0267000,1.1740000,318896950
2024-10-24,DIAUSDT,1.1744000,1.2195000,1.0921000,1.1016000,167538768
2024-10-25,DIAUSDT,1.1015000,1.1658000,0.9883000,1.0308000,150584020
2024-10-26,DIAUSDT,1.0307000,1.0625000,1.0000000,1.0201000,55247057
2024-10-27,DIAUSDT,1.0201000,1.0372000,0.9829000,1.0219000,45544194
2024-10-28,DIAUSDT,1.0219000,1.0234000,0.9287000,0.9848000,51572146
2024-10-29,DIAUSDT,0.9849000,1.0262000,0.9680000,1.0095000,38208811
2024-10-30,DIAUSDT,1.0094000,1.0584000,0.9366000,0.9473000,55130491
2024-10-31,DIAUSDT,0.9470000,0.9484000,0.8781000,0.8964000,40505846
2024-11-01,DIAUSDT,0.8963000,0.9380000,0.8598000,0.8823000,40560202
2024-11-02,DIAUSDT,0.8821000,0.8928000,0.8535000,0.8690000,16364100
2024-11-03,DIAUSDT,0.8688000,0.8819000,0.7665000,0.8072000,35999357
2024-11-04,DIAUSDT,0.8074000,0.8222000,0.7483000,0.7796000,26532642
2024-11-05,DIAUSDT,0.7795000,0.8934000,0.7761000,0.8174000,39651502
2024-11-06,DIAUSDT,0.8174000,0.9209000,0.8064000,0.8987000,61607432
2024-11-07,DIAUSDT,0.8987000,0.9389000,0.8788000,0.8907000,51181012
2024-11-08,DIAUSDT,0.8907000,0.8996000,0.8294000,0.8840000,29394329
2024-11-09,DIAUSDT,0.8840000,0.9175000,0.8465000,0.8857000,22171273
2024-11-10,DIAUSDT,0.8856000,0.9648000,0.8515000,0.9070000,44290803
2024-11-11,DIAUSDT,0.9073000,0.9519000,0.8702000,0.9146000,30617026
2024-11-12,DIAUSDT,0.9145000,0.9244000,0.7639000,0.8024000,54391836
2024-11-13,DIAUSDT,0.8024000,0.8127000,0.7044000,0.7346000,53553990
2024-11-14,DIAUSDT,0.7349000,0.7788000,0.7164000,0.7337000,39122606
2024-11-15,DIAUSDT,0.7341000,0.7564000,0.7000000,0.7543000,22585653
2024-11-16,DIAUSDT,0.7543000,0.7709000,0.7336000,0.7585000,16993836
2024-11-17,DIAUSDT,0.7585000,0.7648000,0.7077000,0.7228000,19204624
2024-11-18,DIAUSDT,0.7228000,0.7614000,0.7176000,0.7576000,18396114
2024-11-19,DIAUSDT,0.7572000,0.7579000,0.7022000,0.7234000,14334654
2024-11-20,DIAUSDT,0.7231000,0.7233000,0.6628000,0.6751000,16446637
2024-11-21,DIAUSDT,0.6751000,0.7572000,0.6558000,0.7463000,19415079
2024-11-22,DIAUSDT,0.7464000,0.7554000,0.6986000,0.7421000,13409989
2024-11-23,DIAUSDT,0.7422000,0.8231000,0.7350000,0.8033000,25821131
2024-11-24,DIAUSDT,0.8034000,0.8449000,0.7525000,0.8398000,23003396
2024-11-25,DIAUSDT,0.8400000,0.8453000,0.7740000,0.8254000,22573400
2024-11-26,DIAUSDT,0.8254000,0.8497000,0.7247000,0.8085000,27640810
2024-11-27,DIAUSDT,0.8087000,0.8515000,0.7865000,0.8385000,21810663
2024-11-28,DIAUSDT,0.8386000,0.8445000,0.7796000,0.8202000,18311256
2024-11-29,DIAUSDT,0.8202000,0.8667000,0.8023000,0.8449000,15674103
2024-11-30,DIAUSDT,0.8447000,0.8948000,0.8175000,0.8860000,13361175
2024-12-01,DIAUSDT,0.8862000,0.9124000,0.8600000,0.8700000,14749358
2024-12-02,DIAUSDT,0.8700000,0.9393000,0.8092000,0.9367000,29386670
2024-12-03,DIAUSDT,0.9367000,0.9941000,0.8884000,0.9807000,32509219
2024-12-04,DIAUSDT,0.9811000,1.0236000,0.9528000,0.9833000,25604499
2024-12-05,DIAUSDT,0.9836000,1.0193000,0.9276000,0.9847000,27182642
2024-12-06,DIAUSDT,0.9849000,1.0320000,0.9678000,1.0017000,18772115
2024-12-07,DIAUSDT,1.0018000,1.0102000,0.9554000,0.9625000,11148329
2024-12-08,DIAUSDT,0.9626000,1.0163000,0.9415000,1.0061000,11047764
2024-12-09,DIAUSDT,1.0062000,1.0067000,0.7182000,0.8004000,32537566
2024-12-10,DIAUSDT,0.8003000,0.8330000,0.7269000,0.8015000,28826864
2024-12-11,DIAUSDT,0.8015000,0.8728000,0.7673000,0.8616000,16171309
2024-12-12,DIAUSDT,0.8616000,0.9681000,0.8519000,0.8998000,26305320
2024-12-13,DIAUSDT,0.8998000,0.9130000,0.8585000,0.8852000,10297031
2024-12-14,DIAUSDT,0.8852000,0.8982000,0.8040000,0.8193000,7907365
2024-12-15,DIAUSDT,0.8192000,0.8566000,0.7891000,0.8530000,8843245
2024-12-16,DIAUSDT,0.8531000,0.8869000,0.7646000,0.7982000,36915572
2024-12-17,DIAUSDT,0.7982000,0.8016000,0.7431000,0.7496000,12455633
2024-12-18,DIAUSDT,0.7496000,0.7581000,0.6717000,0.6933000,16224391
2024-12-19,DIAUSDT,0.6932000,0.7204000,0.6297000,0.6548000,22583668
2024-12-20,DIAUSDT,0.6548000,0.6928000,0.5726000,0.6786000,25327963
2024-12-21,DIAUSDT,0.6787000,0.7254000,0.6434000,0.6545000,14358738
2024-12-22,DIAUSDT,0.6545000,0.6879000,0.6372000,0.6634000,12058883
2024-12-23,DIAUSDT,0.6635000,0.7184000,0.6307000,0.6997000,51634666
2024-12-24,DIAUSDT,0.6996000,0.7757000,0.6812000,0.7462000,12129834
2024-12-25,DIAUSDT,0.7461000,0.7601000,0.7237000,0.7378000,7457262
2024-12-26,DIAUSDT,0.7379000,0.7468000,0.6851000,0.6990000,9719972
2024-12-27,DIAUSDT,0.6992000,0.7260000,0.6847000,0.7042000,10765590
2024-12-28,DIAUSDT,0.7043000,0.7862000,0.7000000,0.7443000,26462003
2024-12-29,DIAUSDT,0.7443000,0.7466000,0.6938000,0.7015000,7404626
2024-12-30,DIAUSDT,0.7014000,0.7585000,0.6800000,0.7157000,18629088
2024-12-31,DIAUSDT,0.7158000,0.7397000,0.6833000,0.7008000,9536296
2025-01-01,DIAUSDT,0.7008000,0.7229000,0.6803000,0.7183000,6151454
2025-01-02,DIAUSDT,0.7184000,0.7683000,0.7183000,0.7426000,7298898
2025-01-03,DIAUSDT,0.7428000,0.7874000,0.7357000,0.7790000,7158536
2025-01-04,DIAUSDT,0.7793000,0.7995000,0.7669000,0.7893000,4048884
2025-01-05,DIAUSDT,0.7893000,0.7905000,0.7698000,0.7833000,3820088
2025-01-06,DIAUSDT,0.7834000,0.8236000,0.7625000,0.7975000,7733006
2025-01-07,DIAUSDT,0.7975000,0.7985000,0.7085000,0.7093000,7394539
2025-01-08,DIAUSDT,0.7091000,0.7195000,0.6427000,0.6820000,9300365
2025-01-09,DIAUSDT,0.6821000,0.6941000,0.6402000,0.6555000,6650918
2025-01-10,DIAUSDT,0.6554000,0.6808000,0.6432000,0.6726000,5295612
2025-01-11,DIAUSDT,0.6725000,0.6805000,0.6556000,0.6697000,2574194
2025-01-12,DIAUSDT,0.6696000,0.6773000,0.6579000,0.6652000,3154658
2025-01-13,DIAUSDT,0.6653000,0.6833000,0.5995000,0.6543000,13567093
2025-01-14,DIAUSDT,0.6543000,0.7036000,0.6528000,0.7006000,5199711
2025-01-15,DIAUSDT,0.7006000,0.7366000,0.6785000,0.7318000,6735442
2025-01-16,DIAUSDT,0.7319000,0.7359000,0.6865000,0.7015000,9121798
2025-01-17,DIAUSDT,0.7017000,0.7423000,0.7004000,0.7312000,7194594
2025-01-18,DIAUSDT,0.7312000,0.7395000,0.6709000,0.6891000,9038924
2025-01-19,DIAUSDT,0.6891000,0.7048000,0.6161000,0.6273000,14693924
2025-01-20,DIAUSDT,0.6270000,0.6766000,0.5885000,0.6067000,17537445
2025-01-21,DIAUSDT,0.6066000,0.6266000,0.5743000,0.6204000,10308733
2025-01-22,DIAUSDT,0.6202000,0.6267000,0.5960000,0.6002000,4669529
2025-01-23,DIAUSDT,0.6003000,0.6101000,0.5786000,0.6054000,6896363
2025-01-24,DIAUSDT,0.6054000,0.6182000,0.5749000,0.5870000,5805097
2025-01-25,DIAUSDT,0.5871000,0.6010000,0.5754000,0.5957000,4261453
2025-01-26,DIAUSDT,0.5957000,0.6305000,0.5914000,0.5959000,5369451
2025-01-27,DIAUSDT,0.5959000,0.5961000,0.5278000,0.5795000,8615094
2025-01-28,DIAUSDT,0.5794000,0.5898000,0.5467000,0.5513000,4496565
2025-01-29,DIAUSDT,0.5514000,0.5837000,0.5471000,0.5615000,4891826
2025-01-30,DIAUSDT,0.5616000,0.5996000,0.5542000,0.5935000,4812170
2025-01-31,DIAUSDT,0.5936000,0.6181000,0.5834000,0.5896000,8348479
2025-02-01,DIAUSDT,0.5896000,0.5969000,0.5258000,0.5308000,3922186
2025-02-02,DIAUSDT,0.5307000,0.5410000,0.4414000,0.4647000,11704427
2025-02-03,DIAUSDT,0.4648000,0.4868000,0.3548000,0.4817000,32415987
2025-02-04,DIAUSDT,0.4817000,0.4997000,0.4468000,0.4594000,21962736
2025-02-05,DIAUSDT,0.4596000,0.4668000,0.4414000,0.4494000,8636683
2025-02-06,DIAUSDT,0.4492000,0.4574000,0.4159000,0.4198000,6993558
2025-02-07,DIAUSDT,0.4198000,0.4598000,0.4163000,0.4284000,6040065
2025-02-08,DIAUSDT,0.4286000,0.4757000,0.4259000,0.4689000,4746049
2025-02-09,DIAUSDT,0.4689000,0.4915000,0.4462000,0.4675000,6257486
2025-02-10,DIAUSDT,0.4674000,0.4853000,0.4495000,0.4811000,4508229
2025-02-11,DIAUSDT,0.4811000,0.5067000,0.4700000,0.4803000,4824940
2025-02-12,DIAUSDT,0.4804000,0.5384000,0.4672000,0.5312000,11681388
2025-02-13,DIAUSDT,0.5312000,0.5518000,0.4960000,0.5107000,7476552
2025-02-14,DIAUSDT,0.5106000,0.5246000,0.5005000,0.5193000,4312673
2025-02-15,DIAUSDT,0.5193000,0.5383000,0.5126000,0.5177000,7535910
2025-02-16,DIAUSDT,0.5176000,0.5345000,0.5055000,0.5189000,4538771
2025-02-17,DIAUSDT,0.5188000,0.5422000,0.5023000,0.5092000,3999875
2025-02-18,DIAUSDT,0.5090000,0.5112000,0.4751000,0.4984000,5961415
2025-02-19,DIAUSDT,0.4984000,0.5190000,0.4904000,0.5089000,4266348
2025-02-20,DIAUSDT,0.5087000,0.5321000,0.5034000,0.5234000,3835361
2025-02-21,DIAUSDT,0.5234000,0.5656000,0.5170000,0.5220000,9997962
2025-02-22,DIAUSDT,0.5220000,0.5561000,0.5196000,0.5510000,3942283
2025-02-23,DIAUSDT,0.5515000,0.5785000,0.5355000,0.5449000,5719831
2025-02-24,DIAUSDT,0.5449000,0.5450000,0.4582000,0.4720000,7529450
2025-02-25,DIAUSDT,0.4719000,0.4784000,0.4292000,0.4720000,8744868
2025-02-26,DIAUSDT,0.4721000,0.4854000,0.4412000,0.4666000,6320338
2025-02-27,DIAUSDT,0.4667000,0.4920000,0.4584000,0.4809000,4481339
2025-02-28,DIAUSDT,0.4810000,0.4830000,0.4417000,0.4798000,6131550
2025-03-01,DIAUSDT,0.4799000,0.4821000,0.4565000,0.4694000,2533649
2025-03-02,DIAUSDT,0.4695000,0.5237000,0.4624000,0.5200000,7500390
2025-03-03,DIAUSDT,0.5199000,0.5220000,0.4479000,0.4530000,6840878
2025-03-04,DIAUSDT,0.4529000,0.4549000,0.3956000,0.4274000,9543449
2025-03-05,DIAUSDT,0.4276000,0.4673000,0.4172000,0.4626000,9952920
