Date,Symbol,Open,High,Low,Close,Volume
2020-09-14,EGLDUSDT,13.294,15.213,12.700,13.978,372653.0
2020-09-15,EGLDUSDT,13.997,15.039,12.837,13.066,590234.6
2020-09-16,EGLDUSDT,13.040,13.047,11.830,12.584,295253.6
2020-09-17,EGLDUSDT,12.578,12.880,11.740,12.044,233613.2
2020-09-18,EGLDUSDT,12.061,12.308,10.874,11.233,224249.0
2020-09-19,EGLDUSDT,11.231,12.241,11.182,11.950,254928.5
2020-09-20,EGLDUSDT,11.932,12.098,10.038,10.700,334757.6
2020-09-21,EGLDUSDT,10.709,10.937,8.417,8.822,526027.3
2020-09-22,EGLDUSDT,8.824,9.083,8.430,8.715,368538.0
2020-09-23,EGLDUSDT,8.717,9.419,8.241,8.720,591995.8
2020-09-24,EGLDUSDT,8.718,9.250,8.647,9.195,411925.0
2020-09-25,EGLDUSDT,9.208,10.100,9.084,9.923,394922.1
2020-09-26,EGLDUSDT,9.935,10.577,9.866,10.391,343473.4
2020-09-27,EGLDUSDT,10.404,10.503,9.631,10.033,242198.4
2020-09-28,EGLDUSDT,10.038,10.561,9.832,10.001,297396.2
2020-09-29,EGLDUSDT,9.985,10.358,9.925,10.285,248005.5
2020-09-30,EGLDUSDT,10.287,10.629,10.064,10.369,376314.1
2020-10-01,EGLDUSDT,10.365,10.966,9.987,10.300,504918.5
2020-10-02,EGLDUSDT,10.298,10.322,8.930,9.405,377393.0
2020-10-03,EGLDUSDT,9.414,9.568,9.008,9.080,200851.6
2020-10-04,EGLDUSDT,9.075,9.303,8.860,9.034,231046.1
2020-10-05,EGLDUSDT,9.037,9.119,8.070,8.446,472232.8
2020-10-06,EGLDUSDT,8.452,8.487,6.844,6.916,642663.6
2020-10-07,EGLDUSDT,6.923,7.731,6.453,7.724,564308.7
2020-10-08,EGLDUSDT,7.729,7.740,6.970,7.487,555477.5
2020-10-09,EGLDUSDT,7.476,8.150,7.304,7.903,663225.4
2020-10-10,EGLDUSDT,7.901,8.140,7.701,7.774,343405.7
2020-10-11,EGLDUSDT,7.772,8.219,7.542,8.185,386731.2
2020-10-12,EGLDUSDT,8.187,8.236,7.796,8.023,414411.9
2020-10-13,EGLDUSDT,8.031,8.174,7.844,7.946,287922.4
2020-10-14,EGLDUSDT,7.950,8.190,7.722,7.981,334847.1
2020-10-15,EGLDUSDT,7.986,7.992,7.680,7.868,247158.0
2020-10-16,EGLDUSDT,7.867,7.886,7.183,7.365,299553.9
2020-10-17,EGLDUSDT,7.356,7.643,7.328,7.617,256377.9
2020-10-18,EGLDUSDT,7.615,7.705,7.479,7.590,158669.9
2020-10-19,EGLDUSDT,7.579,7.595,7.240,7.301,201546.7
2020-10-20,EGLDUSDT,7.301,7.334,6.483,7.017,561343.5
2020-10-21,EGLDUSDT,7.014,7.446,7.013,7.430,493334.8
2020-10-22,EGLDUSDT,7.428,7.827,7.303,7.702,247905.7
2020-10-23,EGLDUSDT,7.704,8.820,7.640,8.791,1328635.6
2020-10-24,EGLDUSDT,8.776,9.551,8.584,8.758,2114657.2
2020-10-25,EGLDUSDT,8.758,9.646,8.265,9.255,1199687.2
2020-10-26,EGLDUSDT,9.251,9.531,8.420,8.626,881719.2
2020-10-27,EGLDUSDT,8.622,8.796,8.352,8.592,626005.6
2020-10-28,EGLDUSDT,8.598,8.711,7.719,7.858,752813.2
2020-10-29,EGLDUSDT,7.853,8.044,7.070,7.385,626505.2
2020-10-30,EGLDUSDT,7.395,7.719,7.191,7.635,597569.3
2020-10-31,EGLDUSDT,7.625,7.682,7.187,7.339,369465.1
2020-11-01,EGLDUSDT,7.333,7.836,7.262,7.687,378367.2
2020-11-02,EGLDUSDT,7.687,7.779,7.254,7.312,432219.1
2020-11-03,EGLDUSDT,7.311,7.442,7.157,7.267,407380.1
2020-11-04,EGLDUSDT,7.271,7.298,6.973,7.175,459074.2
2020-11-05,EGLDUSDT,7.179,7.545,6.996,7.384,480045.2
2020-11-06,EGLDUSDT,7.383,8.457,7.373,8.394,709359.5
2020-11-07,EGLDUSDT,8.399,8.621,7.560,7.861,1228849.4
2020-11-08,EGLDUSDT,7.859,8.436,7.759,8.347,608079.5
2020-11-09,EGLDUSDT,8.350,8.439,7.928,8.136,508516.5
2020-11-10,EGLDUSDT,8.140,8.700,8.069,8.603,620843.5
2020-11-11,EGLDUSDT,8.607,8.839,7.780,7.804,666478.8
2020-11-12,EGLDUSDT,7.797,7.895,7.377,7.506,367901.9
2020-11-13,EGLDUSDT,7.512,7.879,7.477,7.797,364806.0
2020-11-14,EGLDUSDT,7.792,7.810,7.305,7.486,416160.7
2020-11-15,EGLDUSDT,7.500,7.753,7.383,7.597,438803.6
2020-11-16,EGLDUSDT,7.589,7.944,7.509,7.729,483996.9
2020-11-17,EGLDUSDT,7.722,8.025,7.689,7.887,641055.9
2020-11-18,EGLDUSDT,7.888,7.967,7.103,7.494,718971.4
2020-11-19,EGLDUSDT,7.500,7.706,7.245,7.618,475746.1
2020-11-20,EGLDUSDT,7.618,8.057,7.502,7.647,518117.8
2020-11-21,EGLDUSDT,7.648,8.536,7.605,8.277,1139165.0
