Date,Symbol,Open,High,Low,Close,Volume
2025-07-29,ESPORTSUSDT,0.1668000,0.2538000,0.1116000,0.1262000,1141600756
2025-07-30,ESPORTSUSDT,0.1262000,0.1678000,0.1056000,0.1436000,853991411
2025-07-31,ESPORTSUSDT,0.1434000,0.1650000,0.1266000,0.1303000,1893745860
2025-08-01,ESPORTSUSDT,0.1304000,0.1360000,0.1164000,0.1212000,366832603
2025-08-02,ESPORTSUSDT,0.1212000,0.1392000,0.1092000,0.1132000,376780305
2025-08-03,ESPORTSUSDT,0.1132000,0.1604000,0.1090000,0.1470000,634758965
2025-08-04,ESPORTSUSDT,0.1469000,0.1950000,0.1162000,0.1201000,1527270786
2025-08-05,ESPORTSUSDT,0.1201000,0.1426000,0.1135000,0.1379000,650501917
2025-08-06,ESPORTSUSDT,0.1378000,0.1460000,0.1240000,0.1264000,318502317
2025-08-07,ESPORTSUSDT,0.1264000,0.1503000,0.1195000,0.1482000,281947746
2025-08-08,ESPORTSUSDT,0.1481000,0.1787000,0.1142000,0.1397000,427496062
2025-08-09,ESPORTSUSDT,0.1398000,0.1455000,0.1320000,0.1377000,176433799
2025-08-10,ESPORTSUSDT,0.1377000,0.1548000,0.1360000,0.1405000,229926326
2025-08-11,ESPORTSUSDT,0.1406000,0.1477000,0.1306000,0.1319000,134639644
2025-08-12,ESPORTSUSDT,0.1319000,0.1363000,0.1245000,0.1264000,93650347
2025-08-13,ESPORTSUSDT,0.1264000,0.1273000,0.1182000,0.1219000,135923332
2025-08-14,ESPORTSUSDT,0.1219000,0.1220000,0.0944000,0.1057000,150562507
2025-08-15,ESPORTSUSDT,0.1056000,0.1123000,0.1013000,0.1036000,87318268
2025-08-16,ESPORTSUSDT,0.1036000,0.1071000,0.1006000,0.1016000,64394332
2025-08-17,ESPORTSUSDT,0.1017000,0.1039000,0.0954000,0.0996000,147340250
2025-08-18,ESPORTSUSDT,0.0996000,0.0997000,0.0910000,0.0933000,112117195
2025-08-19,ESPORTSUSDT,0.0933000,0.0957000,0.0895000,0.0917000,28477565
