Date,Symbol,Open,High,Low,Close,Volume
2022-02-10,FLOWUSDT,8.220,8.590,7.667,7.966,3610297.9
2022-02-11,FLOWUSDT,7.959,8.006,6.901,7.135,2148965.3
2022-02-12,FLOWUSDT,7.135,7.609,6.937,7.372,2216649.9
2022-02-13,FLOWUSDT,7.372,7.595,6.763,7.073,1755881.7
2022-02-14,FLOWUSDT,7.070,7.152,6.652,6.929,1532875.0
2022-02-15,FLOWUSDT,6.929,7.479,6.816,7.433,1416315.6
2022-02-16,FLOWUSDT,7.433,7.738,6.979,7.323,2230572.8
2022-02-17,FLOWUSDT,7.315,7.422,6.281,6.501,2385503.9
2022-02-18,FLOWUSDT,6.503,6.717,6.200,6.361,1516937.8
2022-02-19,FLOWUSDT,6.351,6.449,5.980,6.193,1114011.6
2022-02-20,FLOWUSDT,6.193,6.212,5.620,5.734,1433438.3
2022-02-21,FLOWUSDT,5.734,6.039,5.161,5.214,2337421.9
2022-02-22,FLOWUSDT,5.214,5.560,5.035,5.520,2268554.3
2022-02-23,FLOWUSDT,5.524,5.881,5.369,5.392,2115635.1
2022-02-24,FLOWUSDT,5.394,5.507,4.620,5.435,4459314.0
2022-02-25,FLOWUSDT,5.436,5.739,5.225,5.686,2627750.5
2022-02-26,FLOWUSDT,5.688,5.847,5.547,5.695,2388566.5
2022-02-27,FLOWUSDT,5.692,6.341,5.422,5.742,10380281.1
2022-02-28,FLOWUSDT,5.742,6.478,5.510,6.361,9104298.8
2022-03-01,FLOWUSDT,6.361,6.862,6.277,6.675,6329664.4
2022-03-02,FLOWUSDT,6.674,6.708,6.299,6.405,4209564.8
2022-03-03,FLOWUSDT,6.406,6.452,5.863,6.033,3371765.2
2022-03-04,FLOWUSDT,6.035,6.249,5.613,5.654,4245107.7
2022-03-05,FLOWUSDT,5.654,5.992,5.491,5.830,6805461.6
2022-03-06,FLOWUSDT,5.828,5.938,5.536,5.597,4278991.5
2022-03-07,FLOWUSDT,5.597,5.944,5.450,5.643,5864469.5
2022-03-08,FLOWUSDT,5.641,5.910,5.612,5.767,2935895.9
2022-03-09,FLOWUSDT,5.772,6.123,5.728,6.046,3076087.8
2022-03-10,FLOWUSDT,6.046,6.152,5.493,5.785,5483244.7
2022-03-11,FLOWUSDT,5.785,5.812,5.516,5.634,3287798.1
2022-03-12,FLOWUSDT,5.634,5.735,5.537,5.569,1773256.9
2022-03-13,FLOWUSDT,5.569,5.640,5.277,5.303,2457305.2
