Date,Symbol,Open,High,Low,Close,Volume
2024-09-03,FLUXUSDT,0.6864000,0.7066000,0.6001000,0.6081000,106977652
2024-09-04,FLUXUSDT,0.6081000,0.6224000,0.5704000,0.5846000,89378834
2024-09-05,FLUXUSDT,0.5846000,0.5953000,0.5360000,0.5428000,43840836
2024-09-06,FLUXUSDT,0.5428000,0.5549000,0.5084000,0.5297000,34809105
2024-09-07,FLUXUSDT,0.5295000,0.5502000,0.5226000,0.5345000,12894138
2024-09-08,FLUXUSDT,0.5346000,0.5964000,0.5322000,0.5795000,49532301
2024-09-09,FLUXUSDT,0.5795000,0.5843000,0.5396000,0.5777000,28557483
2024-09-10,FLUXUSDT,0.5776000,0.5793000,0.5617000,0.5715000,13301195
2024-09-11,FLUXUSDT,0.5715000,0.6042000,0.5642000,0.5896000,44903749
2024-09-12,FLUXUSDT,0.5895000,0.5991000,0.5671000,0.5928000,20144595
2024-09-13,FLUXUSDT,0.5929000,0.6116000,0.5724000,0.6045000,15947698
2024-09-14,FLUXUSDT,0.6046000,0.6400000,0.5940000,0.6316000,19267099
2024-09-15,FLUXUSDT,0.6316000,0.6332000,0.5801000,0.5846000,13609229
2024-09-16,FLUXUSDT,0.5843000,0.5913000,0.5570000,0.5646000,12123857
2024-09-17,FLUXUSDT,0.5647000,0.5966000,0.5587000,0.5888000,9068070
2024-09-18,FLUXUSDT,0.5888000,0.6168000,0.5723000,0.6163000,11451883
2024-09-19,FLUXUSDT,0.6163000,0.6295000,0.6105000,0.6180000,11934912
2024-09-20,FLUXUSDT,0.6181000,0.6438000,0.6058000,0.6219000,11723692
2024-09-21,FLUXUSDT,0.6217000,0.6467000,0.6104000,0.6436000,7865279
2024-09-22,FLUXUSDT,0.6437000,0.6444000,0.5945000,0.6127000,8286106
2024-09-23,FLUXUSDT,0.6129000,0.6445000,0.5983000,0.6346000,9789783
2024-09-24,FLUXUSDT,0.6347000,0.6470000,0.6154000,0.6461000,8755392
2024-09-25,FLUXUSDT,0.6460000,0.6530000,0.6089000,0.6117000,8215543
2024-09-26,FLUXUSDT,0.6119000,0.6466000,0.5971000,0.6351000,10949178
2024-09-27,FLUXUSDT,0.6351000,0.6592000,0.6342000,0.6527000,9221282
2024-09-28,FLUXUSDT,0.6525000,0.6610000,0.6110000,0.6331000,8791754
2024-09-29,FLUXUSDT,0.6331000,0.6457000,0.6132000,0.6370000,9522884
2024-09-30,FLUXUSDT,0.6371000,0.6402000,0.5925000,0.5979000,12243200
2024-10-01,FLUXUSDT,0.5978000,0.6272000,0.5286000,0.5388000,18026890
2024-10-02,FLUXUSDT,0.5388000,0.5558000,0.5097000,0.5266000,12205383
2024-10-03,FLUXUSDT,0.5262000,0.5433000,0.5010000,0.5369000,15999529
2024-10-04,FLUXUSDT,0.5370000,0.5525000,0.5279000,0.5434000,10859012
2024-10-05,FLUXUSDT,0.5433000,0.5731000,0.5368000,0.5582000,12686934
2024-10-06,FLUXUSDT,0.5582000,0.5631000,0.5481000,0.5577000,8758894
2024-10-07,FLUXUSDT,0.5577000,0.5704000,0.5322000,0.5329000,12213511
2024-10-08,FLUXUSDT,0.5331000,0.5431000,0.5139000,0.5234000,8803915
2024-10-09,FLUXUSDT,0.5235000,0.5365000,0.5017000,0.5069000,6826961
2024-10-10,FLUXUSDT,0.5068000,0.5197000,0.4886000,0.5056000,10946241
