Date,Symbol,Open,High,Low,Close,Volume
2023-09-16,HIFIUSDT,1.9430000,2.6420000,1.3076000,1.7965000,587939177
2023-09-17,HIFIUSDT,1.7969000,1.8321000,0.8500000,0.9005000,1243416753
2023-09-18,HIFIUSDT,0.9005000,0.9353000,0.7985000,0.8678000,614991616
2023-09-19,HIFIUSDT,0.8677000,0.9305000,0.8350000,0.8904000,283613793
2023-09-20,HIFIUSDT,0.8902000,0.9066000,0.7622000,0.7967000,241671203
2023-09-21,HIFIUSDT,0.7966000,0.8090000,0.7121000,0.7377000,188859613
2023-09-22,HIFIUSDT,0.7375000,0.7629000,0.6842000,0.7396000,153842292
2023-09-23,HIFIUSDT,0.7396000,0.7415000,0.7064000,0.7195000,69919393
2023-09-24,HIFIUSDT,0.7195000,0.8444000,0.7194000,0.7597000,515172289
2023-09-25,HIFIUSDT,0.7597000,0.7674000,0.7145000,0.7267000,113317839
2023-09-26,HIFIUSDT,0.7267000,0.7358000,0.7164000,0.7249000,67432197
2023-09-27,HIFIUSDT,0.7249000,0.7316000,0.6600000,0.6882000,98783632
2023-09-28,HIFIUSDT,0.6882000,0.6937000,0.6715000,0.6883000,49345868
2023-09-29,HIFIUSDT,0.6883000,0.6938000,0.6400000,0.6613000,46945409
2023-09-30,HIFIUSDT,0.6613000,0.7222000,0.6607000,0.6913000,136467207
2023-10-01,HIFIUSDT,0.6913000,0.7487000,0.6909000,0.7327000,111890170
2023-10-02,HIFIUSDT,0.7327000,0.7430000,0.6744000,0.6914000,66418496
2023-10-03,HIFIUSDT,0.6913000,0.6998000,0.6538000,0.6579000,50212492
2023-10-04,HIFIUSDT,0.6579000,0.6622000,0.6164000,0.6359000,68228941
2023-10-05,HIFIUSDT,0.6359000,0.6700000,0.6332000,0.6643000,93618518
2023-10-06,HIFIUSDT,0.6642000,0.6848000,0.6490000,0.6692000,81840483
2023-10-07,HIFIUSDT,0.6693000,0.7173000,0.6693000,0.6922000,163974403
2023-10-08,HIFIUSDT,0.6921000,0.6937000,0.6554000,0.6621000,49790895
2023-10-09,HIFIUSDT,0.6620000,0.6624000,0.5880000,0.6239000,78280525
2023-10-10,HIFIUSDT,0.6239000,0.6339000,0.6054000,0.6156000,46803051
2023-10-11,HIFIUSDT,0.6155000,0.6163000,0.5908000,0.6003000,30883375
2023-10-12,HIFIUSDT,0.6003000,0.6088000,0.5816000,0.6011000,46040933
2023-10-13,HIFIUSDT,0.6011000,0.6129000,0.5931000,0.6057000,27819743
2023-10-14,HIFIUSDT,0.6056000,0.6089000,0.5970000,0.6006000,17887646
