Date,Symbol,Open,High,Low,Close,Volume
2025-08-07,INUSDT,0.0766000,0.1173400,0.0651000,0.0923800,2252366020
2025-08-08,INUSDT,0.0924000,0.0983100,0.0735200,0.0827700,1009948373
2025-08-09,INUSDT,0.0827800,0.1286200,0.0784900,0.1115600,2169974008
2025-08-10,INUSDT,0.1115800,0.1176200,0.0930000,0.0961300,813179844
2025-08-11,INUSDT,0.0961200,0.1021700,0.0870500,0.0889400,570438761
2025-08-12,INUSDT,0.0889500,0.1190000,0.0842800,0.1100400,1245153426
2025-08-13,INUSDT,0.1100200,0.1223700,0.0995900,0.1031200,1076351407
2025-08-14,INUSDT,0.1031100,0.1078600,0.0835400,0.0861600,617853502
2025-08-15,INUSDT,0.0861600,0.0921500,0.0790100,0.0808800,959317531
2025-08-16,INUSDT,0.0808800,0.0991400,0.0755100,0.0947400,1136311165
2025-08-17,INUSDT,0.0947500,0.1024800,0.0906800,0.0920100,863096714
2025-08-18,INUSDT,0.0920000,0.0923000,0.0790200,0.0823000,451310244
2025-08-19,INUSDT,0.0823100,0.0840500,0.0800000,0.0811100,75125519
