Date,Symbol,Open,High,Low,Close,Volume
2020-02-12,IOTAUSDT,0.3380,0.3725,0.3218,0.3306,25630878.8
2020-02-13,IOTAUSDT,0.3315,0.3489,0.3033,0.3227,29301543.1
2020-02-14,IOTAUSDT,0.3226,0.3289,0.3109,0.3242,21486527.0
2020-02-15,IOTAUSDT,0.3245,0.3269,0.2781,0.2875,18981443.4
2020-02-16,IOTAUSDT,0.2876,0.2976,0.1798,0.2775,14929658.1
2020-02-17,IOTAUSDT,0.2775,0.2863,0.2528,0.2831,10481882.6
2020-02-18,IOTAUSDT,0.2833,0.2933,0.2653,0.2906,11115592.7
2020-02-19,IOTAUSDT,0.2906,0.2946,0.2485,0.2666,8257363.5
2020-02-20,IOTAUSDT,0.2665,0.2717,0.2526,0.2654,6719465.8
2020-02-21,IOTAUSDT,0.2650,0.2750,0.2629,0.2681,6929361.0
2020-02-22,IOTAUSDT,0.2681,0.2737,0.2600,0.2702,6285019.8
2020-02-23,IOTAUSDT,0.2702,0.2855,0.2700,0.2785,6109610.9
2020-02-24,IOTAUSDT,0.2785,0.2808,0.2477,0.2622,8093321.5
2020-02-25,IOTAUSDT,0.2625,0.2634,0.2455,0.2482,7605390.3
2020-02-26,IOTAUSDT,0.2478,0.2502,0.2066,0.2159,13568333.1
2020-02-27,IOTAUSDT,0.2160,0.2295,0.2025,0.2150,8524737.3
2020-02-28,IOTAUSDT,0.2152,0.2207,0.2029,0.2155,4818995.3
2020-02-29,IOTAUSDT,0.2155,0.2211,0.2115,0.2127,4515851.5
2020-03-01,IOTAUSDT,0.2127,0.2219,0.2057,0.2101,3799723.6
2020-03-02,IOTAUSDT,0.2100,0.2266,0.2084,0.2244,4608701.6
2020-03-03,IOTAUSDT,0.2245,0.2282,0.2181,0.2239,3925245.3
2020-03-04,IOTAUSDT,0.2238,0.2258,0.2168,0.2224,3214156.6
2020-03-05,IOTAUSDT,0.2227,0.2376,0.2224,0.2276,6797011.1
2020-03-06,IOTAUSDT,0.2276,0.2341,0.2239,0.2328,3414170.3
2020-03-07,IOTAUSDT,0.2330,0.2376,0.2197,0.2234,5423214.1
2020-03-08,IOTAUSDT,0.2232,0.2234,0.1880,0.1918,6854768.3
2020-03-09,IOTAUSDT,0.1917,0.1989,0.1779,0.1918,7393990.8
2020-03-10,IOTAUSDT,0.1921,0.1998,0.1866,0.1980,8294932.5
2020-03-11,IOTAUSDT,0.1976,0.2017,0.1823,0.1949,7098789.6
2020-03-12,IOTAUSDT,0.1950,0.1960,0.1063,0.1085,16066767.6
2020-03-13,IOTAUSDT,0.1079,0.1410,0.0733,0.1291,11933314.4
2020-03-14,IOTAUSDT,0.1291,0.1302,0.1176,0.1235,7322536.1
2020-03-15,IOTAUSDT,0.1240,0.1329,0.1178,0.1213,6311992.3
2020-03-16,IOTAUSDT,0.1215,0.1215,0.0898,0.1082,13544000.6
2020-03-17,IOTAUSDT,0.1081,0.1254,0.1066,0.1198,7355313.2
2020-03-18,IOTAUSDT,0.1198,0.1285,0.1115,0.1258,7196853.7
2020-03-19,IOTAUSDT,0.1260,0.1595,0.1227,0.1483,11274459.7
2020-03-20,IOTAUSDT,0.1480,0.1637,0.1250,0.1411,14282017.0
2020-03-21,IOTAUSDT,0.1410,0.1476,0.1299,0.1380,6816315.4
2020-03-22,IOTAUSDT,0.1381,0.1427,0.1250,0.1257,7784853.2
2020-03-23,IOTAUSDT,0.1254,0.1436,0.1221,0.1429,3540130.3
2020-03-24,IOTAUSDT,0.1432,0.1454,0.1370,0.1442,2498592.2
2020-03-25,IOTAUSDT,0.1440,0.1466,0.1365,0.1406,2258917.6
2020-03-26,IOTAUSDT,0.1405,0.1455,0.1381,0.1451,2063712.7
2020-03-27,IOTAUSDT,0.1452,0.1491,0.1354,0.1361,3207187.5
2020-03-28,IOTAUSDT,0.1357,0.1400,0.1309,0.1388,5169594.8
2020-03-29,IOTAUSDT,0.1388,0.1391,0.1304,0.1312,2839042.1
2020-03-30,IOTAUSDT,0.1311,0.1458,0.1308,0.1406,4508533.0
2020-03-31,IOTAUSDT,0.1406,0.1455,0.1403,0.1433,2447526.5
2020-04-01,IOTAUSDT,0.1433,0.1469,0.1372,0.1460,3227289.6
2020-04-02,IOTAUSDT,0.1462,0.1549,0.1432,0.1474,4260544.0
2020-04-03,IOTAUSDT,0.1472,0.1541,0.1460,0.1493,3229568.4
2020-04-04,IOTAUSDT,0.1489,0.1522,0.1452,0.1495,2577305.9
2020-04-05,IOTAUSDT,0.1495,0.1500,0.1453,0.1484,2090633.0
2020-04-06,IOTAUSDT,0.1485,0.1668,0.1484,0.1656,3753962.8
2020-04-07,IOTAUSDT,0.1659,0.1756,0.1600,0.1632,5343353.5
2020-04-08,IOTAUSDT,0.1634,0.1727,0.1625,0.1718,4126833.0
2020-04-09,IOTAUSDT,0.1719,0.1733,0.1666,0.1724,3509184.9
2020-04-10,IOTAUSDT,0.1724,0.1725,0.1513,0.1606,5666958.8
2020-04-11,IOTAUSDT,0.1606,0.1639,0.1547,0.1597,4308635.7
2020-04-12,IOTAUSDT,0.1599,0.1673,0.1559,0.1616,6028823.0
2020-04-13,IOTAUSDT,0.1616,0.1617,0.1540,0.1592,9330425.2
2020-04-14,IOTAUSDT,0.1592,0.1627,0.1549,0.1579,4569705.4
2020-04-15,IOTAUSDT,0.1579,0.1592,0.1466,0.1481,9015778.3
2020-04-16,IOTAUSDT,0.1479,0.1610,0.1416,0.1574,12663149.1
2020-04-17,IOTAUSDT,0.1575,0.1592,0.1545,0.1559,6320400.6
2020-04-18,IOTAUSDT,0.1559,0.1649,0.1556,0.1626,7618435.5
2020-04-19,IOTAUSDT,0.1627,0.1629,0.1545,0.1558,8853498.2
2020-04-20,IOTAUSDT,0.1559,0.1602,0.1460,0.1481,21366835.8
2020-04-21,IOTAUSDT,0.1481,0.1531,0.1475,0.1514,16500302.5
2020-04-22,IOTAUSDT,0.1513,0.1576,0.1502,0.1559,7461387.0
2020-04-23,IOTAUSDT,0.1559,0.1644,0.1525,0.1588,12430995.5
2020-04-24,IOTAUSDT,0.1588,0.1680,0.1586,0.1674,16039288.8
2020-04-25,IOTAUSDT,0.1675,0.1741,0.1651,0.1698,9739019.2
2020-04-26,IOTAUSDT,0.1698,0.1786,0.1695,0.1760,9704542.8
2020-04-27,IOTAUSDT,0.1762,0.1770,0.1660,0.1737,6631036.3
2020-04-28,IOTAUSDT,0.1739,0.1746,0.1678,0.1738,8477692.3
2020-04-29,IOTAUSDT,0.1738,0.1894,0.1735,0.1859,13358826.7
2020-04-30,IOTAUSDT,0.1860,0.1918,0.1719,0.1759,13533039.2
2020-05-01,IOTAUSDT,0.1758,0.1871,0.1753,0.1815,8911144.8
2020-05-02,IOTAUSDT,0.1816,0.1924,0.1810,0.1914,10692395.3
2020-05-03,IOTAUSDT,0.1914,0.1954,0.1781,0.1825,11620085.6
2020-05-04,IOTAUSDT,0.1825,0.1887,0.1715,0.1827,19060097.3
2020-05-05,IOTAUSDT,0.1827,0.1879,0.1792,0.1876,9039740.0
2020-05-06,IOTAUSDT,0.1876,0.1898,0.1763,0.1768,10702397.0
2020-05-07,IOTAUSDT,0.1772,0.1890,0.1750,0.1846,16206854.5
2020-05-08,IOTAUSDT,0.1847,0.2057,0.1813,0.2026,23388340.8
2020-05-09,IOTAUSDT,0.2026,0.2161,0.1970,0.1976,41703487.7
2020-05-10,IOTAUSDT,0.1975,0.1977,0.1632,0.1839,46746832.5
2020-05-11,IOTAUSDT,0.1835,0.1868,0.1665,0.1766,25241820.9
2020-05-12,IOTAUSDT,0.1767,0.1888,0.1760,0.1860,15760822.5
2020-05-13,IOTAUSDT,0.1857,0.1960,0.1841,0.1919,14728362.5
2020-05-14,IOTAUSDT,0.1921,0.2150,0.1877,0.2089,25504625.7
2020-05-15,IOTAUSDT,0.2089,0.2112,0.1956,0.1976,33084216.5
2020-05-16,IOTAUSDT,0.1978,0.2020,0.1952,0.1970,13273184.7
2020-05-17,IOTAUSDT,0.1970,0.2062,0.1962,0.1993,12743483.1
2020-05-18,IOTAUSDT,0.1992,0.2069,0.1984,0.2039,8073196.6
2020-05-19,IOTAUSDT,0.2039,0.2040,0.1991,0.2023,9475856.9
2020-05-20,IOTAUSDT,0.2025,0.2052,0.1950,0.1994,11059801.6
2020-05-21,IOTAUSDT,0.1993,0.2016,0.1807,0.1878,12363765.4
2020-05-22,IOTAUSDT,0.1878,0.2046,0.1850,0.2021,11570744.6
2020-05-23,IOTAUSDT,0.2021,0.2087,0.1983,0.1992,10526490.2
2020-05-24,IOTAUSDT,0.1991,0.2029,0.1893,0.1898,8276445.1
2020-05-25,IOTAUSDT,0.1898,0.1986,0.1884,0.1979,8546509.3
2020-05-26,IOTAUSDT,0.1980,0.1986,0.1884,0.1940,8339965.9
2020-05-27,IOTAUSDT,0.1940,0.1999,0.1925,0.1963,8520292.6
2020-05-28,IOTAUSDT,0.1964,0.2040,0.1938,0.2031,7315559.3
2020-05-29,IOTAUSDT,0.2033,0.2047,0.1960,0.2013,7633913.7
2020-05-30,IOTAUSDT,0.2012,0.2193,0.1992,0.2188,16044607.6
2020-05-31,IOTAUSDT,0.2188,0.2418,0.2137,0.2197,44007551.4
