Date,Symbol,Open,High,Low,Close,Volume
2025-03-26,JELLYJELLYUSDT,0.0243200,0.0274800,0.0188500,0.0203000,7108167811
2025-03-27,JELLYJELLYUSDT,0.0203000,0.0233600,0.0173800,0.0180200,7981233587
2025-03-28,JELLYJELLYUSDT,0.0180200,0.0182200,0.0146600,0.0149600,3170197698
2025-03-29,JELLYJELLYUSDT,0.0149700,0.0167700,0.0141800,0.0149400,3390785478
2025-03-30,JELLYJELLYUSDT,0.0149500,0.0159200,0.0135200,0.0145600,2552388904
2025-03-31,JELLYJELLYUSDT,0.0145700,0.0164800,0.0143000,0.0156300,2335452314
2025-04-01,JELLYJELLYUSDT,0.0156200,0.0161800,0.0126000,0.0126300,1773003874
2025-04-02,JELLYJELLYUSDT,0.0126400,0.0126700,0.0110900,0.0119600,1921604841
2025-04-03,JELLYJELLYUSDT,0.0119600,0.0128100,0.0114400,0.0119500,1090295419
2025-04-04,JELLYJELLYUSDT,0.0119600,0.0122100,0.0109400,0.0118500,720079339
2025-04-05,JELLYJELLYUSDT,0.0118400,0.0120000,0.0095400,0.0108000,1278279341
2025-04-06,JELLYJELLYUSDT,0.0108100,0.0110300,0.0100300,0.0106300,1134678612
2025-04-07,JELLYJELLYUSDT,0.0106300,0.0126200,0.0103200,0.0116100,1923664428
2025-04-08,JELLYJELLYUSDT,0.0116100,0.0119500,0.0102400,0.0103200,1331848008
2025-04-09,JELLYJELLYUSDT,0.0103200,0.0117800,0.0100200,0.0114700,1151302852
2025-04-10,JELLYJELLYUSDT,0.0114600,0.0115300,0.0102000,0.0109200,1151828675
2025-04-11,JELLYJELLYUSDT,0.0109200,0.0129900,0.0108800,0.0123900,1484961323
2025-04-12,JELLYJELLYUSDT,0.0124000,0.0142300,0.0105800,0.0125400,2437095092
2025-04-13,JELLYJELLYUSDT,0.0125400,0.0129500,0.0116000,0.0121700,1005113523
2025-04-14,JELLYJELLYUSDT,0.0121800,0.0127300,0.0118500,0.0120800,603398074
2025-04-15,JELLYJELLYUSDT,0.0120800,0.0134800,0.0116300,0.0127700,1010425453
2025-04-16,JELLYJELLYUSDT,0.0127900,0.0144400,0.0122400,0.0131700,2001203812
2025-04-17,JELLYJELLYUSDT,0.0131600,0.0137600,0.0123600,0.0132700,452208523
2025-04-18,JELLYJELLYUSDT,0.0132700,0.0141000,0.0085300,0.0105500,2831726985
2025-04-19,JELLYJELLYUSDT,0.0105400,0.0109700,0.0097200,0.0108300,1489357582
2025-04-20,JELLYJELLYUSDT,0.0108100,0.0125200,0.0106000,0.0115900,1138490335
2025-04-21,JELLYJELLYUSDT,0.0115800,0.0125000,0.0106300,0.0111500,954381053
2025-04-22,JELLYJELLYUSDT,0.0111500,0.0125400,0.0110000,0.0124700,638329259
2025-04-23,JELLYJELLYUSDT,0.0124900,0.0266000,0.0121400,0.0259800,8321105311
2025-04-24,JELLYJELLYUSDT,0.0259700,0.0293400,0.0208800,0.0241600,8629633206
2025-04-25,JELLYJELLYUSDT,0.0241700,0.0305600,0.0234200,0.0270800,2432498372
2025-04-26,JELLYJELLYUSDT,0.0270900,0.0379900,0.0265400,0.0371000,3403771570
2025-04-27,JELLYJELLYUSDT,0.0371000,0.0392100,0.0304900,0.0326800,3054249534
2025-04-28,JELLYJELLYUSDT,0.0326700,0.0365900,0.0314900,0.0343700,954725080
2025-04-29,JELLYJELLYUSDT,0.0343800,0.0369200,0.0321700,0.0344100,796074154
2025-04-30,JELLYJELLYUSDT,0.0344200,0.0387900,0.0327100,0.0359000,760603756
2025-05-01,JELLYJELLYUSDT,0.0359100,0.0423800,0.0336600,0.0364900,972856721
2025-05-02,JELLYJELLYUSDT,0.0364900,0.0383200,0.0327500,0.0337400,475749899
2025-05-03,JELLYJELLYUSDT,0.0337400,0.0378000,0.0329600,0.0358500,606467011
2025-05-04,JELLYJELLYUSDT,0.0358700,0.0371900,0.0339900,0.0355500,353667112
2025-05-05,JELLYJELLYUSDT,0.0355600,0.0384000,0.0343600,0.0356300,570348965
2025-05-06,JELLYJELLYUSDT,0.0356200,0.0367800,0.0308500,0.0340700,682731500
2025-05-07,JELLYJELLYUSDT,0.0340800,0.0356700,0.0326500,0.0339600,446035905
2025-05-08,JELLYJELLYUSDT,0.0339800,0.0419000,0.0334800,0.0388300,927652983
2025-05-09,JELLYJELLYUSDT,0.0388100,0.0467300,0.0256000,0.0301000,2211411663
2025-05-10,JELLYJELLYUSDT,0.0301400,0.0316900,0.0266400,0.0298800,737030531
2025-05-11,JELLYJELLYUSDT,0.0298900,0.0326600,0.0283400,0.0310800,650065567
2025-05-12,JELLYJELLYUSDT,0.0310800,0.0369400,0.0273800,0.0284900,903104234
2025-05-13,JELLYJELLYUSDT,0.0284800,0.0600000,0.0274000,0.0576800,6545691263
2025-05-14,JELLYJELLYUSDT,0.0576700,0.0719900,0.0310000,0.0322700,12760952737
2025-05-15,JELLYJELLYUSDT,0.0322800,0.0380000,0.0278000,0.0358500,7443154368
2025-05-16,JELLYJELLYUSDT,0.0358700,0.0398800,0.0291600,0.0323500,4013038957
2025-05-17,JELLYJELLYUSDT,0.0323500,0.0339300,0.0305700,0.0330900,1537992472
2025-05-18,JELLYJELLYUSDT,0.0331100,0.0380200,0.0314800,0.0336100,1768734045
