Date,Symbol,Open,High,Low,Close,Volume
2024-12-10,KOMAUSDT,0.1289600,0.2020000,0.1289600,0.1600000,1806708662
2024-12-11,KOMAUSDT,0.1600000,0.1800000,0.1352400,0.1510000,1463357027
2024-12-12,KOMAUSDT,0.1510600,0.1646200,0.1334300,0.1386700,674673375
2024-12-13,KOMAUSDT,0.1386300,0.1386800,0.1222000,0.1291600,523863560
2024-12-14,KOMAUSDT,0.1291900,0.1320400,0.1141600,0.1186700,393209135
2024-12-15,KOMAUSDT,0.1186700,0.1226800,0.1090100,0.1160600,251741413
2024-12-16,KOMAUSDT,0.1160600,0.1241000,0.1080000,0.1097600,322477983
2024-12-17,KOMAUSDT,0.1097500,0.1113200,0.0934300,0.0949500,414714059
2024-12-18,KOMAUSDT,0.0949600,0.1366600,0.0920400,0.1029300,1249306654
2024-12-19,KOMAUSDT,0.1029500,0.1236400,0.0979400,0.1164500,871806273
2024-12-20,KOMAUSDT,0.1165200,0.1252100,0.0911800,0.1105500,551507749
2024-12-21,KOMAUSDT,0.1105500,0.1148900,0.0938500,0.0965400,309684877
2024-12-22,KOMAUSDT,0.0965500,0.1323000,0.0925200,0.1294300,1032160071
2024-12-23,KOMAUSDT,0.1293500,0.1726500,0.1230100,0.1626500,3299093123
2024-12-24,KOMAUSDT,0.1626500,0.1735800,0.1560800,0.1672300,1137839328
2024-12-25,KOMAUSDT,0.1672300,0.2028300,0.1607500,0.1649500,731538758
2024-12-26,KOMAUSDT,0.1649600,0.1736900,0.1450800,0.1464900,315132244
2024-12-27,KOMAUSDT,0.1465100,0.1474600,0.1300000,0.1368300,424366480
2024-12-28,KOMAUSDT,0.1367900,0.1368000,0.1161200,0.1252200,323364059
2024-12-29,KOMAUSDT,0.1252200,0.1343400,0.1182800,0.1187600,196060083
2024-12-30,KOMAUSDT,0.1187600,0.1318700,0.1136400,0.1149800,236381305
2024-12-31,KOMAUSDT,0.1149600,0.1240000,0.1125100,0.1169500,188646927
2025-01-01,KOMAUSDT,0.1169600,0.1280000,0.1153700,0.1206400,191463466
2025-01-02,KOMAUSDT,0.1206600,0.1274400,0.1189100,0.1232200,131044107
2025-01-03,KOMAUSDT,0.1232500,0.1303700,0.1154400,0.1278800,232317900
2025-01-04,KOMAUSDT,0.1279100,0.1311600,0.1206600,0.1239600,129348100
2025-01-05,KOMAUSDT,0.1239400,0.1314500,0.1206400,0.1288200,143218951
2025-01-06,KOMAUSDT,0.1288200,0.1291200,0.1189600,0.1208200,146850970
2025-01-07,KOMAUSDT,0.1208300,0.1220000,0.1017700,0.1022100,215510519
2025-01-08,KOMAUSDT,0.1021800,0.1037000,0.0897100,0.0962400,179126243
2025-01-09,KOMAUSDT,0.0962300,0.0975500,0.0886700,0.0919000,147478902
2025-01-10,KOMAUSDT,0.0919000,0.0976300,0.0892400,0.0945100,129237038
2025-01-11,KOMAUSDT,0.0945600,0.0975700,0.0916200,0.0940900,81693198
2025-01-12,KOMAUSDT,0.0940800,0.0946500,0.0892800,0.0912200,72042970
2025-01-13,KOMAUSDT,0.0912300,0.0945600,0.0748200,0.0838700,345771642
2025-01-14,KOMAUSDT,0.0838700,0.0867200,0.0823000,0.0845000,111394661
2025-01-15,KOMAUSDT,0.0845100,0.0894300,0.0800000,0.0880100,102876330
2025-01-16,KOMAUSDT,0.0880200,0.0886400,0.0827400,0.0842100,97610723
2025-01-17,KOMAUSDT,0.0842000,0.0892100,0.0836600,0.0864800,80508663
2025-01-18,KOMAUSDT,0.0864800,0.0873300,0.0708400,0.0731400,116001796
2025-01-19,KOMAUSDT,0.0731500,0.0753500,0.0600500,0.0608200,243255215
2025-01-20,KOMAUSDT,0.0608400,0.0648200,0.0542700,0.0577600,189410359
2025-01-21,KOMAUSDT,0.0577900,0.0640200,0.0556500,0.0607000,125982798
2025-01-22,KOMAUSDT,0.0607000,0.0643000,0.0596000,0.0615100,71957929
2025-01-23,KOMAUSDT,0.0615400,0.0632100,0.0564100,0.0586800,90684791
2025-01-24,KOMAUSDT,0.0586600,0.0589700,0.0516600,0.0521900,88813111
2025-01-25,KOMAUSDT,0.0522000,0.0544000,0.0500100,0.0521100,63278724
2025-01-26,KOMAUSDT,0.0521000,0.0542300,0.0482400,0.0483400,92273936
2025-01-27,KOMAUSDT,0.0483100,0.0484000,0.0394300,0.0447000,213222097
2025-01-28,KOMAUSDT,0.0447000,0.0452900,0.0397200,0.0408300,67506149
2025-01-29,KOMAUSDT,0.0408200,0.0418300,0.0376100,0.0392100,115247904
2025-01-30,KOMAUSDT,0.0392100,0.0424900,0.0389800,0.0407800,66735953
2025-01-31,KOMAUSDT,0.0407800,0.0444700,0.0399400,0.0413800,79477317
2025-02-01,KOMAUSDT,0.0413700,0.0434100,0.0346900,0.0349800,81935097
2025-02-02,KOMAUSDT,0.0349900,0.0359300,0.0281100,0.0300900,145356171
2025-02-03,KOMAUSDT,0.0300900,0.0355000,0.0213300,0.0352500,494800312
2025-02-04,KOMAUSDT,0.0352500,0.0396300,0.0333400,0.0354900,909183704
2025-02-05,KOMAUSDT,0.0355000,0.0384600,0.0329200,0.0332200,313115189
2025-02-06,KOMAUSDT,0.0332100,0.0350900,0.0277000,0.0280900,321813993
2025-02-07,KOMAUSDT,0.0280900,0.0341400,0.0279800,0.0300500,307238315
2025-02-08,KOMAUSDT,0.0300500,0.0489400,0.0300000,0.0397900,1549125015
2025-02-09,KOMAUSDT,0.0397900,0.0609600,0.0376100,0.0400500,2124768393
2025-02-10,KOMAUSDT,0.0400400,0.0475200,0.0349400,0.0470700,865368773
2025-02-11,KOMAUSDT,0.0470700,0.0617800,0.0465600,0.0551000,1348160545
2025-02-12,KOMAUSDT,0.0551300,0.0664800,0.0531900,0.0630600,1329436422
2025-02-13,KOMAUSDT,0.0630600,0.0743500,0.0521600,0.0534300,889565680
2025-02-14,KOMAUSDT,0.0534500,0.0568900,0.0462700,0.0553400,566809158
2025-02-15,KOMAUSDT,0.0553300,0.0615100,0.0502600,0.0581100,859416802
2025-02-16,KOMAUSDT,0.0581100,0.0600000,0.0553300,0.0579700,540630264
2025-02-17,KOMAUSDT,0.0579500,0.0608400,0.0511100,0.0536200,276467590
2025-02-18,KOMAUSDT,0.0536400,0.0560500,0.0480700,0.0525400,196586855
2025-02-19,KOMAUSDT,0.0525700,0.0610000,0.0525500,0.0583800,365873161
2025-02-20,KOMAUSDT,0.0583900,0.0590200,0.0540400,0.0580300,167877316
2025-02-21,KOMAUSDT,0.0580200,0.0647400,0.0523000,0.0558800,305255979
2025-02-22,KOMAUSDT,0.0558700,0.0663900,0.0545100,0.0643400,342913117
2025-02-23,KOMAUSDT,0.0643300,0.0649600,0.0583500,0.0618300,168657618
2025-02-24,KOMAUSDT,0.0618500,0.0660500,0.0580000,0.0609500,383421124
2025-02-25,KOMAUSDT,0.0609300,0.0682900,0.0553600,0.0607500,324184319
2025-02-26,KOMAUSDT,0.0607600,0.0647000,0.0528200,0.0584600,209172590
2025-02-27,KOMAUSDT,0.0584700,0.0619000,0.0464900,0.0479100,350126530
2025-02-28,KOMAUSDT,0.0479200,0.0490500,0.0437500,0.0445200,298674774
2025-03-01,KOMAUSDT,0.0445300,0.0460500,0.0417500,0.0446500,189603568
2025-03-02,KOMAUSDT,0.0446500,0.0448000,0.0387000,0.0418400,255576963
2025-03-03,KOMAUSDT,0.0418500,0.0429800,0.0374900,0.0387700,369994076
2025-03-04,KOMAUSDT,0.0387700,0.0476600,0.0356700,0.0450400,687014727
2025-03-05,KOMAUSDT,0.0450500,0.0466800,0.0433500,0.0447100,285027477
2025-03-06,KOMAUSDT,0.0447000,0.0449400,0.0379600,0.0384500,219379298
2025-03-07,KOMAUSDT,0.0384800,0.0425000,0.0369000,0.0398000,267386283
2025-03-08,KOMAUSDT,0.0397900,0.0402800,0.0352500,0.0357200,125221735
2025-03-09,KOMAUSDT,0.0357200,0.0359900,0.0330200,0.0338200,110264073
2025-03-10,KOMAUSDT,0.0338200,0.0368500,0.0317300,0.0324900,113958056
2025-03-11,KOMAUSDT,0.0325100,0.0360700,0.0310200,0.0337400,138219012
2025-03-12,KOMAUSDT,0.0337600,0.0366400,0.0329500,0.0343000,151411524
2025-03-13,KOMAUSDT,0.0343000,0.0348700,0.0311700,0.0328500,108338501
2025-03-14,KOMAUSDT,0.0328700,0.0345900,0.0323300,0.0338200,107878238
2025-03-15,KOMAUSDT,0.0338100,0.0357200,0.0331900,0.0354200,106306816
2025-03-16,KOMAUSDT,0.0354400,0.0356900,0.0323200,0.0324300,87042987
2025-03-17,KOMAUSDT,0.0324400,0.0366200,0.0323900,0.0348800,138430357
2025-03-18,KOMAUSDT,0.0348800,0.0409700,0.0344300,0.0375400,521282614
2025-03-19,KOMAUSDT,0.0375400,0.0495800,0.0344600,0.0487600,718197261
2025-03-20,KOMAUSDT,0.0487700,0.0497900,0.0403600,0.0410000,686918087
2025-03-21,KOMAUSDT,0.0410100,0.0422900,0.0377600,0.0380300,153942812
2025-03-22,KOMAUSDT,0.0380200,0.0400000,0.0355000,0.0362000,148874076
2025-03-23,KOMAUSDT,0.0361800,0.0372500,0.0340400,0.0355500,126674652
2025-03-24,KOMAUSDT,0.0355500,0.0378700,0.0344300,0.0362200,153252315
2025-03-25,KOMAUSDT,0.0362200,0.0377400,0.0353100,0.0371600,119541463
2025-03-26,KOMAUSDT,0.0371600,0.0392200,0.0354800,0.0364500,238163960
2025-03-27,KOMAUSDT,0.0364600,0.0378800,0.0297600,0.0309400,249695559
2025-03-28,KOMAUSDT,0.0309300,0.0318000,0.0271700,0.0283300,275633605
2025-03-29,KOMAUSDT,0.0283200,0.0286000,0.0261500,0.0272100,275528412
2025-03-30,KOMAUSDT,0.0272200,0.0286800,0.0266200,0.0274800,143936768
2025-03-31,KOMAUSDT,0.0274900,0.0281400,0.0259100,0.0263500,183083997
2025-04-01,KOMAUSDT,0.0263400,0.0272600,0.0251900,0.0264300,148849138
2025-04-02,KOMAUSDT,0.0264600,0.0268300,0.0238100,0.0245900,159192453
2025-04-03,KOMAUSDT,0.0246000,0.0253600,0.0234300,0.0244300,111513248
2025-04-04,KOMAUSDT,0.0244200,0.0247200,0.0227800,0.0241700,130142758
2025-04-05,KOMAUSDT,0.0241600,0.0243200,0.0225100,0.0232300,73016913
2025-04-06,KOMAUSDT,0.0232200,0.0234700,0.0193400,0.0201000,139566344
2025-04-07,KOMAUSDT,0.0200900,0.0206800,0.0173400,0.0184800,310354746
2025-04-08,KOMAUSDT,0.0184500,0.0191300,0.0167700,0.0172700,191303797
2025-04-09,KOMAUSDT,0.0172700,0.0200400,0.0165300,0.0195300,163014479
2025-04-10,KOMAUSDT,0.0195400,0.0195500,0.0173900,0.0175800,93900934
2025-04-11,KOMAUSDT,0.0175700,0.0204500,0.0175500,0.0193800,204567539
2025-04-12,KOMAUSDT,0.0193800,0.0209200,0.0193300,0.0200500,107689999
2025-04-13,KOMAUSDT,0.0200600,0.0201800,0.0173800,0.0175800,182891764
2025-04-14,KOMAUSDT,0.0176000,0.0197000,0.0173900,0.0183500,217614559
2025-04-15,KOMAUSDT,0.0183600,0.0185000,0.0172100,0.0172800,111017696
2025-04-16,KOMAUSDT,0.0172700,0.0180000,0.0167500,0.0173400,120310977
2025-04-17,KOMAUSDT,0.0173400,0.0175300,0.0167300,0.0172000,69147788
2025-04-18,KOMAUSDT,0.0171900,0.0178200,0.0161600,0.0164700,118706211
2025-04-19,KOMAUSDT,0.0164600,0.0172100,0.0142000,0.0167700,422904227
2025-04-20,KOMAUSDT,0.0167800,0.0220100,0.0165600,0.0176700,1109843284
2025-04-21,KOMAUSDT,0.0176700,0.0262100,0.0175200,0.0232500,2203106376
2025-04-22,KOMAUSDT,0.0232700,0.0262400,0.0214500,0.0257800,1829620534
2025-04-23,KOMAUSDT,0.0257900,0.0328500,0.0238600,0.0240200,1379680629
2025-04-24,KOMAUSDT,0.0240300,0.0246900,0.0213400,0.0229200,804662084
2025-04-25,KOMAUSDT,0.0229200,0.0259700,0.0225100,0.0243400,481625821
2025-04-26,KOMAUSDT,0.0243400,0.0256400,0.0236700,0.0244600,272247535
2025-04-27,KOMAUSDT,0.0244600,0.0246100,0.0202500,0.0221900,454892685
2025-04-28,KOMAUSDT,0.0222200,0.0289900,0.0216400,0.0248400,750491085
2025-04-29,KOMAUSDT,0.0248500,0.0259400,0.0215100,0.0217500,422699121
2025-04-30,KOMAUSDT,0.0217500,0.0248500,0.0217000,0.0243700,273297407
2025-05-01,KOMAUSDT,0.0243800,0.0258400,0.0227200,0.0234800,212392131
2025-05-02,KOMAUSDT,0.0234800,0.0243600,0.0219100,0.0237400,233305139
2025-05-03,KOMAUSDT,0.0237500,0.0286300,0.0225200,0.0244000,1699880699
2025-05-04,KOMAUSDT,0.0244000,0.0263500,0.0203300,0.0208700,764746082
2025-05-05,KOMAUSDT,0.0208800,0.0216800,0.0199400,0.0202500,453706397
2025-05-06,KOMAUSDT,0.0202600,0.0204600,0.0174000,0.0182100,585476551
2025-05-07,KOMAUSDT,0.0182100,0.0186900,0.0168900,0.0177100,322882456
2025-05-08,KOMAUSDT,0.0176900,0.0344400,0.0174600,0.0267100,4371833594
2025-05-09,KOMAUSDT,0.0267200,0.0427500,0.0250000,0.0351000,6598085006
2025-05-10,KOMAUSDT,0.0351100,0.0383900,0.0290100,0.0329600,1466770761
2025-05-11,KOMAUSDT,0.0329500,0.0363900,0.0292000,0.0324100,980039820
2025-05-12,KOMAUSDT,0.0324200,0.0384200,0.0306300,0.0322400,1116969059
2025-05-13,KOMAUSDT,0.0322500,0.0340600,0.0267700,0.0326400,930032465
2025-05-14,KOMAUSDT,0.0326500,0.0341800,0.0285900,0.0291300,647227677
2025-05-15,KOMAUSDT,0.0291400,0.0292800,0.0238100,0.0249300,479355657
2025-05-16,KOMAUSDT,0.0249400,0.0272200,0.0242700,0.0250800,513447617
