Date,Symbol,Open,High,Low,Close,Volume
2021-03-15,MANAUSDT,1.0589,1.2371,0.9284,1.0547,30778555
2021-03-16,MANAUSDT,1.0527,1.0786,0.8476,0.9101,33040557
2021-03-17,MANAUSDT,0.9101,1.0969,0.7761,1.0626,126106481
2021-03-18,MANAUSDT,1.0625,1.0881,0.9625,0.9816,80594002
2021-03-19,MANAUSDT,0.9803,1.0300,0.9461,0.9653,35748964
2021-03-20,MANAUSDT,0.9655,1.0215,0.8856,0.8983,43230685
2021-03-21,MANAUSDT,0.8983,1.0295,0.8838,0.9810,47453480
2021-03-22,MANAUSDT,0.9809,0.9898,0.8857,0.9156,31044107
2021-03-23,MANAUSDT,0.9157,0.9250,0.8151,0.8486,32599707
2021-03-24,MANAUSDT,0.8485,1.0000,0.8155,0.8516,85665557
2021-03-25,MANAUSDT,0.8512,0.8825,0.7964,0.8183,33253913
2021-03-26,MANAUSDT,0.8187,0.9118,0.8180,0.8982,29447832
2021-03-27,MANAUSDT,0.8983,0.9884,0.8539,0.9266,56355723
2021-03-28,MANAUSDT,0.9272,1.1830,0.9060,1.1474,173773723
2021-03-29,MANAUSDT,1.1456,1.1865,1.0506,1.0963,97552100
2021-03-30,MANAUSDT,1.0970,1.1320,1.0400,1.0917,63130386
2021-03-31,MANAUSDT,1.0921,1.0929,0.9613,1.0217,46028238
2021-04-01,MANAUSDT,1.0216,1.0724,0.9814,1.0163,39137913
2021-04-02,MANAUSDT,1.0166,1.0750,1.0000,1.0386,30337386
2021-04-03,MANAUSDT,1.0387,1.0613,0.9082,0.9440,49781797
2021-04-04,MANAUSDT,0.9439,1.0180,0.9100,1.0049,25523257
2021-04-05,MANAUSDT,1.0049,1.0222,0.9461,1.0110,34259627
2021-04-06,MANAUSDT,1.0104,1.0147,0.9128,0.9595,26766195
2021-04-07,MANAUSDT,0.9597,0.9693,0.8300,0.9306,47519931
2021-04-08,MANAUSDT,0.9307,1.0230,0.9141,0.9906,39488848
2021-04-09,MANAUSDT,0.9913,1.1245,0.9900,1.0358,67848196
2021-04-10,MANAUSDT,1.0360,1.0450,0.9708,1.0145,31709483
2021-04-11,MANAUSDT,1.0146,1.1581,1.0051,1.0745,66539191
2021-04-12,MANAUSDT,1.0732,1.2125,1.0307,1.1322,86515848
2021-04-13,MANAUSDT,1.1333,1.1470,1.0489,1.1197,35985871
2021-04-14,MANAUSDT,1.1200,1.1295,1.0007,1.0932,34365799
2021-04-15,MANAUSDT,1.0936,1.2815,1.0731,1.2424,84521919
2021-04-16,MANAUSDT,1.2426,1.3484,1.1096,1.3088,103491172
2021-04-17,MANAUSDT,1.3098,1.6393,1.2460,1.5260,170942297
2021-04-18,MANAUSDT,1.5270,1.5427,0.9800,1.3534,150832042
2021-04-19,MANAUSDT,1.3533,1.4166,1.1600,1.3140,68401793
2021-04-20,MANAUSDT,1.3147,1.4805,1.1500,1.4048,113271052
2021-04-21,MANAUSDT,1.4046,1.4661,1.2989,1.3319,52455825
2021-04-22,MANAUSDT,1.3321,1.4114,1.1735,1.2447,66994956
2021-04-23,MANAUSDT,1.2445,1.2697,0.9423,1.2385,84789565
2021-04-24,MANAUSDT,1.2362,1.2386,1.0910,1.1021,27278638
2021-04-25,MANAUSDT,1.1019,1.1866,1.0246,1.0944,26326824
2021-04-26,MANAUSDT,1.0944,1.2487,1.0813,1.2293,29624331
2021-04-27,MANAUSDT,1.2287,1.3290,1.2119,1.3139,29476750
2021-04-28,MANAUSDT,1.3140,1.5559,1.2802,1.5490,90664178
