Date,Symbol,Open,High,Low,Close,Volume
2025-03-26,MAVIAUSDT,0.4179000,0.5200000,0.4152000,0.4644000,114266091
2025-03-27,MAVIAUSDT,0.4642000,0.5072000,0.4117000,0.4278000,192959154
2025-03-28,MAVIAUSDT,0.4281000,0.4745000,0.3982000,0.4260000,90063287
2025-03-29,MAVIAUSDT,0.4260000,0.4492000,0.3575000,0.3716000,55303388
2025-03-30,MAVIAUSDT,0.3716000,0.4597000,0.3615000,0.4308000,165470225
2025-03-31,MAVIAUSDT,0.4308000,0.4594000,0.4013000,0.4019000,112437373
2025-04-01,MAVIAUSDT,0.4020000,0.4265000,0.3955000,0.4024000,39843494
2025-04-02,MAVIAUSDT,0.4023000,0.4094000,0.3624000,0.3769000,30277063
2025-04-03,MAVIAUSDT,0.3770000,0.4187000,0.3506000,0.3633000,35096393
2025-04-04,MAVIAUSDT,0.3634000,0.3935000,0.3517000,0.3667000,25010866
2025-04-05,MAVIAUSDT,0.3668000,0.3908000,0.3608000,0.3719000,18133787
2025-04-06,MAVIAUSDT,0.3719000,0.3781000,0.2905000,0.2948000,38324361
2025-04-07,MAVIAUSDT,0.2949000,0.2971000,0.2441000,0.2665000,106557941
2025-04-08,MAVIAUSDT,0.2665000,0.2681000,0.2333000,0.2444000,72748817
2025-04-09,MAVIAUSDT,0.2444000,0.2709000,0.2354000,0.2605000,51270932
2025-04-10,MAVIAUSDT,0.2606000,0.2654000,0.2364000,0.2417000,40588609
2025-04-11,MAVIAUSDT,0.2417000,0.2563000,0.2408000,0.2486000,39677364
2025-04-12,MAVIAUSDT,0.2485000,0.2642000,0.2403000,0.2508000,44665260
2025-04-13,MAVIAUSDT,0.2509000,0.2565000,0.2222000,0.2279000,35850440
2025-04-14,MAVIAUSDT,0.2280000,0.2426000,0.2184000,0.2233000,25617630
2025-04-15,MAVIAUSDT,0.2233000,0.2253000,0.1928000,0.1939000,31036628
2025-04-16,MAVIAUSDT,0.1939000,0.2069000,0.1823000,0.1857000,47909196
2025-04-17,MAVIAUSDT,0.1857000,0.1881000,0.1713000,0.1734000,25190557
2025-04-18,MAVIAUSDT,0.1734000,0.1782000,0.1664000,0.1725000,35921071
2025-04-19,MAVIAUSDT,0.1726000,0.2322000,0.1713000,0.2058000,280716484
2025-04-20,MAVIAUSDT,0.2057000,0.2238000,0.1801000,0.1873000,86123580
2025-04-21,MAVIAUSDT,0.1872000,0.1916000,0.1759000,0.1794000,34576679
2025-04-22,MAVIAUSDT,0.1793000,0.1887000,0.1708000,0.1859000,29534864
2025-04-23,MAVIAUSDT,0.1860000,0.2820000,0.1851000,0.2457000,212387442
2025-04-24,MAVIAUSDT,0.2458000,0.2555000,0.2207000,0.2496000,76662640
2025-04-25,MAVIAUSDT,0.2494000,0.3311000,0.2348000,0.2857000,105553691
2025-04-26,MAVIAUSDT,0.2857000,0.3301000,0.2796000,0.2949000,81224016
2025-04-27,MAVIAUSDT,0.2949000,0.2969000,0.2515000,0.2550000,37334294
2025-04-28,MAVIAUSDT,0.2550000,0.2730000,0.2359000,0.2654000,37625357
2025-04-29,MAVIAUSDT,0.2654000,0.2715000,0.2409000,0.2460000,28058362
2025-04-30,MAVIAUSDT,0.2459000,0.2755000,0.2418000,0.2631000,38268058
2025-05-01,MAVIAUSDT,0.2630000,0.2736000,0.2490000,0.2552000,15053228
2025-05-02,MAVIAUSDT,0.2552000,0.2839000,0.2399000,0.2548000,15677370
2025-05-03,MAVIAUSDT,0.2545000,0.2569000,0.2261000,0.2335000,49729151
2025-05-04,MAVIAUSDT,0.2335000,0.2337000,0.2137000,0.2205000,25309139
2025-05-05,MAVIAUSDT,0.2205000,0.2255000,0.2028000,0.2064000,20823691
2025-05-06,MAVIAUSDT,0.2066000,0.2126000,0.1809000,0.1988000,37847589
2025-05-07,MAVIAUSDT,0.1989000,0.2098000,0.1929000,0.2095000,26171620
2025-05-08,MAVIAUSDT,0.2096000,0.2438000,0.2053000,0.2316000,58393824
2025-05-09,MAVIAUSDT,0.2316000,0.2631000,0.2275000,0.2611000,46244473
2025-05-10,MAVIAUSDT,0.2608000,0.2708000,0.2390000,0.2664000,35017855
2025-05-11,MAVIAUSDT,0.2663000,0.2670000,0.2437000,0.2537000,21260262
2025-05-12,MAVIAUSDT,0.2539000,0.2655000,0.2304000,0.2552000,27482847
2025-05-13,MAVIAUSDT,0.2552000,0.2720000,0.2307000,0.2594000,25049589
2025-05-14,MAVIAUSDT,0.2593000,0.2838000,0.2393000,0.2436000,38661458
2025-05-15,MAVIAUSDT,0.2436000,0.2457000,0.2080000,0.2176000,28442945
2025-05-16,MAVIAUSDT,0.2177000,0.2250000,0.2051000,0.2088000,18395887
2025-05-17,MAVIAUSDT,0.2089000,0.2096000,0.1926000,0.1988000,22558425
2025-05-18,MAVIAUSDT,0.1990000,0.2170000,0.1968000,0.2120000,19723133
2025-05-19,MAVIAUSDT,0.2122000,0.2131000,0.1915000,0.2053000,20211945
2025-05-20,MAVIAUSDT,0.2052000,0.2114000,0.1997000,0.2085000,16863174
2025-05-21,MAVIAUSDT,0.2086000,0.2180000,0.2035000,0.2114000,18143440
2025-05-22,MAVIAUSDT,0.2115000,0.2227000,0.2113000,0.2225000,15232166
2025-05-23,MAVIAUSDT,0.2226000,0.2296000,0.1935000,0.1951000,23652574
2025-05-24,MAVIAUSDT,0.1951000,0.2014000,0.1906000,0.1977000,16689198
