Date,Symbol,Open,High,Low,Close,Volume
2023-11-03,MEMEUSDT,0.0240000,0.0293960,0.0216750,0.0262190,26125225990
2023-11-04,MEMEUSDT,0.0262200,0.0265280,0.0227570,0.0251060,17042557468
2023-11-05,MEMEUSDT,0.0251050,0.0251220,0.0189000,0.0198700,17354081978
2023-11-06,MEMEUSDT,0.0198700,0.0213550,0.0191120,0.0210070,9361929519
2023-11-07,MEMEUSDT,0.0210100,0.0210100,0.0165120,0.0177960,11525219488
2023-11-08,MEMEUSDT,0.0178000,0.0191000,0.0174400,0.0181560,7601497486
2023-11-09,MEMEUSDT,0.0181560,0.0224200,0.0155400,0.0194260,20987488083
2023-11-10,MEMEUSDT,0.0194260,0.0217170,0.0186000,0.0210240,8624590476
2023-11-11,MEMEUSDT,0.0210240,0.0249900,0.0200070,0.0222500,13207419213
2023-11-12,MEMEUSDT,0.0222510,0.0225000,0.0202400,0.0217180,5409756749
2023-11-13,MEMEUSDT,0.0217250,0.0369790,0.0213000,0.0340750,55791890816
2023-11-14,MEMEUSDT,0.0340750,0.0384290,0.0290200,0.0362070,48889359081
2023-11-15,MEMEUSDT,0.0362070,0.0412270,0.0331360,0.0338910,28747136272
2023-11-16,MEMEUSDT,0.0338920,0.0361590,0.0300440,0.0310080,20595226972
2023-11-17,MEMEUSDT,0.0310110,0.0344590,0.0267920,0.0292240,19686997190
2023-11-18,MEMEUSDT,0.0292160,0.0292350,0.0251590,0.0268240,11639815365
2023-11-19,MEMEUSDT,0.0268180,0.0315550,0.0250000,0.0309450,19440635436
2023-11-20,MEMEUSDT,0.0309470,0.0310990,0.0273890,0.0278900,12766648984
2023-11-21,MEMEUSDT,0.0278900,0.0283090,0.0235000,0.0237680,15064647907
2023-11-22,MEMEUSDT,0.0237700,0.0267780,0.0237360,0.0263720,9990144761
2023-11-23,MEMEUSDT,0.0263790,0.0286090,0.0258590,0.0269840,10016896265
2023-11-24,MEMEUSDT,0.0269810,0.0285780,0.0265430,0.0271490,7741205627
2023-11-25,MEMEUSDT,0.0271480,0.0328850,0.0267790,0.0320840,16608981640
2023-11-26,MEMEUSDT,0.0320830,0.0328000,0.0280780,0.0291670,14325404434
2023-11-27,MEMEUSDT,0.0291640,0.0303050,0.0262790,0.0271750,10099251447
2023-11-28,MEMEUSDT,0.0271750,0.0285000,0.0260000,0.0281940,7599786936
2023-11-29,MEMEUSDT,0.0281940,0.0288660,0.0263180,0.0267540,5685110753
2023-11-30,MEMEUSDT,0.0267530,0.0274700,0.0261000,0.0271540,3910605944
2023-12-01,MEMEUSDT,0.0271540,0.0287690,0.0268650,0.0277230,5447235119
2023-12-02,MEMEUSDT,0.0277270,0.0328000,0.0276660,0.0314440,11470653685
2023-12-03,MEMEUSDT,0.0314400,0.0343950,0.0294740,0.0303110,10477699633
2023-12-04,MEMEUSDT,0.0303040,0.0340330,0.0265430,0.0329370,13165498406
2023-12-05,MEMEUSDT,0.0329370,0.0467150,0.0322430,0.0431150,39171351192
2023-12-06,MEMEUSDT,0.0431070,0.0474400,0.0350000,0.0400690,25423247638
2023-12-07,MEMEUSDT,0.0400910,0.0439850,0.0377220,0.0392660,18030058058
2023-12-08,MEMEUSDT,0.0392660,0.0411450,0.0380000,0.0393460,9174076159
2023-12-09,MEMEUSDT,0.0393450,0.0418820,0.0382000,0.0388410,9998385628
2023-12-10,MEMEUSDT,0.0388400,0.0405050,0.0375120,0.0386090,6650823105
2023-12-11,MEMEUSDT,0.0386070,0.0390170,0.0297000,0.0346800,9546934964
2023-12-12,MEMEUSDT,0.0346800,0.0366350,0.0330750,0.0342000,5889685390
2023-12-13,MEMEUSDT,0.0341950,0.0348140,0.0310150,0.0341820,6590565004
2023-12-14,MEMEUSDT,0.0341840,0.0358540,0.0300000,0.0349720,6781612343
2023-12-15,MEMEUSDT,0.0349710,0.0368770,0.0307550,0.0309780,7433783899
2023-12-16,MEMEUSDT,0.0309820,0.0331100,0.0306110,0.0326510,4278912099
2023-12-17,MEMEUSDT,0.0326510,0.0333450,0.0306200,0.0308720,4986816442
2023-12-18,MEMEUSDT,0.0308720,0.0313520,0.0272430,0.0291840,5943266193
