Date,Symbol,Open,High,Low,Close,Volume
2025-05-29,MERLUSDT,0.1560000,0.1560000,0.1333200,0.1346300,325252920
2025-05-30,MERLUSDT,0.1346700,0.1375400,0.1102700,0.1104000,204910316
2025-05-31,MERLUSDT,0.1104000,0.1184200,0.1088500,0.1170300,149316015
2025-06-01,MERLUSDT,0.1170000,0.1219300,0.1159200,0.1199000,89138066
2025-06-02,MERLUSDT,0.1199200,0.1410000,0.1193600,0.1395000,158417008
2025-06-03,MERLUSDT,0.1395100,0.1495000,0.1115400,0.1131300,513400555
2025-06-04,MERLUSDT,0.1131300,0.1152000,0.1043600,0.1059800,145085833
2025-06-05,MERLUSDT,0.1060100,0.1092100,0.0976000,0.1003100,100324013
2025-06-06,MERLUSDT,0.1003000,0.1061800,0.0968600,0.1007300,79944942
2025-06-07,MERLUSDT,0.1007400,0.1035300,0.0991400,0.1007400,45293565
2025-06-08,MERLUSDT,0.1007400,0.1017100,0.0953900,0.0957900,54012350
2025-06-09,MERLUSDT,0.0957800,0.1074400,0.0928000,0.1056700,76164065
2025-06-10,MERLUSDT,0.1057100,0.1062800,0.0982700,0.1014400,75484458
2025-06-11,MERLUSDT,0.1014200,0.1123000,0.0971600,0.1076600,203835389
2025-06-12,MERLUSDT,0.1076700,0.1116500,0.0970500,0.0997500,421930309
2025-06-13,MERLUSDT,0.0997500,0.0997900,0.0924400,0.0974900,151863567
2025-06-14,MERLUSDT,0.0974900,0.0995300,0.0926800,0.0954200,49812460
2025-06-15,MERLUSDT,0.0954100,0.0968800,0.0930800,0.0965300,43051461
2025-06-16,MERLUSDT,0.0965200,0.0995100,0.0942100,0.0956600,53647108
2025-06-17,MERLUSDT,0.0956500,0.0965600,0.0857800,0.0861400,55247907
2025-06-18,MERLUSDT,0.0861500,0.0883800,0.0818500,0.0842100,59820613
2025-06-19,MERLUSDT,0.0842400,0.0870400,0.0822400,0.0840100,36294301
2025-06-20,MERLUSDT,0.0840100,0.0863100,0.0781000,0.0793500,49804691
2025-06-21,MERLUSDT,0.0793600,0.0813900,0.0736200,0.0765200,36898549
2025-06-22,MERLUSDT,0.0765300,0.0782400,0.0708500,0.0749800,61320751
2025-06-23,MERLUSDT,0.0749900,0.0838600,0.0748300,0.0836200,56547676
2025-06-24,MERLUSDT,0.0836000,0.0901400,0.0830600,0.0885500,60474546
2025-06-25,MERLUSDT,0.0885400,0.0898500,0.0834700,0.0840000,48908591
2025-06-26,MERLUSDT,0.0839800,0.0881100,0.0815000,0.0830800,34309807
2025-06-27,MERLUSDT,0.0830900,0.0856400,0.0817500,0.0842800,16305129
2025-06-28,MERLUSDT,0.0842900,0.0873200,0.0831200,0.0867100,13367343
2025-06-29,MERLUSDT,0.0867100,0.0912900,0.0857200,0.0899300,20979854
2025-06-30,MERLUSDT,0.0898700,0.0904000,0.0851200,0.0869000,27754633
2025-07-01,MERLUSDT,0.0869000,0.0900000,0.0836200,0.0861900,28520259
2025-07-02,MERLUSDT,0.0861800,0.1113000,0.0845800,0.1014000,768320595
2025-07-03,MERLUSDT,0.1014500,0.1042800,0.0967100,0.0976900,104380684
2025-07-04,MERLUSDT,0.0976900,0.1019600,0.0962800,0.0991300,69004478
2025-07-05,MERLUSDT,0.0991400,0.1030300,0.0972900,0.0999700,49820093
2025-07-06,MERLUSDT,0.0999500,0.1156600,0.0975000,0.1108300,88118762
2025-07-07,MERLUSDT,0.1107800,0.1112300,0.1022800,0.1057400,83324958
2025-07-08,MERLUSDT,0.1057500,0.1109700,0.1040900,0.1090800,48722772
2025-07-09,MERLUSDT,0.1091400,0.1111600,0.1055600,0.1105900,24101131
2025-07-10,MERLUSDT,0.1105900,0.1140300,0.1059700,0.1128300,30059006
2025-07-11,MERLUSDT,0.1128900,0.1175200,0.1108400,0.1134600,45772310
2025-07-12,MERLUSDT,0.1135200,0.1146900,0.1042500,0.1098000,32400237
2025-07-13,MERLUSDT,0.1097600,0.1121100,0.1072000,0.1083000,15174378
2025-07-14,MERLUSDT,0.1082300,0.1138600,0.1042900,0.1049000,20971150
2025-07-15,MERLUSDT,0.1048500,0.1193900,0.1022200,0.1116600,95734561
2025-07-16,MERLUSDT,0.1116600,0.1161200,0.1080300,0.1123800,25686636
2025-07-17,MERLUSDT,0.1124300,0.1143400,0.1077100,0.1122600,21499223
2025-07-18,MERLUSDT,0.1122900,0.1194900,0.1065500,0.1103000,36206002
2025-07-19,MERLUSDT,0.1103100,0.1114700,0.1022500,0.1072300,19982742
2025-07-20,MERLUSDT,0.1072400,0.1226000,0.1056900,0.1140300,37836040
2025-07-21,MERLUSDT,0.1140600,0.1317200,0.1111300,0.1286800,99355046
2025-07-22,MERLUSDT,0.1286700,0.1340700,0.1222700,0.1313000,59466823
2025-07-23,MERLUSDT,0.1313900,0.1314600,0.1143600,0.1172800,40079005
2025-07-24,MERLUSDT,0.1173100,0.1656100,0.1119500,0.1151500,823868352
2025-07-25,MERLUSDT,0.1151200,0.1216400,0.1082900,0.1203800,98786067
2025-07-26,MERLUSDT,0.1203700,0.1264800,0.1173100,0.1207000,34390545
2025-07-27,MERLUSDT,0.1207000,0.1232800,0.1156400,0.1180900,30611643
2025-07-28,MERLUSDT,0.1181400,0.1335900,0.1137500,0.1147000,67136441
2025-07-29,MERLUSDT,0.1146900,0.1169600,0.1068200,0.1092300,34233954
2025-07-30,MERLUSDT,0.1092400,0.1110300,0.1025900,0.1082100,26768741
2025-07-31,MERLUSDT,0.1082100,0.1117000,0.0985900,0.0993500,27451452
2025-08-01,MERLUSDT,0.0993500,0.1032500,0.0918100,0.0982800,70635063
2025-08-02,MERLUSDT,0.0982600,0.0990700,0.0929700,0.0959900,24454594
2025-08-03,MERLUSDT,0.0959600,0.1027600,0.0950800,0.1008500,23469593
2025-08-04,MERLUSDT,0.1009200,0.1052900,0.1000000,0.1037200,18992771
2025-08-05,MERLUSDT,0.1037500,0.1048500,0.1000000,0.1026500,19031253
2025-08-06,MERLUSDT,0.1026200,0.1044400,0.0991600,0.1028700,18242155
2025-08-07,MERLUSDT,0.1028700,0.1184800,0.1011800,0.1174600,47658517
2025-08-08,MERLUSDT,0.1174800,0.1206600,0.1135700,0.1150700,35961755
2025-08-09,MERLUSDT,0.1151300,0.1196900,0.1135100,0.1161900,18152432
2025-08-10,MERLUSDT,0.1161500,0.1192300,0.1119600,0.1160200,18088673
2025-08-11,MERLUSDT,0.1159700,0.1222100,0.1090100,0.1098700,26855817
2025-08-12,MERLUSDT,0.1099300,0.1192400,0.1092200,0.1167600,19732142
2025-08-13,MERLUSDT,0.1167800,0.1190000,0.1105600,0.1126800,46018884
2025-08-14,MERLUSDT,0.1126800,0.1166400,0.1056200,0.1080700,68286317
2025-08-15,MERLUSDT,0.1080700,0.1116600,0.1065200,0.1086500,22257309
2025-08-16,MERLUSDT,0.1086600,0.1184900,0.1081200,0.1151600,39563478
2025-08-17,MERLUSDT,0.1151900,0.1199300,0.1118500,0.1147100,23621565
2025-08-18,MERLUSDT,0.1146700,0.1164500,0.1100000,0.1156500,26554762
2025-08-19,MERLUSDT,0.1157300,0.1165800,0.1089700,0.1117100,8323354
