Date,Symbol,Open,High,Low,Close,Volume
2021-03-31,MTLUSDT,7.2106,7.2106,5.7753,5.9525,5119703
2021-04-01,MTLUSDT,5.9566,6.3949,5.5386,5.5661,9093496
2021-04-02,MTLUSDT,5.5674,5.5690,5.0384,5.1322,6860573
2021-04-03,MTLUSDT,5.1398,6.8226,5.0519,6.6871,15056630
2021-04-04,MTLUSDT,6.7103,6.9687,5.8394,6.8858,15692999
2021-04-05,MTLUSDT,6.8861,6.9000,5.5718,5.6179,6779281
2021-04-06,MTLUSDT,5.6179,5.7657,4.8715,5.2124,9580290
2021-04-07,MTLUSDT,5.2158,5.3532,4.0000,4.3989,12145711
2021-04-08,MTLUSDT,4.4000,5.3000,4.3256,5.1597,8125738
2021-04-09,MTLUSDT,5.1534,5.4027,4.9266,5.3091,3780982
2021-04-10,MTLUSDT,5.3031,5.3102,4.7500,4.9360,2497402
2021-04-11,MTLUSDT,4.9324,4.9535,4.5130,4.6953,2038415
2021-04-12,MTLUSDT,4.7018,5.5938,4.6571,4.8878,8878219
2021-04-13,MTLUSDT,4.8889,4.9219,4.6529,4.8550,3231179
2021-04-14,MTLUSDT,4.8668,4.8773,4.1803,4.5864,4623664
2021-04-15,MTLUSDT,4.5897,4.8096,4.4213,4.7212,3282194
2021-04-16,MTLUSDT,4.7337,4.7387,4.1000,4.2803,4285379
2021-04-17,MTLUSDT,4.2871,4.5597,4.1192,4.2682,5754943
2021-04-18,MTLUSDT,4.2698,4.2803,2.8811,3.6182,6515962
2021-04-19,MTLUSDT,3.6200,4.7141,3.4136,3.6810,16555480
2021-04-20,MTLUSDT,3.6713,4.1871,3.1684,3.7274,9614878
2021-04-21,MTLUSDT,3.7234,5.6000,3.6156,4.5498,56564027
2021-04-22,MTLUSDT,4.5488,4.5888,3.5000,3.6454,27702295
2021-04-23,MTLUSDT,3.6421,3.7342,2.4784,3.3896,27156456
2021-04-24,MTLUSDT,3.3789,3.4279,2.9708,3.0685,9263727
2021-04-25,MTLUSDT,3.0652,3.8390,2.9529,3.2369,16315915
2021-04-26,MTLUSDT,3.2363,3.7140,3.1512,3.7140,6884167
2021-04-27,MTLUSDT,3.7140,3.9890,3.6308,3.9649,6566002
2021-04-28,MTLUSDT,3.9698,4.3435,3.6100,3.8711,7651407
2021-04-29,MTLUSDT,3.8687,4.1018,3.7466,3.9078,6410869
2021-04-30,MTLUSDT,3.9093,4.0608,3.7944,4.0373,4562157
2021-05-01,MTLUSDT,4.0417,4.1749,3.7961,4.0845,5990729
2021-05-02,MTLUSDT,4.0903,4.1483,3.7434,4.0108,5385063
