Date,Symbol,Open,High,Low,Close,Volume
2025-06-19,NEWTUSDT,0.1500000,0.3576000,0.1500000,0.2326000,212675572
2025-06-20,NEWTUSDT,0.2324000,0.2884000,0.2234000,0.2624000,249455607
2025-06-21,NEWTUSDT,0.2625000,0.3009000,0.2458000,0.2819000,177318615
2025-06-22,NEWTUSDT,0.2818000,0.3752000,0.2660000,0.3217000,130531776
2025-06-23,NEWTUSDT,0.3215000,0.4000000,0.2622000,0.3118000,215132900
2025-06-24,NEWTUSDT,0.3120000,0.6464000,0.2919000,0.5294000,1910381842
2025-06-25,NEWTUSDT,0.5290000,0.5647000,0.3856000,0.4323000,1225369025
2025-06-26,NEWTUSDT,0.4323000,0.4427000,0.3610000,0.3812000,603725187
2025-06-27,NEWTUSDT,0.3813000,0.3984000,0.3520000,0.3879000,428230833
2025-06-28,NEWTUSDT,0.3880000,0.4130000,0.3747000,0.3890000,348498237
2025-06-29,NEWTUSDT,0.3889000,0.4247000,0.3845000,0.4091000,345625233
2025-06-30,NEWTUSDT,0.4092000,0.4479000,0.3561000,0.3748000,509864484
2025-07-01,NEWTUSDT,0.3747000,0.3929000,0.3515000,0.3558000,558741069
2025-07-02,NEWTUSDT,0.3557000,0.3620000,0.3301000,0.3534000,401983610
2025-07-03,NEWTUSDT,0.3534000,0.3600000,0.3407000,0.3563000,298990115
2025-07-04,NEWTUSDT,0.3562000,0.3589000,0.3303000,0.3362000,245518922
2025-07-05,NEWTUSDT,0.3362000,0.3433000,0.3188000,0.3282000,143695181
2025-07-06,NEWTUSDT,0.3282000,0.3356000,0.3231000,0.3269000,148298844
2025-07-07,NEWTUSDT,0.3268000,0.3297000,0.3129000,0.3158000,178221102
2025-07-08,NEWTUSDT,0.3157000,0.3193000,0.3033000,0.3109000,161533778
2025-07-09,NEWTUSDT,0.3109000,0.3160000,0.3038000,0.3140000,86748000
2025-07-10,NEWTUSDT,0.3140000,0.3390000,0.3055000,0.3290000,147865944
2025-07-11,NEWTUSDT,0.3291000,0.3561000,0.3168000,0.3252000,164336158
2025-07-12,NEWTUSDT,0.3252000,0.3262000,0.3001000,0.3107000,88767893
2025-07-13,NEWTUSDT,0.3106000,0.3149000,0.3035000,0.3103000,55231921
2025-07-14,NEWTUSDT,0.3102000,0.3314000,0.2974000,0.3070000,118781192
2025-07-15,NEWTUSDT,0.3069000,0.3235000,0.3000000,0.3211000,85147083
2025-07-16,NEWTUSDT,0.3211000,0.3239000,0.3129000,0.3191000,62560841
2025-07-17,NEWTUSDT,0.3191000,0.3242000,0.3073000,0.3148000,79852381
2025-07-18,NEWTUSDT,0.3148000,0.3354000,0.3068000,0.3187000,98448445
2025-07-19,NEWTUSDT,0.3188000,0.3256000,0.3071000,0.3139000,40959791
2025-07-20,NEWTUSDT,0.3139000,0.3303000,0.3110000,0.3261000,45071387
2025-07-21,NEWTUSDT,0.3261000,0.3514000,0.3201000,0.3460000,97814897
2025-07-22,NEWTUSDT,0.3460000,0.3811000,0.3220000,0.3670000,158134069
2025-07-23,NEWTUSDT,0.3670000,0.4771000,0.3553000,0.4116000,745096109
2025-07-24,NEWTUSDT,0.4116000,0.7077000,0.3792000,0.5722000,2925076832
2025-07-25,NEWTUSDT,0.5719000,0.5719000,0.4000000,0.4324000,1032082052
2025-07-26,NEWTUSDT,0.4323000,0.4582000,0.4008000,0.4381000,427953356
2025-07-27,NEWTUSDT,0.4380000,0.4486000,0.4102000,0.4201000,177806606
2025-07-28,NEWTUSDT,0.4200000,0.4215000,0.3812000,0.3832000,160427819
2025-07-29,NEWTUSDT,0.3832000,0.4370000,0.3642000,0.3762000,358075867
2025-07-30,NEWTUSDT,0.3761000,0.3984000,0.3705000,0.3851000,241670325
2025-07-31,NEWTUSDT,0.3851000,0.3896000,0.3555000,0.3576000,106165889
2025-08-01,NEWTUSDT,0.3576000,0.3578000,0.3330000,0.3450000,113962330
2025-08-02,NEWTUSDT,0.3450000,0.3553000,0.3261000,0.3339000,86792032
2025-08-03,NEWTUSDT,0.3338000,0.3463000,0.3319000,0.3420000,46032446
2025-08-04,NEWTUSDT,0.3419000,0.3647000,0.3398000,0.3618000,87576217
2025-08-05,NEWTUSDT,0.3619000,0.3910000,0.3383000,0.3472000,222967253
2025-08-06,NEWTUSDT,0.3473000,0.3622000,0.3355000,0.3432000,121745955
2025-08-07,NEWTUSDT,0.3432000,0.3545000,0.3306000,0.3516000,88953321
2025-08-08,NEWTUSDT,0.3516000,0.3551000,0.3377000,0.3496000,77698477
2025-08-09,NEWTUSDT,0.3495000,0.3624000,0.3460000,0.3560000,56116411
2025-08-10,NEWTUSDT,0.3559000,0.3795000,0.3519000,0.3684000,112003826
2025-08-11,NEWTUSDT,0.3684000,0.3790000,0.3415000,0.3465000,96124546
2025-08-12,NEWTUSDT,0.3465000,0.3555000,0.3289000,0.3519000,77799048
2025-08-13,NEWTUSDT,0.3520000,0.3591000,0.3439000,0.3567000,58315933
2025-08-14,NEWTUSDT,0.3568000,0.3594000,0.2788000,0.3186000,100329962
2025-08-15,NEWTUSDT,0.3185000,0.3286000,0.3095000,0.3208000,47890300
2025-08-16,NEWTUSDT,0.3207000,0.3297000,0.3205000,0.3290000,33961392
2025-08-17,NEWTUSDT,0.3290000,0.3354000,0.3256000,0.3266000,30085305
2025-08-18,NEWTUSDT,0.3265000,0.3270000,0.3056000,0.3106000,48457809
2025-08-19,NEWTUSDT,0.3106000,0.3138000,0.2992000,0.3046000,13906696
