Date,Symbol,Open,High,Low,Close,Volume
2025-05-07,OBOLUSDT,0.4220000,0.4400000,0.2630000,0.2734700,505203863
2025-05-08,OBOLUSDT,0.2734000,0.3242300,0.2379600,0.2575800,506763116
2025-05-09,OBOLUSDT,0.2575800,0.2967700,0.2501500,0.2743800,190595759
2025-05-10,OBOLUSDT,0.2744000,0.3177800,0.2625000,0.2938100,149800748
2025-05-11,OBOLUSDT,0.2936400,0.3169500,0.2814400,0.3069000,87560291
2025-05-12,OBOLUSDT,0.3068800,0.3344600,0.2705000,0.3195400,113647243
2025-05-13,OBOLUSDT,0.3195500,0.3205700,0.2224400,0.2336900,239121361
2025-05-14,OBOLUSDT,0.2336900,0.2396000,0.2030400,0.2127800,189738891
2025-05-15,OBOLUSDT,0.2127200,0.2155500,0.1823600,0.1918700,146216674
2025-05-16,OBOLUSDT,0.1918100,0.1954200,0.1630000,0.1634000,107004341
2025-05-17,OBOLUSDT,0.1634700,0.1685000,0.1480000,0.1598900,142345517
2025-05-18,OBOLUSDT,0.1598500,0.1781600,0.1546600,0.1656100,111939451
2025-05-19,OBOLUSDT,0.1656200,0.1661700,0.1448500,0.1575700,82865635
2025-05-20,OBOLUSDT,0.1575400,0.1692400,0.1522000,0.1644100,116627118
2025-05-21,OBOLUSDT,0.1644200,0.1675800,0.1540000,0.1599600,108552859
2025-05-22,OBOLUSDT,0.1599300,0.1649600,0.1556400,0.1620300,76199243
2025-05-23,OBOLUSDT,0.1619600,0.1676700,0.1406500,0.1591500,117474532
2025-05-24,OBOLUSDT,0.1591000,0.1628000,0.1527000,0.1553200,54515423
2025-05-25,OBOLUSDT,0.1553700,0.1674000,0.1512200,0.1656000,112374448
2025-05-26,OBOLUSDT,0.1655600,0.1694100,0.1510000,0.1576000,76280531
2025-05-27,OBOLUSDT,0.1575800,0.1620900,0.1536000,0.1567100,48203813
2025-05-28,OBOLUSDT,0.1565800,0.1641900,0.1551000,0.1600500,44998552
2025-05-29,OBOLUSDT,0.1600500,0.1627900,0.1355000,0.1444000,48370879
2025-05-30,OBOLUSDT,0.1444800,0.1484000,0.1281000,0.1327700,79187318
2025-05-31,OBOLUSDT,0.1328100,0.1335400,0.1123200,0.1229600,99789769
2025-06-01,OBOLUSDT,0.1229800,0.1280900,0.1178000,0.1246600,29881892
2025-06-02,OBOLUSDT,0.1247200,0.1278300,0.1142600,0.1239200,52276027
2025-06-03,OBOLUSDT,0.1239300,0.1380000,0.1222000,0.1362000,61465332
2025-06-04,OBOLUSDT,0.1362800,0.1538800,0.1357100,0.1494500,277085174
2025-06-05,OBOLUSDT,0.1494400,0.1563600,0.1390400,0.1514600,185864466
2025-06-06,OBOLUSDT,0.1514100,0.1550600,0.1421600,0.1466600,75786086
2025-06-07,OBOLUSDT,0.1466700,0.1499400,0.1415100,0.1467400,27481696
2025-06-08,OBOLUSDT,0.1466800,0.1493600,0.1434400,0.1450800,18668187
2025-06-09,OBOLUSDT,0.1451700,0.1509900,0.1433800,0.1503700,12908265
2025-06-10,OBOLUSDT,0.1503700,0.1556100,0.1420400,0.1478000,24233697
2025-06-11,OBOLUSDT,0.1478200,0.1545400,0.1040400,0.1295300,177444276
2025-06-12,OBOLUSDT,0.1295600,0.1310000,0.1235900,0.1268200,51745807
2025-06-13,OBOLUSDT,0.1268400,0.1271500,0.1102600,0.1141300,50329664
2025-06-14,OBOLUSDT,0.1140800,0.1168500,0.0985500,0.1017900,59831843
2025-06-15,OBOLUSDT,0.1017800,0.1235600,0.1013300,0.1216600,105482797
2025-06-16,OBOLUSDT,0.1216200,0.1232600,0.1168100,0.1230700,47159218
2025-06-17,OBOLUSDT,0.1231000,0.1523300,0.1227200,0.1379000,1087843336
2025-06-18,OBOLUSDT,0.1378900,0.1399900,0.1222800,0.1267400,241098544
2025-06-19,OBOLUSDT,0.1267000,0.1297300,0.1224600,0.1251200,66812605
2025-06-20,OBOLUSDT,0.1251300,0.1272900,0.1166700,0.1241400,55824049
2025-06-21,OBOLUSDT,0.1241600,0.1593500,0.1232100,0.1584100,277055167
2025-06-22,OBOLUSDT,0.1583500,0.1643900,0.1372800,0.1426600,732926250
2025-06-23,OBOLUSDT,0.1426500,0.1565200,0.1358500,0.1449100,215300518
2025-06-24,OBOLUSDT,0.1448000,0.1504100,0.1354400,0.1408700,116085645
2025-06-25,OBOLUSDT,0.1408800,0.1455900,0.1327300,0.1404800,63503167
2025-06-26,OBOLUSDT,0.1405400,0.1478300,0.1340000,0.1379800,65037632
2025-06-27,OBOLUSDT,0.1379700,0.1470700,0.1353600,0.1372700,52059101
2025-06-28,OBOLUSDT,0.1372800,0.1496800,0.1296600,0.1425900,87003779
2025-06-29,OBOLUSDT,0.1426100,0.1450300,0.1357300,0.1397200,28940463
2025-06-30,OBOLUSDT,0.1397200,0.1409400,0.1331400,0.1360400,25131119
2025-07-01,OBOLUSDT,0.1360100,0.1462400,0.1327200,0.1447700,42642060
2025-07-02,OBOLUSDT,0.1447600,0.1464900,0.1353900,0.1417400,32383682
2025-07-03,OBOLUSDT,0.1417400,0.1455600,0.1392900,0.1428700,18180289
2025-07-04,OBOLUSDT,0.1428400,0.1446700,0.1335000,0.1350000,23270575
2025-07-05,OBOLUSDT,0.1350300,0.1368500,0.0931700,0.0966800,193652821
2025-07-06,OBOLUSDT,0.0967000,0.1042700,0.0920100,0.1015300,136693802
2025-07-07,OBOLUSDT,0.1015700,0.1033300,0.0942100,0.0951700,64982500
2025-07-08,OBOLUSDT,0.0951500,0.0997600,0.0932600,0.0974700,44512217
2025-07-09,OBOLUSDT,0.0974900,0.0995800,0.0889900,0.0922800,66412049
2025-07-10,OBOLUSDT,0.0922500,0.0977700,0.0915000,0.0977700,56626737
2025-07-11,OBOLUSDT,0.0977000,0.1128400,0.0971500,0.1081500,77851126
2025-07-12,OBOLUSDT,0.1081100,0.1152600,0.0989800,0.1036900,65801671
2025-07-13,OBOLUSDT,0.1036600,0.1157500,0.1017600,0.1129100,47107813
2025-07-14,OBOLUSDT,0.1128700,0.1159400,0.1092500,0.1156100,45293139
2025-07-15,OBOLUSDT,0.1155500,0.1232100,0.1071600,0.1125800,69799620
2025-07-16,OBOLUSDT,0.1125800,0.1197000,0.1109600,0.1179700,33692632
2025-07-17,OBOLUSDT,0.1178400,0.1187700,0.1066500,0.1127200,41808081
2025-07-18,OBOLUSDT,0.1127300,0.1233100,0.1089900,0.1145600,45797968
2025-07-19,OBOLUSDT,0.1145600,0.1162300,0.1070700,0.1102300,20022727
2025-07-20,OBOLUSDT,0.1102000,0.1185000,0.1083300,0.1151600,26790106
2025-07-21,OBOLUSDT,0.1151400,0.1195900,0.1114500,0.1144100,26189222
2025-07-22,OBOLUSDT,0.1144400,0.1166100,0.1071900,0.1145300,28410891
2025-07-23,OBOLUSDT,0.1145400,0.1269000,0.1040200,0.1124700,79266202
2025-07-24,OBOLUSDT,0.1125000,0.1216800,0.1044200,0.1100400,65393779
2025-07-25,OBOLUSDT,0.1100200,0.1273800,0.1054100,0.1232300,89790655
2025-07-26,OBOLUSDT,0.1232400,0.1560400,0.1182100,0.1541300,382046247
2025-07-27,OBOLUSDT,0.1541300,0.2004000,0.1151400,0.1164200,1385866243
2025-07-28,OBOLUSDT,0.1164200,0.1320100,0.1142100,0.1234300,266001507
2025-07-29,OBOLUSDT,0.1233900,0.1387800,0.1157900,0.1338100,202868226
2025-07-30,OBOLUSDT,0.1337000,0.1350600,0.1160000,0.1199100,117562504
2025-07-31,OBOLUSDT,0.1199200,0.1233200,0.1149000,0.1157600,58428585
2025-08-01,OBOLUSDT,0.1157500,0.1170800,0.1058000,0.1100600,57045128
2025-08-02,OBOLUSDT,0.1100600,0.1164500,0.1082500,0.1151100,45512541
2025-08-03,OBOLUSDT,0.1151100,0.1237200,0.1134200,0.1163500,55718350
2025-08-04,OBOLUSDT,0.1163100,0.1254500,0.1148900,0.1235800,73935608
2025-08-05,OBOLUSDT,0.1235800,0.1242200,0.1129500,0.1160000,65429310
2025-08-06,OBOLUSDT,0.1160500,0.1309000,0.1136200,0.1305400,91143237
2025-08-07,OBOLUSDT,0.1305400,0.1344600,0.1218100,0.1261200,114280598
2025-08-08,OBOLUSDT,0.1261500,0.1289500,0.1222200,0.1277300,32967578
2025-08-09,OBOLUSDT,0.1276500,0.1324800,0.1235800,0.1295400,31077421
2025-08-10,OBOLUSDT,0.1295400,0.1420000,0.1264500,0.1405200,100301393
2025-08-11,OBOLUSDT,0.1405700,0.1512000,0.1273700,0.1292200,76148094
2025-08-12,OBOLUSDT,0.1292200,0.1366100,0.1240500,0.1341100,25111845
2025-08-13,OBOLUSDT,0.1341100,0.1498300,0.1308700,0.1479600,34653607
2025-08-14,OBOLUSDT,0.1479300,0.1580000,0.1197700,0.1222800,89120193
2025-08-15,OBOLUSDT,0.1223400,0.1289300,0.1152100,0.1182400,38573449
2025-08-16,OBOLUSDT,0.1181800,0.1229900,0.1156100,0.1214100,15431015
2025-08-17,OBOLUSDT,0.1213800,0.1245300,0.1180000,0.1189800,14736645
2025-08-18,OBOLUSDT,0.1189900,0.1192400,0.1097800,0.1117100,18737230
2025-08-19,OBOLUSDT,0.1117900,0.1137300,0.1080300,0.1098300,5415336
