Date,Symbol,Open,High,Low,Close,Volume
2024-12-17,PENGUUSDT,0.0334010,0.0394660,0.0267750,0.0286590,17905123859
2024-12-18,PENGUUSDT,0.0286560,0.0395680,0.0262160,0.0356000,46561150833
2024-12-19,PENGUUSDT,0.0356000,0.0369720,0.0268440,0.0286330,24628795112
2024-12-20,PENGUUSDT,0.0286340,0.0299480,0.0228880,0.0278230,17231525454
2024-12-21,PENGUUSDT,0.0278210,0.0323380,0.0273350,0.0286340,11810411579
2024-12-22,PENGUUSDT,0.0286350,0.0286350,0.0254010,0.0259800,8535140565
2024-12-23,PENGUUSDT,0.0259860,0.0309770,0.0251930,0.0302380,9309810372
2024-12-24,PENGUUSDT,0.0302410,0.0376530,0.0280360,0.0359040,25749247178
2024-12-25,PENGUUSDT,0.0359080,0.0395000,0.0343000,0.0377230,16592175017
2024-12-26,PENGUUSDT,0.0377230,0.0435570,0.0361510,0.0381410,23762000934
2024-12-27,PENGUUSDT,0.0381410,0.0382360,0.0332670,0.0338940,11464144948
2024-12-28,PENGUUSDT,0.0338940,0.0370000,0.0331540,0.0360530,8238904355
2024-12-29,PENGUUSDT,0.0360530,0.0365370,0.0315180,0.0319190,5677832719
2024-12-30,PENGUUSDT,0.0319200,0.0330940,0.0301180,0.0309990,6951109206
2024-12-31,PENGUUSDT,0.0309990,0.0343920,0.0296080,0.0333360,8053497134
2025-01-01,PENGUUSDT,0.0333360,0.0402200,0.0329080,0.0392840,12890192014
2025-01-02,PENGUUSDT,0.0392840,0.0409000,0.0368690,0.0372540,9354852861
2025-01-03,PENGUUSDT,0.0372540,0.0377160,0.0341090,0.0372360,7502515546
2025-01-04,PENGUUSDT,0.0372350,0.0422870,0.0356650,0.0405210,12165212001
2025-01-05,PENGUUSDT,0.0405230,0.0444990,0.0398060,0.0400780,14757936974
2025-01-06,PENGUUSDT,0.0400760,0.0470000,0.0394250,0.0430550,15629961971
2025-01-07,PENGUUSDT,0.0430560,0.0438060,0.0371620,0.0372960,10065110977
2025-01-08,PENGUUSDT,0.0372970,0.0380190,0.0326820,0.0358970,10768380313
2025-01-09,PENGUUSDT,0.0358980,0.0373290,0.0313900,0.0333030,10886385010
2025-01-10,PENGUUSDT,0.0333030,0.0358190,0.0322690,0.0334740,8609346610
2025-01-11,PENGUUSDT,0.0334750,0.0338200,0.0316050,0.0329680,4775472631
2025-01-12,PENGUUSDT,0.0329680,0.0341420,0.0314660,0.0324870,5690725549
2025-01-13,PENGUUSDT,0.0324850,0.0342580,0.0278380,0.0313580,13599718165
2025-01-14,PENGUUSDT,0.0313580,0.0335860,0.0309750,0.0320380,6919015051
2025-01-15,PENGUUSDT,0.0320380,0.0361340,0.0301930,0.0355420,8519067356
2025-01-16,PENGUUSDT,0.0355400,0.0356030,0.0318780,0.0326760,5958310838
2025-01-17,PENGUUSDT,0.0326770,0.0340800,0.0314800,0.0324790,5740769102
2025-01-18,PENGUUSDT,0.0324800,0.0330640,0.0266180,0.0295440,10540657969
2025-01-19,PENGUUSDT,0.0295440,0.0299490,0.0251360,0.0253480,13265650599
2025-01-20,PENGUUSDT,0.0253440,0.0273950,0.0223880,0.0246920,15722290348
2025-01-21,PENGUUSDT,0.0246880,0.0250720,0.0223760,0.0236010,9473192907
2025-01-22,PENGUUSDT,0.0236020,0.0267060,0.0229320,0.0242680,10722981684
2025-01-23,PENGUUSDT,0.0242680,0.0261090,0.0230900,0.0239090,10722799748
2025-01-24,PENGUUSDT,0.0239100,0.0257750,0.0226510,0.0227430,6303733645
2025-01-25,PENGUUSDT,0.0227390,0.0233840,0.0217390,0.0230370,6814553393
2025-01-26,PENGUUSDT,0.0230360,0.0274000,0.0229230,0.0247370,11311621178
2025-01-27,PENGUUSDT,0.0247360,0.0250490,0.0206680,0.0212580,14993572612
2025-01-28,PENGUUSDT,0.0212590,0.0218220,0.0153200,0.0155220,27638619480
2025-01-29,PENGUUSDT,0.0155220,0.0169030,0.0149520,0.0150700,19593615496
2025-01-30,PENGUUSDT,0.0150720,0.0158800,0.0144170,0.0146960,17957423034
2025-01-31,PENGUUSDT,0.0146970,0.0158850,0.0138110,0.0147830,20120394828
2025-02-01,PENGUUSDT,0.0147840,0.0171310,0.0132620,0.0135550,24251798003
