Date,Symbol,Open,High,Low,Close,Volume
2023-02-16,PHBUSDT,1.1621000,1.2200000,1.0590000,1.0696000,3480045
2023-02-17,PHBUSDT,1.0678000,1.2669000,1.0650000,1.2119000,24004081
2023-02-18,PHBUSDT,1.2118000,1.4443000,1.1947000,1.3432000,74132212
2023-02-19,PHBUSDT,1.3432000,1.3669000,1.2560000,1.2627000,26614521
2023-02-20,PHBUSDT,1.2629000,1.6473000,1.1937000,1.5065000,52293841
2023-02-21,PHBUSDT,1.5066000,1.6850000,1.3800000,1.4750000,43715164
2023-02-22,PHBUSDT,1.4749000,1.5775000,1.3500000,1.4326000,28072609
2023-02-23,PHBUSDT,1.4320000,1.5222000,1.3579000,1.4044000,18638187
2023-02-24,PHBUSDT,1.4044000,1.4210000,1.2326000,1.2944000,15022236
2023-02-25,PHBUSDT,1.2950000,1.3740000,1.2661000,1.3248000,22410329
2023-02-26,PHBUSDT,1.3248000,1.3825000,1.3036000,1.3593000,8536888
2023-02-27,PHBUSDT,1.3592000,1.3622000,1.2696000,1.2943000,9609778
2023-02-28,PHBUSDT,1.2946000,1.4129000,1.2827000,1.3356000,19574161
2023-03-01,PHBUSDT,1.3359000,1.4440000,1.3013000,1.4268000,15805235
2023-03-02,PHBUSDT,1.4269000,1.4490000,1.3274000,1.3616000,10371527
2023-03-03,PHBUSDT,1.3610000,1.3660000,1.1700000,1.2527000,8955091
2023-03-04,PHBUSDT,1.2528000,1.2800000,1.1500000,1.2035000,8997345
2023-03-05,PHBUSDT,1.2036000,1.2344000,1.1808000,1.1876000,5721793
2023-03-06,PHBUSDT,1.1882000,1.2083000,1.1510000,1.1921000,5373270
2023-03-07,PHBUSDT,1.1924000,1.2584000,1.1246000,1.1598000,16928137
2023-03-08,PHBUSDT,1.1596000,1.1678000,1.0700000,1.0998000,14776038
2023-03-09,PHBUSDT,1.0998000,1.1107000,0.9510000,0.9994000,16675272
2023-03-10,PHBUSDT,0.9992000,1.0083000,0.8699000,0.9171000,24765729
2023-03-11,PHBUSDT,0.9172000,0.9457000,0.8455000,0.9025000,18750089
