Date,Symbol,Open,High,Low,Close,Volume
2024-11-11,PNUTUSDT,0.4305200,0.4491000,0.3280000,0.3910100,535908319
2024-11-12,PNUTUSDT,0.3909600,0.5509000,0.3802000,0.4427000,1496163214
2024-11-13,PNUTUSDT,0.4427600,1.8653000,0.4152400,1.6917100,5866903353
2024-11-14,PNUTUSDT,1.6920700,2.5131100,1.6251000,1.7665200,2713072455
2024-11-15,PNUTUSDT,1.7662000,2.2051400,1.5370700,1.7337900,2020155864
2024-11-16,PNUTUSDT,1.7337800,1.9470000,1.6251700,1.6886000,889827090
2024-11-17,PNUTUSDT,1.6884600,1.8879900,1.4639000,1.7927400,979066408
2024-11-18,PNUTUSDT,1.7925400,1.9426200,1.5357600,1.5996600,742253830
2024-11-19,PNUTUSDT,1.5996600,1.8764800,1.5102600,1.7024000,1051798196
2024-11-20,PNUTUSDT,1.7024000,1.7277200,1.4100000,1.4283900,851298732
2024-11-21,PNUTUSDT,1.4282500,1.5388900,1.2600000,1.3493100,1337355272
2024-11-22,PNUTUSDT,1.3495900,1.3645700,1.0428700,1.1302000,1417525798
2024-11-23,PNUTUSDT,1.1302000,1.2866600,1.0687600,1.1170900,1165387040
2024-11-24,PNUTUSDT,1.1170800,1.2777700,1.0671600,1.1686700,1089286636
2024-11-25,PNUTUSDT,1.1686600,1.4180400,1.0810600,1.1301000,1359292409
2024-11-26,PNUTUSDT,1.1300500,1.2225400,1.0300100,1.0846000,989965614
2024-11-27,PNUTUSDT,1.0846500,1.1681300,1.0125200,1.0935200,1035482267
2024-11-28,PNUTUSDT,1.0935000,1.1868900,1.0655100,1.1023300,693807128
2024-11-29,PNUTUSDT,1.1023700,1.3689900,1.1023700,1.2844500,1327472013
2024-11-30,PNUTUSDT,1.2844600,1.2847100,1.1758700,1.1880300,605025636
2024-12-01,PNUTUSDT,1.1880100,1.2851200,1.1242200,1.2143000,699805228
2024-12-02,PNUTUSDT,1.2143600,1.3684500,1.0455000,1.3109600,1155955559
2024-12-03,PNUTUSDT,1.3112200,1.4632600,1.1546700,1.2197600,882970364
2024-12-04,PNUTUSDT,1.2197600,1.3560000,1.2000000,1.2562700,715113173
2024-12-05,PNUTUSDT,1.2563100,1.5550000,1.1894800,1.4323500,1081009360
2024-12-06,PNUTUSDT,1.4325700,1.4980000,1.3200800,1.3506800,560273459
2024-12-07,PNUTUSDT,1.3506900,1.5487800,1.3387000,1.4569600,714275238
2024-12-08,PNUTUSDT,1.4570600,1.5880000,1.4113900,1.4463700,562620251
2024-12-09,PNUTUSDT,1.4463800,1.4481600,0.9591700,1.1513300,1103639309
2024-12-10,PNUTUSDT,1.1513300,1.1819300,0.9500000,1.0340700,873180732
2024-12-11,PNUTUSDT,1.0340700,1.4032200,0.9962000,1.2957100,1146462053
2024-12-12,PNUTUSDT,1.2957100,1.3368900,1.2226600,1.2493900,734225675
2024-12-13,PNUTUSDT,1.2494000,1.2780000,1.1807700,1.2186600,459625588
2024-12-14,PNUTUSDT,1.2186600,1.2441600,1.1203200,1.1455500,384094112
2024-12-15,PNUTUSDT,1.1456000,1.1779200,1.1015100,1.1513600,313603086
2024-12-16,PNUTUSDT,1.1513900,1.1727300,1.0511000,1.0840700,504151243
2024-12-17,PNUTUSDT,1.0840700,1.1500000,1.0123400,1.0428700,547124046
2024-12-18,PNUTUSDT,1.0427100,1.0557200,0.8303700,0.8652100,842356078
2024-12-19,PNUTUSDT,0.8652500,0.8664400,0.6642000,0.6654200,1432949198
2024-12-20,PNUTUSDT,0.6654100,0.7190800,0.5867200,0.6964300,1456428860
2024-12-21,PNUTUSDT,0.6963400,0.7445600,0.5988100,0.6126600,993338050
2024-12-22,PNUTUSDT,0.6125700,0.7882300,0.6009500,0.7056700,1914607052
2024-12-23,PNUTUSDT,0.7056600,0.7553900,0.6770100,0.7317600,1181439743
2024-12-24,PNUTUSDT,0.7317600,0.7772800,0.7255300,0.7711200,707268421
2024-12-25,PNUTUSDT,0.7711200,0.7711200,0.6854800,0.6909400,571335224
2024-12-26,PNUTUSDT,0.6909900,0.6995300,0.6418000,0.6564600,531470046
2024-12-27,PNUTUSDT,0.6564700,0.6800700,0.6234100,0.6304100,426701021
2024-12-28,PNUTUSDT,0.6304300,0.6492400,0.5966200,0.6385500,387351746
2024-12-29,PNUTUSDT,0.6386000,0.6386900,0.5847900,0.5959000,311346398
2024-12-30,PNUTUSDT,0.5959100,0.7239700,0.5933300,0.6806400,1456859885
2024-12-31,PNUTUSDT,0.6806400,0.7148000,0.6249300,0.6733200,799283084
