Date,Symbol,Open,High,Low,Close,Volume
2025-06-04,PORT3USDT,0.0483100,0.0555800,0.0476000,0.0515800,1319669389
2025-06-05,PORT3USDT,0.0515600,0.0539400,0.0451900,0.0454200,809187240
2025-06-06,PORT3USDT,0.0454200,0.0493100,0.0431700,0.0488200,436489926
2025-06-07,PORT3USDT,0.0488000,0.0544200,0.0470000,0.0488600,953434958
2025-06-08,PORT3USDT,0.0488800,0.0505400,0.0465500,0.0495900,224045557
2025-06-09,PORT3USDT,0.0495900,0.0517300,0.0486800,0.0500400,158337195
2025-06-10,PORT3USDT,0.0500300,0.0503000,0.0461900,0.0486400,142978126
2025-06-11,PORT3USDT,0.0486500,0.0494300,0.0451800,0.0465500,101719680
2025-06-12,PORT3USDT,0.0465500,0.0489500,0.0456000,0.0461700,126427766
2025-06-13,PORT3USDT,0.0461500,0.0506600,0.0420900,0.0490400,309098745
2025-06-14,PORT3USDT,0.0490500,0.0502800,0.0460000,0.0485800,121712567
2025-06-15,PORT3USDT,0.0485700,0.0490000,0.0467000,0.0479700,57642772
2025-06-16,PORT3USDT,0.0479700,0.0489700,0.0458100,0.0460000,63253132
2025-06-17,PORT3USDT,0.0460100,0.0480000,0.0452200,0.0467900,84318971
2025-06-18,PORT3USDT,0.0467900,0.0479900,0.0429900,0.0471700,159762235
2025-06-19,PORT3USDT,0.0471800,0.0480800,0.0452300,0.0480800,67249582
2025-06-20,PORT3USDT,0.0480900,0.0482200,0.0434900,0.0437600,62297610
2025-06-21,PORT3USDT,0.0437600,0.0451900,0.0398000,0.0445000,142181775
2025-06-22,PORT3USDT,0.0445200,0.0459300,0.0430600,0.0453800,108457265
2025-06-23,PORT3USDT,0.0453800,0.0470400,0.0434100,0.0462400,66257599
2025-06-24,PORT3USDT,0.0462200,0.0472000,0.0432500,0.0448000,59769924
2025-06-25,PORT3USDT,0.0447900,0.0448000,0.0421000,0.0424100,50506745
2025-06-26,PORT3USDT,0.0423800,0.0451800,0.0418900,0.0423600,59021176
2025-06-27,PORT3USDT,0.0424000,0.0444200,0.0412200,0.0424500,38967302
2025-06-28,PORT3USDT,0.0424700,0.0427000,0.0408400,0.0421800,20045391
2025-06-29,PORT3USDT,0.0421700,0.0430900,0.0410700,0.0426700,36250724
2025-06-30,PORT3USDT,0.0426700,0.0448900,0.0407100,0.0436900,44413703
2025-07-01,PORT3USDT,0.0436800,0.0445300,0.0407000,0.0411800,36791609
2025-07-02,PORT3USDT,0.0411300,0.0423800,0.0407300,0.0411700,28593369
2025-07-03,PORT3USDT,0.0411700,0.0438800,0.0396500,0.0435200,87792234
2025-07-04,PORT3USDT,0.0435500,0.0447700,0.0413200,0.0442300,236164000
2025-07-05,PORT3USDT,0.0442500,0.0455000,0.0398400,0.0420500,167572998
2025-07-06,PORT3USDT,0.0420500,0.0438300,0.0410700,0.0418400,40219410
2025-07-07,PORT3USDT,0.0418600,0.0547200,0.0311000,0.0314500,1051909143
2025-07-08,PORT3USDT,0.0314600,0.0321500,0.0234100,0.0243100,1812707245
2025-07-09,PORT3USDT,0.0242800,0.0260500,0.0217000,0.0252400,719601613
2025-07-10,PORT3USDT,0.0252500,0.0271900,0.0240100,0.0257000,456795193
2025-07-11,PORT3USDT,0.0256900,0.0274100,0.0241200,0.0248400,481736361
2025-07-12,PORT3USDT,0.0248200,0.0257300,0.0220900,0.0234500,275921561
2025-07-13,PORT3USDT,0.0234400,0.0239800,0.0224900,0.0235500,117919663
2025-07-14,PORT3USDT,0.0235700,0.0270900,0.0216200,0.0219800,514815064
2025-07-15,PORT3USDT,0.0219800,0.0259700,0.0206600,0.0228600,299693640
2025-07-16,PORT3USDT,0.0228600,0.0235500,0.0215100,0.0223500,126282362
2025-07-17,PORT3USDT,0.0223400,0.0229400,0.0216700,0.0219700,91235107
2025-07-18,PORT3USDT,0.0219900,0.0236900,0.0216700,0.0224000,268819752
2025-07-19,PORT3USDT,0.0224100,0.0229200,0.0218700,0.0224200,187245977
2025-07-20,PORT3USDT,0.0224100,0.0313500,0.0222100,0.0298700,578312922
2025-07-21,PORT3USDT,0.0298600,0.0367800,0.0279700,0.0347400,1959398853
2025-07-22,PORT3USDT,0.0347300,0.0372200,0.0293900,0.0317800,416674388
2025-07-23,PORT3USDT,0.0317700,0.0498500,0.0308500,0.0413800,1833061059
2025-07-24,PORT3USDT,0.0413800,0.0453700,0.0363500,0.0404700,644762951
2025-07-25,PORT3USDT,0.0404800,0.0404900,0.0367800,0.0382400,134762766
2025-07-26,PORT3USDT,0.0382500,0.0388600,0.0379000,0.0382600,64215473
2025-07-27,PORT3USDT,0.0382500,0.0388000,0.0379900,0.0383200,32170758
2025-07-28,PORT3USDT,0.0383300,0.0385800,0.0379300,0.0381800,39656749
2025-07-29,PORT3USDT,0.0381600,0.0420500,0.0375200,0.0411000,162117335
2025-07-30,PORT3USDT,0.0411200,0.0420700,0.0378800,0.0386200,98978253
2025-07-31,PORT3USDT,0.0386000,0.0393100,0.0358600,0.0374500,109658700
2025-08-01,PORT3USDT,0.0374500,0.0422900,0.0361100,0.0385300,592317854
2025-08-02,PORT3USDT,0.0385300,0.0408300,0.0363300,0.0371000,90834083
2025-08-03,PORT3USDT,0.0370800,0.0390700,0.0364800,0.0389100,28344576
2025-08-04,PORT3USDT,0.0389100,0.0402800,0.0351800,0.0369300,59800803
2025-08-05,PORT3USDT,0.0369200,0.0370700,0.0343700,0.0366300,74505482
2025-08-06,PORT3USDT,0.0366300,0.0376600,0.0324400,0.0341300,47297086
2025-08-07,PORT3USDT,0.0341300,0.0388200,0.0321300,0.0381100,102861344
2025-08-08,PORT3USDT,0.0381100,0.0393400,0.0362900,0.0386300,68683715
2025-08-09,PORT3USDT,0.0386400,0.0405800,0.0372300,0.0396900,44632847
2025-08-10,PORT3USDT,0.0396800,0.0480000,0.0377500,0.0472000,256433370
2025-08-11,PORT3USDT,0.0472200,0.0566500,0.0411700,0.0520300,1857446366
2025-08-12,PORT3USDT,0.0520500,0.0669100,0.0428300,0.0456000,1641307720
2025-08-13,PORT3USDT,0.0455900,0.0468200,0.0400600,0.0438300,281514797
2025-08-14,PORT3USDT,0.0438200,0.0452200,0.0324600,0.0327600,285574155
2025-08-15,PORT3USDT,0.0327600,0.0429000,0.0325200,0.0422400,636659330
2025-08-16,PORT3USDT,0.0422100,0.0441900,0.0401000,0.0432700,394163742
2025-08-17,PORT3USDT,0.0432500,0.0463700,0.0380300,0.0398700,282951037
2025-08-18,PORT3USDT,0.0398500,0.0425600,0.0393200,0.0399900,163390249
2025-08-19,PORT3USDT,0.0399900,0.0406700,0.0386400,0.0393100,21279350
