Date,Symbol,Open,High,Low,Close,Volume
2025-08-05,PROVEUSDT,0.760000,1.049100,0.511100,0.992300,571625675.4
2025-08-06,PROVEUSDT,0.992100,1.550000,0.911100,1.091800,1441595343.9
2025-08-07,PROVEUSDT,1.091800,1.103300,0.953100,1.000200,365421655.8
2025-08-08,PROVEUSDT,1.000000,1.059800,0.964000,1.047400,176917003.5
2025-08-09,PROVEUSDT,1.047400,1.488100,1.000900,1.411300,400559485.4
2025-08-10,PROVEUSDT,1.411300,1.599800,1.323900,1.407100,670444297.0
2025-08-11,PROVEUSDT,1.407000,1.744800,1.383000,1.605600,483953372.3
2025-08-12,PROVEUSDT,1.605600,1.728700,1.395000,1.530300,460788682.9
2025-08-13,PROVEUSDT,1.530200,1.544000,1.414800,1.476900,250526664.7
2025-08-14,PROVEUSDT,1.476900,1.518900,1.172800,1.319500,433551895.7
2025-08-15,PROVEUSDT,1.319400,1.336000,1.185500,1.232700,135565613.2
2025-08-16,PROVEUSDT,1.232700,1.367600,1.226400,1.333400,158867808.3
2025-08-17,PROVEUSDT,1.333300,1.395000,1.303200,1.326800,122828100.7
2025-08-18,PROVEUSDT,1.326800,1.340000,1.207300,1.233000,115433882.4
2025-08-19,PROVEUSDT,1.233100,1.266300,1.196200,1.241500,41421854.4
