Date,Symbol,Open,High,Low,Close,Volume
2024-09-06,QUICKUSDT,0.0436600,0.0494900,0.0422600,0.0453500,2517989098
2024-09-07,QUICKUSDT,0.0453500,0.0456100,0.0407100,0.0415100,797379512
2024-09-08,QUICKUSDT,0.0415200,0.0427000,0.0400000,0.0413400,325110332
2024-09-09,QUICKUSDT,0.0413500,0.0418000,0.0393600,0.0408600,300229392
2024-09-10,QUICKUSDT,0.0408600,0.0424000,0.0402200,0.0416300,271803658
2024-09-11,QUICKUSDT,0.0416300,0.0452000,0.0408700,0.0440400,804814247
2024-09-12,QUICKUSDT,0.0440400,0.0453200,0.0422500,0.0443500,391805675
2024-09-13,QUICKUSDT,0.0443500,0.0455400,0.0435600,0.0445100,156410799
2024-09-14,QUICKUSDT,0.0445300,0.0494500,0.0441100,0.0479600,605853562
2024-09-15,QUICKUSDT,0.0479500,0.0608900,0.0479100,0.0547100,3744154031
2024-09-16,QUICKUSDT,0.0547100,0.0552100,0.0480000,0.0496500,1285814806
2024-09-17,QUICKUSDT,0.0496400,0.0533800,0.0475500,0.0485800,963908408
2024-09-18,QUICKUSDT,0.0485900,0.0509700,0.0460300,0.0485900,660366803
2024-09-19,QUICKUSDT,0.0485900,0.0498700,0.0476300,0.0478800,420635040
2024-09-20,QUICKUSDT,0.0478600,0.0491400,0.0450700,0.0463500,372890976
2024-09-21,QUICKUSDT,0.0463500,0.0465400,0.0451000,0.0464000,124230325
2024-09-22,QUICKUSDT,0.0464000,0.0464900,0.0426200,0.0440400,206089704
2024-09-23,QUICKUSDT,0.0440600,0.0453000,0.0429000,0.0448300,219537759
2024-09-24,QUICKUSDT,0.0448300,0.0453200,0.0430000,0.0444900,206250710
2024-09-25,QUICKUSDT,0.0444900,0.0462300,0.0441600,0.0455100,239793493
2024-09-26,QUICKUSDT,0.0455100,0.0466200,0.0440400,0.0458100,226258632
2024-09-27,QUICKUSDT,0.0458000,0.0468300,0.0450900,0.0459900,223687502
2024-09-28,QUICKUSDT,0.0459900,0.0474600,0.0435100,0.0444200,197034706
2024-09-29,QUICKUSDT,0.0444300,0.0450600,0.0430100,0.0443400,130670663
2024-09-30,QUICKUSDT,0.0443500,0.0447400,0.0409400,0.0412100,181681902
2024-10-01,QUICKUSDT,0.0411900,0.0428000,0.0352500,0.0355800,447865128
2024-10-02,QUICKUSDT,0.0355700,0.0372700,0.0336200,0.0344800,334338538
2024-10-03,QUICKUSDT,0.0344800,0.0356700,0.0331500,0.0348400,211722829
2024-10-04,QUICKUSDT,0.0348500,0.0363100,0.0347200,0.0361400,138803047
2024-10-05,QUICKUSDT,0.0361500,0.0365300,0.0347500,0.0353600,83697977
2024-10-06,QUICKUSDT,0.0353600,0.0361200,0.0348600,0.0359800,71909119
2024-10-07,QUICKUSDT,0.0359900,0.0369500,0.0353600,0.0354100,120138996
2024-10-08,QUICKUSDT,0.0354100,0.0361600,0.0342200,0.0351400,92844766
2024-10-09,QUICKUSDT,0.0351300,0.0366500,0.0341100,0.0346000,168897071
2024-10-10,QUICKUSDT,0.0346000,0.0350900,0.0338900,0.0349000,79906885
2024-10-11,QUICKUSDT,0.0349200,0.0370900,0.0348200,0.0366300,132679738
2024-10-12,QUICKUSDT,0.0366300,0.0379000,0.0365200,0.0375500,84000379
2024-10-13,QUICKUSDT,0.0375400,0.0376900,0.0357500,0.0367000,77567354
2024-10-14,QUICKUSDT,0.0367100,0.0391900,0.0363300,0.0391000,84029594
2024-10-15,QUICKUSDT,0.0391400,0.0425900,0.0379700,0.0412600,650969541
2024-10-16,QUICKUSDT,0.0412600,0.0412700,0.0378700,0.0385000,270592114
2024-10-17,QUICKUSDT,0.0384900,0.0388800,0.0359100,0.0368500,150850104
2024-10-18,QUICKUSDT,0.0368600,0.0376400,0.0367800,0.0374700,81762243
2024-10-19,QUICKUSDT,0.0374600,0.0382200,0.0370600,0.0381200,69143544
2024-10-20,QUICKUSDT,0.0381200,0.0401100,0.0377300,0.0398900,152030714
2024-10-21,QUICKUSDT,0.0399000,0.0404800,0.0382200,0.0392600,228295263
2024-10-22,QUICKUSDT,0.0392700,0.0403600,0.0371800,0.0381600,141886096
2024-10-23,QUICKUSDT,0.0381700,0.0386200,0.0354700,0.0373200,167422353
2024-10-24,QUICKUSDT,0.0373200,0.0382500,0.0364500,0.0368300,54876985
2024-10-25,QUICKUSDT,0.0368300,0.0378600,0.0326100,0.0340100,141066279
2024-10-26,QUICKUSDT,0.0339900,0.0344800,0.0328200,0.0340200,66969103
2024-10-27,QUICKUSDT,0.0340300,0.0348200,0.0337200,0.0345400,41102735
2024-10-28,QUICKUSDT,0.0345400,0.0348800,0.0331700,0.0343800,64352971
2024-10-29,QUICKUSDT,0.0344000,0.0367400,0.0343400,0.0365800,62071304
2024-10-30,QUICKUSDT,0.0365700,0.0374900,0.0360300,0.0369600,85539494
2024-10-31,QUICKUSDT,0.0369500,0.0370800,0.0343200,0.0347700,52147970
2024-11-01,QUICKUSDT,0.0347700,0.0357500,0.0338700,0.0346500,79022659
2024-11-02,QUICKUSDT,0.0346500,0.0349500,0.0329900,0.0332000,38148360
2024-11-03,QUICKUSDT,0.0332000,0.0333400,0.0310700,0.0322200,73931389
2024-11-04,QUICKUSDT,0.0322400,0.0328400,0.0309900,0.0316500,46103090
