Date,Symbol,Open,High,Low,Close,Volume
2024-07-26,RENDERUSDT,6.7000000,7.0410000,6.5640000,6.7820000,3974762.6
2024-07-27,RENDERUSDT,6.7800000,6.8520000,6.3210000,6.4690000,4227649.6
2024-07-28,RENDERUSDT,6.4620000,6.5550000,6.1470000,6.2670000,2527918.0
2024-07-29,RENDERUSDT,6.2670000,6.6580000,6.1140000,6.1520000,3589202.9
2024-07-30,RENDERUSDT,6.1520000,6.3000000,5.9180000,6.0110000,2895873.5
2024-07-31,RENDERUSDT,6.0080000,6.1850000,5.6910000,5.7400000,3995576.1
2024-08-01,RENDERUSDT,5.7400000,5.8890000,5.1070000,5.5970000,7672157.4
2024-08-02,RENDERUSDT,5.5990000,5.6440000,4.8230000,4.9350000,7838256.9
2024-08-03,RENDERUSDT,4.9340000,5.3300000,4.7530000,4.9480000,12084134.5
2024-08-04,RENDERUSDT,4.9480000,5.0770000,4.2750000,4.5290000,12114715.3
2024-08-05,RENDERUSDT,4.5300000,4.6040000,3.4200000,4.1310000,32374472.5
2024-08-06,RENDERUSDT,4.1310000,4.8770000,4.1190000,4.6700000,14439390.3
2024-08-07,RENDERUSDT,4.6690000,4.9820000,4.2930000,4.3730000,12681263.1
2024-08-08,RENDERUSDT,4.3730000,5.0740000,4.2640000,5.0380000,11786038.3
2024-08-09,RENDERUSDT,5.0380000,5.1230000,4.8000000,4.8520000,8453257.7
2024-08-10,RENDERUSDT,4.8500000,4.9460000,4.7410000,4.8940000,3538164.6
2024-08-11,RENDERUSDT,4.8940000,5.1160000,4.4640000,4.4790000,6672592.0
2024-08-12,RENDERUSDT,4.4790000,4.7760000,4.4230000,4.7030000,7422046.6
2024-08-13,RENDERUSDT,4.7040000,4.8770000,4.5210000,4.8260000,5032216.4
2024-08-14,RENDERUSDT,4.8270000,4.9530000,4.6270000,4.6970000,6555432.6
2024-08-15,RENDERUSDT,4.6970000,4.7580000,4.4560000,4.5400000,6033990.0
2024-08-16,RENDERUSDT,4.5410000,4.6220000,4.2970000,4.4990000,4827572.2
2024-08-17,RENDERUSDT,4.4990000,4.5620000,4.3870000,4.5130000,2707500.3
2024-08-18,RENDERUSDT,4.5120000,4.6350000,4.4600000,4.4920000,2907154.7
2024-08-19,RENDERUSDT,4.4930000,4.6150000,4.3130000,4.6130000,4740677.1
2024-08-20,RENDERUSDT,4.6120000,4.7180000,4.3730000,4.4910000,5316254.2
2024-08-21,RENDERUSDT,4.4900000,4.8580000,4.3970000,4.7820000,4772604.0
2024-08-22,RENDERUSDT,4.7840000,5.0900000,4.7080000,5.0480000,8287795.4
2024-08-23,RENDERUSDT,5.0480000,5.7650000,5.0420000,5.5970000,10588465.2
2024-08-24,RENDERUSDT,5.5970000,6.3760000,5.4440000,6.1960000,13431271.1
2024-08-25,RENDERUSDT,6.1960000,6.4960000,6.0920000,6.3150000,16515442.5
2024-08-26,RENDERUSDT,6.3130000,6.4220000,5.9540000,6.1600000,15436468.6
2024-08-27,RENDERUSDT,6.1600000,6.5790000,5.5550000,5.7130000,22942474.6
2024-08-28,RENDERUSDT,5.7140000,6.1400000,5.4370000,5.5180000,28420728.3
2024-08-29,RENDERUSDT,5.5180000,5.8110000,5.1620000,5.2430000,16366838.0
