Date,Symbol,Open,High,Low,Close,Volume
2020-10-19,RSRUSDT,0.010860,0.012150,0.009831,0.011167,433448833
2020-10-20,RSRUSDT,0.011161,0.011576,0.009157,0.009439,437956735
2020-10-21,RSRUSDT,0.009449,0.014850,0.009265,0.012846,3742967204
2020-10-22,RSRUSDT,0.012811,0.015737,0.012723,0.014430,5265036345
2020-10-23,RSRUSDT,0.014426,0.015595,0.014000,0.014014,2121003754
2020-10-24,RSRUSDT,0.014013,0.015078,0.013610,0.014858,1164408557
2020-10-25,RSRUSDT,0.014858,0.016901,0.014500,0.016738,1956097820
2020-10-26,RSRUSDT,0.016706,0.017500,0.014127,0.015674,2141338535
2020-10-27,RSRUSDT,0.015670,0.015891,0.014220,0.014617,1290963928
2020-10-28,RSRUSDT,0.014617,0.015187,0.012536,0.013844,1847996448
2020-10-29,RSRUSDT,0.013860,0.014294,0.011566,0.011943,1508677060
2020-10-30,RSRUSDT,0.011943,0.012446,0.010718,0.012153,1933404372
2020-10-31,RSRUSDT,0.012170,0.012720,0.011464,0.011612,1038059557
2020-11-01,RSRUSDT,0.011609,0.012452,0.011096,0.012008,868359967
2020-11-02,RSRUSDT,0.012008,0.012626,0.010755,0.010836,1294108420
2020-11-03,RSRUSDT,0.010842,0.011137,0.010000,0.010728,1076114670
2020-11-04,RSRUSDT,0.010730,0.010760,0.009506,0.010210,1304121176
2020-11-05,RSRUSDT,0.010241,0.012032,0.009997,0.011750,1379169825
2020-11-06,RSRUSDT,0.011744,0.015000,0.011653,0.014692,1914099423
2020-11-07,RSRUSDT,0.014717,0.015667,0.011880,0.012793,2923079564
2020-11-08,RSRUSDT,0.012796,0.014787,0.012407,0.014448,1285133189
2020-11-09,RSRUSDT,0.014450,0.015183,0.013397,0.014623,1781680388
2020-11-10,RSRUSDT,0.014623,0.018116,0.014134,0.017508,2417169401
2020-11-11,RSRUSDT,0.017521,0.018964,0.016008,0.017182,2605074301
2020-11-12,RSRUSDT,0.017160,0.018079,0.015520,0.015881,1622146821
2020-11-13,RSRUSDT,0.015875,0.017886,0.015875,0.017704,1004033793
2020-11-14,RSRUSDT,0.017703,0.017803,0.015568,0.016160,893798634
2020-11-15,RSRUSDT,0.016160,0.017031,0.014355,0.015441,921808505
2020-11-16,RSRUSDT,0.015426,0.018000,0.015077,0.017321,1556462459
2020-11-17,RSRUSDT,0.017298,0.021555,0.017110,0.021009,1928717539
2020-11-18,RSRUSDT,0.020983,0.021968,0.017850,0.020051,3078271220
2020-11-19,RSRUSDT,0.020061,0.022543,0.019024,0.021411,1759924575
2020-11-20,RSRUSDT,0.021402,0.025200,0.021345,0.023977,1444616424
2020-11-21,RSRUSDT,0.023978,0.025700,0.023510,0.024215,1336110722
2020-11-22,RSRUSDT,0.024230,0.024397,0.020499,0.022156,1379547043
2020-11-23,RSRUSDT,0.022150,0.023781,0.021700,0.022831,916000399
2020-11-24,RSRUSDT,0.022830,0.026450,0.022168,0.023741,1545062317
2020-11-25,RSRUSDT,0.023737,0.023861,0.018728,0.019958,1076159249
2020-11-26,RSRUSDT,0.019955,0.020652,0.014776,0.019270,2052216189
2020-11-27,RSRUSDT,0.019247,0.020737,0.017160,0.018488,1040168760
2020-11-28,RSRUSDT,0.018473,0.020695,0.017589,0.019341,879682292
2020-11-29,RSRUSDT,0.019340,0.020095,0.018587,0.019553,538201088
2020-11-30,RSRUSDT,0.019560,0.021960,0.019414,0.021477,1209761331
2020-12-01,RSRUSDT,0.021472,0.022447,0.019030,0.019499,1041185834
2020-12-02,RSRUSDT,0.019485,0.021425,0.019108,0.020970,762085047
2020-12-03,RSRUSDT,0.020972,0.021461,0.020435,0.020989,494673608
2020-12-04,RSRUSDT,0.020970,0.021052,0.017677,0.018043,725574404
2020-12-05,RSRUSDT,0.018039,0.020332,0.017706,0.019726,645876501
2020-12-06,RSRUSDT,0.019730,0.020316,0.018507,0.018979,519855027
2020-12-07,RSRUSDT,0.018994,0.020499,0.018596,0.020121,785314073
2020-12-08,RSRUSDT,0.020121,0.020141,0.017342,0.017675,611819673
2020-12-09,RSRUSDT,0.017687,0.021359,0.016960,0.019737,1348134629
2020-12-10,RSRUSDT,0.019730,0.020251,0.018418,0.018905,702420089
2020-12-11,RSRUSDT,0.018913,0.018974,0.017156,0.017595,463196692
2020-12-12,RSRUSDT,0.017595,0.019130,0.017558,0.018627,337275278
2020-12-13,RSRUSDT,0.018620,0.020195,0.018333,0.018886,535146234
2020-12-14,RSRUSDT,0.018872,0.019620,0.018475,0.019185,417059007
2020-12-15,RSRUSDT,0.019189,0.019623,0.018643,0.019033,430222255
2020-12-16,RSRUSDT,0.019036,0.021375,0.018335,0.020902,823521438
2020-12-17,RSRUSDT,0.020900,0.022378,0.020000,0.020809,1100549832
2020-12-18,RSRUSDT,0.020803,0.022356,0.019982,0.022196,576168154
2020-12-19,RSRUSDT,0.022195,0.023103,0.021652,0.021937,500730420
2020-12-20,RSRUSDT,0.021934,0.021954,0.019973,0.020505,432901922
2020-12-21,RSRUSDT,0.020498,0.020834,0.018376,0.018816,482560683
2020-12-22,RSRUSDT,0.018800,0.020170,0.017700,0.018967,550703291
2020-12-23,RSRUSDT,0.018980,0.019410,0.014635,0.016307,829362027
2020-12-24,RSRUSDT,0.016288,0.017902,0.015339,0.017883,671861899
