Date,Symbol,Open,High,Low,Close,Volume
2024-10-22,SCRUSDT,1.2510000,1.2880000,1.1060000,1.1590000,100773729
2024-10-23,SCRUSDT,1.1600000,1.2150000,0.8580000,0.9410000,249718697
2024-10-24,SCRUSDT,0.9410000,0.9670000,0.8920000,0.9340000,89103412
2024-10-25,SCRUSDT,0.9340000,0.9370000,0.7800000,0.8060000,112188430
2024-10-26,SCRUSDT,0.8060000,0.8610000,0.7810000,0.7910000,68907827
2024-10-27,SCRUSDT,0.7910000,0.8360000,0.7890000,0.7990000,47119999
2024-10-28,SCRUSDT,0.8000000,0.8050000,0.6970000,0.7220000,85295418
2024-10-29,SCRUSDT,0.7230000,0.7980000,0.6990000,0.7630000,92505243
2024-10-30,SCRUSDT,0.7630000,0.7890000,0.7290000,0.7400000,54092417
2024-10-31,SCRUSDT,0.7400000,0.7410000,0.6660000,0.6740000,56340227
2024-11-01,SCRUSDT,0.6740000,0.6900000,0.6400000,0.6530000,54919665
2024-11-02,SCRUSDT,0.6530000,0.6840000,0.6310000,0.6420000,40694829
2024-11-03,SCRUSDT,0.6420000,0.6510000,0.5650000,0.6000000,60282168
2024-11-04,SCRUSDT,0.6000000,0.6130000,0.5327000,0.5556000,98208312
2024-11-05,SCRUSDT,0.5556000,0.7450000,0.5556000,0.6499000,286877999
2024-11-06,SCRUSDT,0.6499000,0.7888000,0.6497000,0.7246000,347769570
2024-11-07,SCRUSDT,0.7246000,0.7749000,0.6959000,0.7114000,116310322
2024-11-08,SCRUSDT,0.7114000,0.7183000,0.6326000,0.6936000,97821354
2024-11-09,SCRUSDT,0.6937000,0.8310000,0.6724000,0.7775000,248880342
2024-11-10,SCRUSDT,0.7777000,0.8516000,0.7455000,0.8111000,164633347
2024-11-11,SCRUSDT,0.8110000,0.8528000,0.7503000,0.7951000,114992736
2024-11-12,SCRUSDT,0.7949000,0.7962000,0.6629000,0.6867000,127090056
2024-11-13,SCRUSDT,0.6868000,0.6933000,0.6038000,0.6372000,127376952
2024-11-14,SCRUSDT,0.6371000,0.6866000,0.6040000,0.6198000,100852695
2024-11-15,SCRUSDT,0.6196000,0.6455000,0.5859000,0.6382000,67300868
2024-11-16,SCRUSDT,0.6380000,0.6945000,0.6074000,0.6756000,69006196
2024-11-17,SCRUSDT,0.6756000,0.7275000,0.6305000,0.6678000,97234786
2024-11-18,SCRUSDT,0.6680000,0.7176000,0.6166000,0.7004000,97549198
2024-11-19,SCRUSDT,0.7005000,0.7038000,0.6307000,0.6532000,60009108
2024-11-20,SCRUSDT,0.6530000,0.6533000,0.5919000,0.6030000,47895061
2024-11-21,SCRUSDT,0.6030000,0.7378000,0.5727000,0.7249000,115880386
2024-11-22,SCRUSDT,0.7249000,0.7406000,0.6756000,0.7150000,86474237
2024-11-23,SCRUSDT,0.7150000,0.7628000,0.6953000,0.7262000,85088949
2024-11-24,SCRUSDT,0.7262000,0.7832000,0.6804000,0.7751000,63248015
2024-11-25,SCRUSDT,0.7752000,0.8117000,0.7382000,0.7649000,78836229
2024-11-26,SCRUSDT,0.7646000,0.8014000,0.6872000,0.7218000,51882248
2024-11-27,SCRUSDT,0.7218000,0.8748000,0.7055000,0.8463000,82937125
2024-11-28,SCRUSDT,0.8461000,0.8737000,0.7882000,0.8192000,67973234
2024-11-29,SCRUSDT,0.8191000,0.8242000,0.7821000,0.8154000,34188587
2024-11-30,SCRUSDT,0.8154000,0.9288000,0.8085000,0.9054000,55198955
2024-12-01,SCRUSDT,0.9055000,0.9384000,0.8644000,0.9128000,53367393
2024-12-02,SCRUSDT,0.9128000,0.9588000,0.8404000,0.9542000,86283600
2024-12-03,SCRUSDT,0.9536000,0.9829000,0.8550000,0.9691000,65411197
2024-12-04,SCRUSDT,0.9691000,1.0296000,0.9421000,0.9653000,57296760
2024-12-05,SCRUSDT,0.9653000,0.9739000,0.8888000,0.9189000,46838963
2024-12-06,SCRUSDT,0.9190000,1.1111000,0.9096000,1.0803000,91803893
2024-12-07,SCRUSDT,1.0801000,1.1047000,1.0310000,1.0423000,27591463
2024-12-08,SCRUSDT,1.0424000,1.0584000,0.9978000,1.0359000,24649515
2024-12-09,SCRUSDT,1.0359000,1.0485000,0.8182000,0.9442000,80368146
2024-12-10,SCRUSDT,0.9442000,1.1797000,0.8970000,1.0249000,214465277
2024-12-11,SCRUSDT,1.0249000,1.2385000,0.9788000,1.1786000,118298699
2024-12-12,SCRUSDT,1.1786000,1.3931000,1.1353000,1.1804000,154858327
2024-12-13,SCRUSDT,1.1806000,1.4420000,1.1588000,1.2055000,308041433
2024-12-14,SCRUSDT,1.2055000,1.2683000,1.1612000,1.2071000,75142584
2024-12-15,SCRUSDT,1.2072000,1.3394000,1.1569000,1.3241000,86742481
2024-12-16,SCRUSDT,1.3241000,1.3592000,1.2041000,1.2077000,60864097
2024-12-17,SCRUSDT,1.2078000,1.2296000,1.0661000,1.0759000,52457065
2024-12-18,SCRUSDT,1.0759000,1.0768000,0.9428000,1.0026000,66542765
2024-12-19,SCRUSDT,1.0028000,1.1333000,0.9410000,1.0284000,119181494
2024-12-20,SCRUSDT,1.0285000,1.2137000,0.9574000,1.2009000,167639351
2024-12-21,SCRUSDT,1.2009000,1.2362000,1.0127000,1.0276000,75830486
2024-12-22,SCRUSDT,1.0275000,1.0966000,1.0025000,1.0822000,71236626
