Date,Symbol,Open,High,Low,Close,Volume
2025-06-09,SKATEUSDT,0.0756000,0.0784000,0.0593100,0.0649700,1899316465
2025-06-10,SKATEUSDT,0.0649800,0.0656000,0.0474600,0.0507100,1834806289
2025-06-11,SKATEUSDT,0.0507100,0.0541100,0.0472600,0.0522700,907365022
2025-06-12,SKATEUSDT,0.0522500,0.0534000,0.0372200,0.0381000,1491403951
2025-06-13,SKATEUSDT,0.0381000,0.0382000,0.0322200,0.0356600,1568307314
2025-06-14,SKATEUSDT,0.0356500,0.0430000,0.0341000,0.0360500,2971380805
2025-06-15,SKATEUSDT,0.0360700,0.0494800,0.0331000,0.0481800,5743291901
2025-06-16,SKATEUSDT,0.0481600,0.0520000,0.0437100,0.0470000,3820975917
2025-06-17,SKATEUSDT,0.0470000,0.0472400,0.0414900,0.0427500,1053329606
2025-06-18,SKATEUSDT,0.0427500,0.0441100,0.0386000,0.0418400,747118232
2025-06-19,SKATEUSDT,0.0418500,0.0419300,0.0384800,0.0391500,568455813
2025-06-20,SKATEUSDT,0.0391600,0.0423300,0.0377700,0.0390000,519241712
2025-06-21,SKATEUSDT,0.0390000,0.0411700,0.0366100,0.0402000,413563616
2025-06-22,SKATEUSDT,0.0402300,0.0405300,0.0357500,0.0372600,423999469
2025-06-23,SKATEUSDT,0.0372600,0.0438700,0.0359400,0.0420500,514738964
2025-06-24,SKATEUSDT,0.0420600,0.0514400,0.0401500,0.0445000,980203201
2025-06-25,SKATEUSDT,0.0444900,0.0446500,0.0387800,0.0395500,253765573
2025-06-26,SKATEUSDT,0.0395600,0.0429500,0.0374900,0.0424800,286632983
2025-06-27,SKATEUSDT,0.0424900,0.0465200,0.0408300,0.0411900,598716819
2025-06-28,SKATEUSDT,0.0411800,0.0424400,0.0396600,0.0414000,164497202
2025-06-29,SKATEUSDT,0.0414000,0.0475900,0.0412300,0.0469300,181646858
2025-06-30,SKATEUSDT,0.0469500,0.0617600,0.0388700,0.0418900,3411944987
2025-07-01,SKATEUSDT,0.0419000,0.0474400,0.0377600,0.0460400,944940350
2025-07-02,SKATEUSDT,0.0460600,0.0490900,0.0399000,0.0441700,736621458
2025-07-03,SKATEUSDT,0.0441700,0.0455100,0.0399700,0.0406500,274834606
2025-07-04,SKATEUSDT,0.0406500,0.0422600,0.0386100,0.0389400,180082632
2025-07-05,SKATEUSDT,0.0389500,0.0409700,0.0376000,0.0387000,180997956
2025-07-06,SKATEUSDT,0.0386900,0.0442500,0.0383300,0.0436300,363745023
2025-07-07,SKATEUSDT,0.0436000,0.0458800,0.0399600,0.0406900,348627903
2025-07-08,SKATEUSDT,0.0407000,0.0442600,0.0401400,0.0418700,183154940
2025-07-09,SKATEUSDT,0.0418600,0.0441600,0.0408900,0.0434700,181647530
2025-07-10,SKATEUSDT,0.0434700,0.0457600,0.0425200,0.0450700,207496389
2025-07-11,SKATEUSDT,0.0450700,0.0524400,0.0399600,0.0412200,414909813
2025-07-12,SKATEUSDT,0.0412100,0.0422800,0.0381300,0.0389900,206033505
2025-07-13,SKATEUSDT,0.0389600,0.0403600,0.0386100,0.0390300,116930271
2025-07-14,SKATEUSDT,0.0390400,0.0418300,0.0369700,0.0375000,278462669
2025-07-15,SKATEUSDT,0.0375200,0.0376100,0.0353600,0.0372500,144542433
2025-07-16,SKATEUSDT,0.0372500,0.0386300,0.0363200,0.0378900,143125036
2025-07-17,SKATEUSDT,0.0378900,0.0383700,0.0355900,0.0370100,122483008
2025-07-18,SKATEUSDT,0.0370200,0.0391000,0.0366800,0.0380400,125773033
2025-07-19,SKATEUSDT,0.0380400,0.0395400,0.0361900,0.0390000,102011860
2025-07-20,SKATEUSDT,0.0389800,0.0414200,0.0382300,0.0392500,148303385
2025-07-21,SKATEUSDT,0.0392600,0.0428300,0.0380000,0.0419700,234877302
2025-07-22,SKATEUSDT,0.0419600,0.0420400,0.0400900,0.0419900,271953328
2025-07-23,SKATEUSDT,0.0419700,0.0425800,0.0394600,0.0423600,296234586
2025-07-24,SKATEUSDT,0.0423800,0.0461300,0.0394900,0.0435300,425525492
2025-07-25,SKATEUSDT,0.0435600,0.0463200,0.0407100,0.0440600,163297814
2025-07-26,SKATEUSDT,0.0440800,0.0457600,0.0415600,0.0416600,88358586
2025-07-27,SKATEUSDT,0.0416600,0.0451000,0.0411600,0.0439400,92085910
2025-07-28,SKATEUSDT,0.0439500,0.0450500,0.0422200,0.0426500,63974467
2025-07-29,SKATEUSDT,0.0426600,0.0467700,0.0410700,0.0437400,127539485
2025-07-30,SKATEUSDT,0.0437400,0.0446300,0.0418100,0.0436100,60718248
2025-07-31,SKATEUSDT,0.0436200,0.0476900,0.0418300,0.0420200,83991730
2025-08-01,SKATEUSDT,0.0420000,0.0446200,0.0415200,0.0441600,74012884
2025-08-02,SKATEUSDT,0.0441400,0.0447700,0.0416800,0.0430100,58721059
2025-08-03,SKATEUSDT,0.0430000,0.0453300,0.0424100,0.0442700,42878908
2025-08-04,SKATEUSDT,0.0442600,0.0472500,0.0435100,0.0457400,268043290
2025-08-05,SKATEUSDT,0.0457000,0.0699000,0.0443900,0.0640200,1612182965
2025-08-06,SKATEUSDT,0.0640100,0.0658300,0.0490500,0.0555900,961833919
2025-08-07,SKATEUSDT,0.0555900,0.0599900,0.0512900,0.0535600,351722123
2025-08-08,SKATEUSDT,0.0535700,0.0561100,0.0517500,0.0539100,222393203
2025-08-09,SKATEUSDT,0.0539100,0.0563400,0.0519000,0.0541700,162050258
2025-08-10,SKATEUSDT,0.0541500,0.0572100,0.0463400,0.0479600,208712620
2025-08-11,SKATEUSDT,0.0479300,0.0503900,0.0466000,0.0472900,165991147
2025-08-12,SKATEUSDT,0.0472900,0.0482400,0.0452300,0.0461900,101242747
2025-08-13,SKATEUSDT,0.0462100,0.0475100,0.0443700,0.0460600,108194736
2025-08-14,SKATEUSDT,0.0460400,0.0462800,0.0370000,0.0420500,126924274
2025-08-15,SKATEUSDT,0.0420300,0.0438200,0.0418700,0.0437300,53631050
2025-08-16,SKATEUSDT,0.0437400,0.0439100,0.0412600,0.0428300,56214603
2025-08-17,SKATEUSDT,0.0428300,0.0461500,0.0426500,0.0457300,52156781
2025-08-18,SKATEUSDT,0.0457200,0.0469900,0.0421300,0.0445100,146175440
2025-08-19,SKATEUSDT,0.0444900,0.0448800,0.0427800,0.0432000,17478427
