Date,Symbol,Open,High,Low,Close,Volume
2023-11-02,SNTUSDT,0.0532000,0.0581000,0.0506400,0.0532100,566298947
2023-11-03,SNTUSDT,0.0532100,0.0612900,0.0481100,0.0557700,1302118431
2023-11-04,SNTUSDT,0.0557700,0.0664900,0.0548500,0.0593000,2081623235
2023-11-05,SNTUSDT,0.0592700,0.0602500,0.0520000,0.0534800,1067978604
2023-11-06,SNTUSDT,0.0534700,0.0535300,0.0452800,0.0474500,933551448
2023-11-07,SNTUSDT,0.0474600,0.0544400,0.0442600,0.0484200,2179837538
2023-11-08,SNTUSDT,0.0484200,0.0516400,0.0466500,0.0488400,996331904
2023-11-09,SNTUSDT,0.0488500,0.0495800,0.0389100,0.0461700,697609167
2023-11-10,SNTUSDT,0.0461800,0.0463000,0.0442200,0.0461800,326153512
2023-11-11,SNTUSDT,0.0461900,0.0463000,0.0432500,0.0445300,238703532
2023-11-12,SNTUSDT,0.0445300,0.0491700,0.0427100,0.0452100,393183520
2023-11-13,SNTUSDT,0.0452200,0.0502500,0.0442900,0.0466800,823905297
2023-11-14,SNTUSDT,0.0466700,0.0468000,0.0414500,0.0441700,429582716
2023-11-15,SNTUSDT,0.0441600,0.0452500,0.0427400,0.0452100,276331964
2023-11-16,SNTUSDT,0.0452200,0.0452400,0.0421800,0.0429000,313227594
2023-11-17,SNTUSDT,0.0429000,0.0439500,0.0403400,0.0423400,211873699
2023-11-18,SNTUSDT,0.0423600,0.0425100,0.0390000,0.0411600,201679662
2023-11-19,SNTUSDT,0.0411600,0.0434600,0.0401100,0.0419300,282451487
2023-11-20,SNTUSDT,0.0419200,0.0443200,0.0416000,0.0427800,439697931
2023-11-21,SNTUSDT,0.0427800,0.0430200,0.0370200,0.0374400,298432070
2023-11-22,SNTUSDT,0.0374300,0.0407500,0.0374100,0.0403900,167669268
2023-11-23,SNTUSDT,0.0404000,0.0413700,0.0398000,0.0408400,195355606
2023-11-24,SNTUSDT,0.0408400,0.0437100,0.0405300,0.0427900,365580480
2023-11-25,SNTUSDT,0.0428000,0.0435800,0.0416100,0.0426600,178160217
2023-11-26,SNTUSDT,0.0426600,0.0436600,0.0412800,0.0425400,130239132
2023-11-27,SNTUSDT,0.0425400,0.0428200,0.0396000,0.0404200,110928077
2023-11-28,SNTUSDT,0.0404200,0.0420100,0.0390900,0.0413600,111748134
2023-11-29,SNTUSDT,0.0413700,0.0415700,0.0402600,0.0408300,101467827
2023-11-30,SNTUSDT,0.0408300,0.0445800,0.0404100,0.0426800,467210026
2023-12-01,SNTUSDT,0.0426800,0.0432400,0.0415500,0.0430000,152251104
2023-12-02,SNTUSDT,0.0430000,0.0441300,0.0425600,0.0439000,102169822
2023-12-03,SNTUSDT,0.0439000,0.0439700,0.0425200,0.0431900,89819368
2023-12-04,SNTUSDT,0.0432000,0.0450000,0.0410900,0.0444400,293306690
2023-12-05,SNTUSDT,0.0444300,0.0472100,0.0433500,0.0470900,279391217
2023-12-06,SNTUSDT,0.0471000,0.0554700,0.0443900,0.0451200,1327200345
2023-12-07,SNTUSDT,0.0451000,0.0460500,0.0424900,0.0447600,280411951
2023-12-08,SNTUSDT,0.0447600,0.0462700,0.0438400,0.0460800,205405587
2023-12-09,SNTUSDT,0.0460800,0.0489500,0.0454000,0.0461800,289515760
2023-12-10,SNTUSDT,0.0461800,0.0467700,0.0447200,0.0461500,190362488
2023-12-11,SNTUSDT,0.0461600,0.0465800,0.0384700,0.0420100,244950404
2023-12-12,SNTUSDT,0.0420100,0.0427200,0.0408800,0.0419000,155260232
2023-12-13,SNTUSDT,0.0418900,0.0438000,0.0403800,0.0436600,171281676
2023-12-14,SNTUSDT,0.0436700,0.0447400,0.0414200,0.0446800,128914661
2023-12-15,SNTUSDT,0.0446700,0.0447000,0.0424100,0.0426000,102544274
2023-12-16,SNTUSDT,0.0426000,0.0440200,0.0413500,0.0430800,131484471
2023-12-17,SNTUSDT,0.0430800,0.0432100,0.0413000,0.0416600,87372677
2023-12-18,SNTUSDT,0.0416600,0.0417200,0.0382900,0.0413100,133521301
2023-12-19,SNTUSDT,0.0413100,0.0418600,0.0398900,0.0407000,135581352
2023-12-20,SNTUSDT,0.0407000,0.0429800,0.0404800,0.0422800,104155141
2023-12-21,SNTUSDT,0.0422900,0.0430700,0.0416300,0.0426400,68913447
2023-12-22,SNTUSDT,0.0426500,0.0444200,0.0419000,0.0441100,168353661
2023-12-23,SNTUSDT,0.0441100,0.0449100,0.0423600,0.0446500,160192492
2023-12-24,SNTUSDT,0.0446500,0.0448700,0.0425000,0.0429400,112955299
2023-12-25,SNTUSDT,0.0429400,0.0445800,0.0424100,0.0441400,110229557
2023-12-26,SNTUSDT,0.0441200,0.0442700,0.0410900,0.0435700,145815721
2023-12-27,SNTUSDT,0.0435800,0.0448600,0.0419200,0.0447200,169284539
2023-12-28,SNTUSDT,0.0447100,0.0473700,0.0435000,0.0453400,539826839
2023-12-29,SNTUSDT,0.0453500,0.0454400,0.0426800,0.0436700,248680714
2023-12-30,SNTUSDT,0.0436700,0.0487300,0.0436300,0.0459500,1018308038
2023-12-31,SNTUSDT,0.0459500,0.0461400,0.0440000,0.0450700,298123955
2024-01-01,SNTUSDT,0.0450700,0.0466000,0.0444500,0.0465200,164259852
2024-01-02,SNTUSDT,0.0465300,0.0469500,0.0445800,0.0453000,158065588
2024-01-03,SNTUSDT,0.0453000,0.0462200,0.0342600,0.0407700,305105926
2024-01-04,SNTUSDT,0.0407700,0.0438800,0.0401700,0.0425400,346641121
2024-01-05,SNTUSDT,0.0425500,0.0432600,0.0390000,0.0406200,160453300
2024-01-06,SNTUSDT,0.0406200,0.0406800,0.0384700,0.0405200,113892108
2024-01-07,SNTUSDT,0.0405000,0.0410000,0.0374000,0.0379700,128168016
2024-01-08,SNTUSDT,0.0379500,0.0396400,0.0343600,0.0393900,281153251
2024-01-09,SNTUSDT,0.0393700,0.0393800,0.0364800,0.0376400,166191199
2024-01-10,SNTUSDT,0.0376300,0.0405700,0.0360100,0.0397900,195883715
2024-01-11,SNTUSDT,0.0398200,0.0419400,0.0392400,0.0409800,157802123
2024-01-12,SNTUSDT,0.0409700,0.0417200,0.0380400,0.0397700,159594406
2024-01-13,SNTUSDT,0.0397700,0.0434600,0.0397700,0.0407200,457868223
2024-01-14,SNTUSDT,0.0407400,0.0407500,0.0387400,0.0388600,114530425
2024-01-15,SNTUSDT,0.0388600,0.0400300,0.0386900,0.0393200,77286373
2024-01-16,SNTUSDT,0.0393200,0.0426200,0.0393200,0.0409800,290758812
2024-01-17,SNTUSDT,0.0409800,0.0422300,0.0400600,0.0419900,132203088
2024-01-18,SNTUSDT,0.0419900,0.0449700,0.0399200,0.0411800,665219108
2024-01-19,SNTUSDT,0.0411900,0.0426800,0.0386500,0.0426400,213592895
2024-01-20,SNTUSDT,0.0426400,0.0438400,0.0406200,0.0417100,118746794
2024-01-21,SNTUSDT,0.0417200,0.0423800,0.0411700,0.0412400,80865729
2024-01-22,SNTUSDT,0.0412400,0.0424100,0.0379100,0.0382600,156756502
2024-01-23,SNTUSDT,0.0382500,0.0385700,0.0351800,0.0376500,152054037
2024-01-24,SNTUSDT,0.0376500,0.0387600,0.0371500,0.0386800,96017776
2024-01-25,SNTUSDT,0.0386600,0.0386900,0.0372600,0.0381700,69646804
2024-01-26,SNTUSDT,0.0381600,0.0407900,0.0378400,0.0407400,67637910
2024-01-27,SNTUSDT,0.0407700,0.0421600,0.0394000,0.0402600,97562464
2024-01-28,SNTUSDT,0.0402400,0.0405900,0.0388100,0.0392500,46541033
2024-01-29,SNTUSDT,0.0392200,0.0401700,0.0385500,0.0400800,57808035
2024-01-30,SNTUSDT,0.0400800,0.0403700,0.0390300,0.0392000,72320796
2024-01-31,SNTUSDT,0.0392100,0.0393700,0.0375700,0.0379800,102926454
2024-02-01,SNTUSDT,0.0380000,0.0386700,0.0371700,0.0384400,75689455
2024-02-02,SNTUSDT,0.0384500,0.0389300,0.0381100,0.0388300,38090927
2024-02-03,SNTUSDT,0.0388200,0.0391500,0.0386000,0.0388400,28009503
2024-02-04,SNTUSDT,0.0388400,0.0388500,0.0378600,0.0379900,38375044
2024-02-05,SNTUSDT,0.0380000,0.0384100,0.0368500,0.0372000,69920351
2024-02-06,SNTUSDT,0.0372000,0.0377800,0.0369100,0.0374500,50600228
2024-02-07,SNTUSDT,0.0374600,0.0379600,0.0363900,0.0378100,37606627
2024-02-08,SNTUSDT,0.0378200,0.0390000,0.0376700,0.0388400,90966871
2024-02-09,SNTUSDT,0.0388600,0.0405700,0.0384400,0.0390900,286402063
2024-02-10,SNTUSDT,0.0390900,0.0392900,0.0382700,0.0388800,83670111
2024-02-11,SNTUSDT,0.0388800,0.0396600,0.0386100,0.0395200,76263665
2024-02-12,SNTUSDT,0.0395200,0.0407200,0.0384600,0.0397100,96236216
2024-02-13,SNTUSDT,0.0397000,0.0399400,0.0383600,0.0394100,88571533
2024-02-14,SNTUSDT,0.0394200,0.0403600,0.0390000,0.0402100,89212741
