Date,Symbol,Open,High,Low,Close,Volume
2022-09-06,SPELLUSDT,0.0014590,0.0015150,0.0012470,0.0012660,14048417115
2022-09-07,SPELLUSDT,0.0012670,0.0013330,0.0011770,0.0013090,18070918877
2022-09-08,SPELLUSDT,0.0013090,0.0014520,0.0012850,0.0013330,22575798189
2022-09-09,SPELLUSDT,0.0013340,0.0014850,0.0013320,0.0013890,17581430653
2022-09-10,SPELLUSDT,0.0013880,0.0014190,0.0013520,0.0013800,4933706989
2022-09-11,SPELLUSDT,0.0013800,0.0014200,0.0013470,0.0013700,4256675275
2022-09-12,SPELLUSDT,0.0013680,0.0014070,0.0012490,0.0013210,6065526806
2022-09-13,SPELLUSDT,0.0013220,0.0013470,0.0012140,0.0012320,3785706812
2022-09-14,SPELLUSDT,0.0012310,0.0012460,0.0011810,0.0012230,2385373907
2022-09-15,SPELLUSDT,0.0012220,0.0013070,0.0011440,0.0011570,16157674740
2022-09-16,SPELLUSDT,0.0011570,0.0012200,0.0011550,0.0012010,5475132229
2022-09-17,SPELLUSDT,0.0012000,0.0012260,0.0011870,0.0012040,3222304479
2022-09-18,SPELLUSDT,0.0012030,0.0012170,0.0010480,0.0010740,4299013838
2022-09-19,SPELLUSDT,0.0010740,0.0011260,0.0010410,0.0010980,6788493479
2022-09-20,SPELLUSDT,0.0010980,0.0011160,0.0010510,0.0010560,4095776593
2022-09-21,SPELLUSDT,0.0010560,0.0011430,0.0010050,0.0010140,14911848085
2022-09-22,SPELLUSDT,0.0010140,0.0010880,0.0010060,0.0010670,3758161996
2022-09-23,SPELLUSDT,0.0010670,0.0011000,0.0010320,0.0010690,4173593262
2022-09-24,SPELLUSDT,0.0010690,0.0011000,0.0010500,0.0010550,4035222673
2022-09-25,SPELLUSDT,0.0010550,0.0010710,0.0010130,0.0010330,2494346387
2022-09-26,SPELLUSDT,0.0010330,0.0011040,0.0010030,0.0010500,7895866141
2022-09-27,SPELLUSDT,0.0010490,0.0010780,0.0010160,0.0010290,4934017198
2022-09-28,SPELLUSDT,0.0010290,0.0010370,0.0009800,0.0010250,4905435566
2022-09-29,SPELLUSDT,0.0010260,0.0010360,0.0010000,0.0010160,4510635544
2022-09-30,SPELLUSDT,0.0010170,0.0010340,0.0010000,0.0010150,5232519665
2022-10-01,SPELLUSDT,0.0010150,0.0010720,0.0010050,0.0010160,16180613264
2022-10-02,SPELLUSDT,0.0010160,0.0010370,0.0009780,0.0009940,12493844432
2022-10-03,SPELLUSDT,0.0009940,0.0010250,0.0009800,0.0010040,10634193198
2022-10-04,SPELLUSDT,0.0010040,0.0010260,0.0010040,0.0010190,6886662099
